#,Name,Description,Score,IsVisible
0,,,0,False
1,高速通关,在挑战时间内通关,15000,True
2,标速通关,在标准时间内通关,5000,True
3,十招足以,使用的青魔法不低于2种、不超过10种,3000,True
4,四招足以,使用的青魔法不低于2种、不超过4种,10000,True
5,未受伤害,未受到伤害,20000,True
6,未曾恢复,未使用恢复体力的魔法,15000,True
7,打断高手,打断敌人的咏唱,1000,True
8,不紧不慢,未使用冲刺,3000,True
9,火系大师,只使用火与无属性青魔法通关,10000,True
10,水系大师,只使用水与无属性青魔法通关,10000,True
11,土系大师,只使用土与无属性青魔法通关,10000,True
12,风系大师,只使用风与无属性青魔法通关,10000,True
13,冰系大师,只使用冰与无属性青魔法通关,10000,True
14,雷系大师,只使用雷与无属性青魔法通关,10000,True
15,元素大师,用出水、火、土、冰、风、雷属性攻击,15000,True
16,技能大师,用出水、火、土、冰、风、雷、斩击、突刺、打击属性攻击,20000,True
17,弱化高手,赋予敌人的弱化效果达到6种或更多,5000,True
18,弱化专家,赋予敌人的弱化效果达到9种或更多,12000,True
19,物理大师,只使用物理攻击的青魔法通关,15000,True
20,高阶法师,只使用四星五星的青魔法通关,15000,True
21,初阶法师,只使用一星二星的青魔法通关,15000,True
22,四面神通,用出不少于4种从面部放射的青魔法,10000,True
23,艾玛吉娜大师,,20000,False
24,单调至极,,-30000,False
25,蛮神之力,,20000,False
26,巨人狩猎,,50000,False
27,触手爱好者,,50000,False
28,青之完美,,80000,False
29,八面神通,用出不少于8种从面部放射的青魔法,20000,True
30,恢复大师,用出绒绒治疗、蜕皮、白风,10000,True
31,亚历山大爱好者,,25000,False
32,青磷之青,,80000,False
33,青之纯粹,,80000,False
34,黄金之青,,80000,False
