#,Name,AchievementKind,Order,ShowComplete,HideCategory
0,,0,0,True,False
1,整体,1,1,True,False
2,迷宫探险,1,2,True,False
3,讨伐歼灭战,1,3,True,False
4,大型任务,1,4,True,False
5,怪物狩猎,1,5,True,False
6,寻宝,1,6,True,False
7,整体,2,1,True,False
8,排名,2,2,True,True
9,竞技场,2,3,True,False
10,纷争前线,2,4,True,False
11,烈羽争锋,2,5,True,False
12,整体,3,1,True,False
13,战斗精英,3,2,True,False
14,魔法导师,3,3,True,False
15,能工巧匠,3,4,True,False
16,大地使者,3,5,True,False
17,评价,3,6,True,False
18,金碟游乐场,3,7,True,False
19,整体,4,1,True,False
20,货币,4,2,True,False
21,分解,4,3,True,False
22,收藏品,4,4,True,False
23,魔晶石,4,5,True,False
24,刻木匠,5,2,True,False
25,锻铁匠,5,3,True,False
26,铸甲匠,5,4,True,False
27,雕金匠,5,5,True,False
28,制革匠,5,6,True,False
29,裁衣匠,5,7,True,False
30,炼金术士,5,8,True,False
31,烹调师,5,9,True,False
32,采矿工,5,10,True,False
33,园艺工,5,11,True,False
34,捕鱼人,5,12,True,False
35,整体,8,1,True,False
36,理符任务,8,4,True,False
37,友好部族任务,8,5,True,False
38,季节活动,8,99,True,True
39,探索笔记,11,1,True,False
40,拉诺西亚,11,2,True,False
41,黑衣森林,11,3,True,False
42,萨纳兰,11,4,True,False
43,库尔札斯,11,5,True,False
44,摩杜纳,11,6,True,False
45,阿巴拉提亚,11,7,True,False
46,龙堡,11,8,True,False
47,基拉巴尼亚,11,9,True,False
48,奥萨德,11,10,True,False
49,副本任务,11,100,True,False
50,整体,12,1,True,False
51,黑涡团,12,2,True,False
52,双蛇党,12,3,True,False
53,恒辉队,12,4,True,False
54,战斗,13,1,True,False
55,货币,13,2,True,False
56,采集,13,3,True,False
57,任务,13,4,True,False
58,季节活动,13,5,True,False
59,迷宫,13,6,True,False
60,探索,13,7,True,False
61,大国防联军,13,8,True,False
62,上古武器,4,6,True,False
63,黄道武器,4,7,True,False
64,元灵武器,4,8,True,False
65,深层迷宫聚魔装备,4,9,True,False
66,禁地兵装,4,10,True,False
67,诺弗兰特,11,11,True,False
68,义军武器,4,11,True,False
69,全职业共通,5,1,True,False
70,天钢工具,4,51,True,False
71,特殊场景探索,1,7,True,False
72,北洋地域,11,12,True,False
73,伊尔萨巴德大陆,11,13,True,False
74,其他,11,99,True,False
75,曼德维尔武器,4,12,True,False
76,主线任务,8,2,True,False
77,职业任务,8,3,True,False
78,莫雯卓越工具,4,52,True,False
79,尤卡图拉尔,11,14,True,False
80,萨卡图拉尔,11,15,True,False
81,幻境武器,4,13,True,False
82,宇宙工具,4,53,True,False
