#,Name,UnlockLink,Icon,VFX,ActionTimelineHit,PrimaryCostValue,SecondaryCostValue,ActionCombo,Cast100ms,Recast100ms,ActionProcStatus,StatusGainSelf,Omen,OmenAlt,AnimationEnd,ActionCategory,Unknown1,AnimationStart,Unknown2,BehaviourType,ClassJobLevel,CastType,EffectRange,XAxisModifier,PrimaryCostType,SecondaryCostType,ExtraCastTime100ms,CooldownGroup,AdditionalCooldownGroup,MaxCharges,Aspect,Unknown4,ClassJobCategory,AutoAttackBehaviour,EquivalenceGroup,Unknown_70,ClassJob,Range,DeadTargetBehaviour,AttackType,Unknown8,IsRoleAction,Unknown28,CanTargetSelf,CanTargetParty,CanTargetAlliance,CanTargetHostile,CanTargetAlly,Unknown10,TargetArea,CanTargetOwnPet,CanTargetPartyPet,RequiresLineOfSight,NeedToFaceTarget,Unknown14,PreservesCombo,Unknown15,AffectsPosition,IsPvP,Unknown16,LogCastMessage,Unknown18,LogMissMessage,LogActionMessage,Unknown21,Unknown22,Unknown23,CanUseWhileMounted,Unknown25,IsPlayerAction,Unknown27
0,,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
1,任务道具,0,405,0,1875,0,0,0,0,0,0,0,0,0,85,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False
2,任务指令,0,405,0,1875,0,0,0,50,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
3,冲刺,0,104,0,1875,0,0,0,0,600,0,0,0,0,368,10,0,0,0,0,0,1,0,0,0,0,0,56,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False
4,坐骑,0,405,0,1875,0,0,0,10,0,0,0,0,0,13302,5,0,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
5,传送,4,111,1,1875,0,0,0,50,0,0,0,0,0,164,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
6,返回,1,112,2,1875,0,0,0,50,9000,0,0,0,0,163,11,0,1,0,0,0,1,0,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
7,攻击,0,405,0,1875,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
8,射击,0,405,0,1876,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
9,先锋剑,0,158,0,1875,0,0,0,0,25,0,0,0,0,310,3,0,0,0,0,1,1,0,0,0,0,0,58,0,0,7,1,38,2,0,0,1,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
10,铁壁,0,152,0,1875,0,0,0,0,900,0,0,0,0,369,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
11,狂怒剑,0,157,0,1875,0,0,9,0,25,0,0,0,0,311,3,0,0,0,0,0,1,0,0,0,0,0,58,0,0,7,1,0,2,0,0,-1,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
12,渐愈,0,162,0,1875,0,0,0,0,1200,0,0,0,0,370,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
13,警觉,0,163,0,1875,0,0,0,0,1200,0,0,0,0,371,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
14,闪光,0,159,3,1875,8,0,0,0,25,0,0,0,0,441,2,0,29,0,0,0,2,5,0,3,0,0,58,0,0,7,0,0,1,0,0,-1,0,0,5,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False
15,暴乱剑,0,156,0,1875,0,0,9,0,25,0,0,0,0,317,3,0,0,0,0,4,1,0,0,0,0,0,58,0,0,7,1,38,2,0,0,1,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
16,盾牌猛击,0,154,0,1875,0,0,0,0,25,0,0,0,0,315,3,0,0,0,0,10,1,0,0,0,39,0,58,0,0,7,1,38,2,0,0,1,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
