#,Unknown0
0,
1,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**先锋剑**
2：**狂怒剑**
3：**战女神之怒**"
2,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**先锋剑**
2：**暴乱剑**
3：**王权剑**

**※忠义之剑状态中，变为赎罪剑。**"
3,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**重劈**
2：**裂骨斩**
3：**寒风斧**"
4,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**重劈**
2：**凶残裂**
3：**暴风斩**"
5,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**重斩**
2：**回环斩**
3：**强力斩**"
6,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**重斩**
2：**吸收斩**
3：**噬魂斩**"
7,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**连击**
2：**正拳**
3：**崩拳**"
8,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**双龙脚**
2：**双掌打**
3：**破碎拳**"
9,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**龙眼雷电**
2：**直刺**
3：**龙牙龙爪**
4：**龙尾大回旋**"
10,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**脉冲枪**
2：**开膛枪**
3：**樱花怒放**
4：**龙尾大回旋**"
11,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**双刃旋**
2：**绝风**
3：**旋风刃**

**※三印自在状态中，变为冰晶乱流之术。**"
12,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**双刃旋**
2：**影牙**"
13,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**刃风**
2：**雪风**"
14,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**阵风**
2：**月光**"
15,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**士风**
2：**花车**"
16,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**强力射击**
2：**直线射击**"
17,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**烈毒咬箭**
2：**狂风蚀箭**"
18,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**热分裂弹**
2：**热独头弹**
3：**热狙击弹**

**※过热状态中，变为热冲击。**"
19,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。
**魔回刺发动条件：****白魔元**与**黑魔元**均达到50

1：**魔回刺**
2：**魔交击斩**
3：**魔连攻**

**※赤核爆或赤神圣成功时，变为焦热。**"
20,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**利刃斩**
2：**残暴弹**
3：**迅连斩**"
21,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。
**烈牙发动条件：****晶壤**

1：**烈牙**
2：**猛兽爪**
3：**凶禽爪**"
22,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**瀑泻**
2：**喷泉**

**※前冲步状态中，变为逆瀑泻。**
**※瀑泻成功时，且前冲步状态中，变为坠喷泉。**
**※跳舞模式中，变为蔷薇曲脚步。**"
23,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**先锋剑**　**威力：**160
2：**公正剑**　**威力：**250
3：**游荡剑**　**威力：**320"
24,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**日影斩**　**威力：**110
2：**大日食**　**威力：**200"
25,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**利刃斩**　**威力：**200
2：**残暴弹**　**威力：**300
3：**迅连斩**　**威力：**400"
26,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**死天枪**　**威力：**400
2：**音速刺**　**威力：**450
3：**山境酷刑**　**威力：**500"
27,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**全蚀斩**
2：**日珥斩**

**※忠义之剑状态中，变为荣耀斩。**"
28,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**秘银暴风**
2：**钢铁旋风**"
29,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**释放**
2：**刚魂**"
30,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**四面脚**
2：**地烈劲**"
31,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**死天枪**
2：**音速刺**
3：**山境酷刑**"
32,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**血雨飞花**
2：**八卦无刃杀**

**※三印自在状态中，变为劫火灭却之术。**"
33,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**雪风**
2：**月光**
3：**花车**"
34,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**满月**
2：**樱花**"
35,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**恶魔切**
2：**恶魔杀**"
36,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**风车**
2：**落刃雨**

**※前冲步状态中，变为升风车。**
**※风车成功时，且前冲步状态中，变为落血雨。**
**※跳舞模式中，变为小鸟交叠跳。**"
37,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**极风**　**威力：**130
2：**豪风**　**威力：**280
3：**夜月**　**威力：**330"
38,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**以太光剑**　**威力：**840　**消耗能量：**300
2：**以太连斩**　**威力：**1200　**消耗能量：**300
3：**最终一击**　**威力：**1940　**消耗能量：**300"
39,"连击用技能。
使用时会按下列顺序发动魔法。
如果连击过程中未满足魔法的发动条件，则回到第一个技能重新发动连击。

1：**赤火炎**　**威力：**310　**消耗魔力：**200
2：**赤疾风**　**威力：**370　**消耗魔力：**300
3：**赤飞石**　**威力：**310　**消耗魔力：**200
4：**赤核爆**　**威力：**600　**消耗魔力：**400"
40,"连击用技能。
使用时会按下列顺序发动魔法。
如果连击过程中未满足魔法的发动条件，则回到第一个技能重新发动连击。

1：**炽炎**　**威力：**300　**消耗魔力：**800
2：**炽炎**　**威力：**300　**消耗魔力：**800
3：**炽炎**　**威力：**300　**消耗魔力：**800
4：**秽浊**　**威力：**650"
41,"连击用技能。
使用时会按下列顺序发动能力。
如果连击过程中未满足能力的发动条件，则回到第一个技能重新发动连击。

1：**命运抽卡**
在命运的指引下，抽取一张奥秘卡
**追加效果：**恢复自身最大魔力的10%

2：**王冠之领主**
对目标发动无属性魔法攻击　**威力：**270"
42,"连击用技能。
使用时会按下列顺序发动能力。
如果连击过程中未满足能力的发动条件，则回到第一个技能重新发动连击。

1：**袖内抽卡·命运**
在命运的指引下，抽取一张奥秘卡
**追加效果：**恢复自身最大魔力的20%

2：**河流神的卷轴**
为自身与周围队员附加河流神的卷轴　**持续时间：**30秒
**河流神的卷轴效果：**攻击所造成的伤害提高，自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短"
43,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**短兵相接**　**威力：**130
2：**魔回刺**　**威力：**220
3：**魔交击斩**　**威力：**290
4：**魔连攻**　**威力：**470
5：**移转**　**威力：**130
6：**赤神圣**　**威力：**600　**消耗魔力：**400
7：**焦热**　**威力：**700　**消耗魔力：**400"
44,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**先锋剑**　**威力：**200
2：**暴乱剑**　**威力：**300
3：**战女神之怒**　**威力：**350"
45,"连击用技能。
使用时会按下列顺序发动魔法。
如果连击过程中未满足魔法的发动条件，则回到第一个技能重新发动连击。

1：**赤火炎**　**威力：**340　**消耗魔力：**200
2：**赤疾风**　**威力：**370　**消耗魔力：**300
3：**赤飞石**　**威力：**340　**消耗魔力：**200
4：**赤闪雷**　**威力：**370　**消耗魔力：**300
5：**赤核爆**　**威力：**600　**消耗魔力：**400"
46,"连击用技能。
使用时会按下列顺序发动技能。
如果连击过程中未满足技能的发动条件，则回到第一个技能重新发动连击。

1：**短兵相接**　**威力：**130
2：**魔回刺**　**威力：**220
3：**魔交击斩**　**威力：**290
4：**魔连攻**　**威力：**470
5：**交剑**　**威力：**150
6：**赤神圣**　**威力：**600　**消耗魔力：**400
7：**焦热**　**威力：**700　**消耗魔力：**400"
47,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**利刃斩**　**威力：**200
2：**残暴弹**　**威力：**300
3：**迅连斩**　**威力：**400"
48,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**切割**
2：**增盈切割**
3：**地狱切割**

**※妖异之镰状态中，变为绞决。**
**※妖异之镰且缢杀效果提高状态中，变为缢杀。**
**※夜游魂状态中，变为虚无收割。**
**※夜游魂且交错收割效果提高状态中，变为交错收割。**"
49,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**旋转钐割**
2：**噩梦钐割**

**※妖异之镰状态中，变为断首。**
**※夜游魂状态中，变为阴冷收割。**"
50,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**先锋剑**
2：**暴乱剑**
3：**王权剑**

**※赎罪剑预备状态中，变为赎罪剑。**
**※祈告剑预备状态中，变为祈告剑。**
**※葬送剑预备状态中，变为葬送剑。**"
51,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**重劈**
2：**凶残裂**
3：**暴风斩**

**※原初的解放状态中，变为裂石飞环。**"
52,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**重斩**
2：**吸收斩**
3：**噬魂斩**

**※暗血状态中，变为血红乱。**
**※暗血且报应预备状态中，变为报应。**
**※暗血且戮山预备状态中，变为戮山。**"
53,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**利刃斩**
2：**残暴弹**
3：**迅连斩**
4：**爆发击**"
54,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**瀑泻**
2：**喷泉**

**※前冲步状态中，变为逆瀑泻。**
**※前冲步状态中，且瀑泻或逆瀑泻成功时，变为坠喷泉。**
**※剑舞预备状态中，变为剑舞。**
**※剑舞预备且拂晓之谊状态中，变为拂晓舞。**"
55,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**双龙脚**
2：**双掌打**
3：**破碎拳**
4：**猿舞连击**
5：**龙颚正拳**
6：**豹袭崩拳**
7：**梦幻斗舞**"
56,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**龙眼雷电**
2：**龙牙龙爪**
3：**龙尾大回旋**
4：**云蒸龙变**

**※苍穹刺预备状态中，变为苍穹刺。**
**※渡星冲预备状态中，变为渡星冲。**"
57,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**双刃旋**
2：**绝风**
3：**旋风刃**

**※隐遁状态中，变为断绝。**
**※三印自在状态中，变为月影雷兽爪。**
**※月影雷兽牙预备状态中，变为月影雷兽牙。**
**※是生灭法预备状态中，变为是生灭法。**"
58,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**雪风**
2：**月光**
3：**花车**

**※回天状态中，变为冰雪。**
**※回天状态中，且雪风或冰雪成功时，变为满月。**
**※回天状态中，且月光或满月成功时，变为樱花。**"
59,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**切割**
2：**增盈切割**
3：**地狱切割**

**※断首处刑预备状态中，变为断首处刑。**
**※夜游魂状态中，变为虚无收割。**
**※夜游魂状态中，且虚无收割成功时，变为交错收割。**"
60,"绅士的连击技能。
使用时会按下列顺序发动绅士的战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**绅士碎击**　**威力：**200
2：**绅士刺**　**威力：**300
3：**绅士之怒**　**威力：**330
**连击成功：****绝技预备**
**持续时间：**15秒"
61,"单体攻击用连击技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**切割**　**威力：**320
2：**增盈切割**　**威力：**400
3：**地狱切割**　**威力：**500"
62,"范围攻击用连击技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**旋转钐割**　**威力：**140
2：**噩梦钐割**　**威力：**180"
63,"单体攻击用连击技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**狞豹的锐爪**　**威力：**220
2：**狞豹的双牙**　**威力：**320
3：**狞豹的尾鞭**　**威力：**440
**连击成功：**恢复自身体力　**恢复力：**250"
64,"范围攻击用连击技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**图拉尔的严酷**　**威力：**150
2：**图拉尔的澎湃**　**威力：**210
3：**图拉尔的峻烈**　**威力：**270"
65,"连击用技能。
使用时会按下列顺序发动战技。
如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。

1：**咬噬尖齿**
2：**猛袭利齿**
3：**咬击獠齿**
4：**切割尖齿**
5：**疾速利齿**
6：**啮噬獠齿**

**※祖灵降临状态中，且吞天巨蛇成功时，变为祖灵之牙一式。**
**※祖灵降临状态中，且祖灵之牙一式成功时，变为祖灵之牙二式。**
**※祖灵降临状态中，且祖灵之牙二式成功时，变为祖灵之牙三式。**
**※祖灵降临状态中，且祖灵之牙三式成功时，变为祖灵之牙四式。**"
66,
67,"单体攻击用连击技能。
使用时会按下列顺序发动魔法。
如果连击过程中未满足魔法的发动条件，则回到第一个技能重新发动连击。

1：**火炎之红**　**威力：**400
2：**疾风之绿**　**威力：**480
3：**流水之蓝**　**威力：**560"
68,"范围攻击用连击技能。
使用时会按下列顺序发动魔法。
如果连击过程中未满足魔法的发动条件，则回到第一个技能重新发动连击。

1：**烈炎之红**　**威力：**200
2：**烈风之绿**　**威力：**240
3：**激水之蓝**　**威力：**280"
69,
70,
