#,Name,NameShort,ExpReward,CeruleumTankReq,SurveyDurationmin,SurveyDistance,X,Y,RankReq,Unknown0,Unknown1,SurveillanceReq,Unknown2,Passengers
0,云海01,云海01,10610,1,180,13,371,831,1,0,0,0,0,False
1,云海02,云海02,10610,1,180,13,615,800,1,0,0,0,0,False
2,云海03,云海03,27840,1,180,13,156,800,4,0,0,0,0,False
3,云海04,云海04,46660,1,180,13,787,834,7,0,0,0,0,False
4,云海05,云海05,75920,2,360,13,492,720,10,0,0,0,0,False
5,云海06,云海06,102600,2,360,13,334,653,14,0,0,0,0,False
6,云海07,云海07,118350,2,360,13,587,645,17,0,0,0,0,False
7,云海08,云海08,146210,3,540,13,516,544,20,0,0,0,0,False
8,云海09,云海09,174980,3,540,13,380,493,24,0,0,0,0,False
9,云海10,云海10,200430,3,540,13,721,629,27,0,0,0,0,False
10,云海11,云海11,231750,4,720,13,185,567,30,0,0,0,0,False
11,云海12,云海12,263530,4,720,13,906,642,34,0,0,0,0,False
12,云海13,云海13,292170,4,720,13,202,434,37,0,0,0,0,False
13,云海14,云海14,338330,5,900,13,77,689,40,0,0,0,0,False
14,云海15,云海15,374020,5,900,13,103,348,44,0,0,0,0,False
15,云海16,云海16,406590,5,900,13,886,445,47,0,0,0,0,False
16,云海17,云海17,0,6,1440,13,721,335,50,0,0,90,0,False
17,云海18,云海18,0,6,1440,13,540,371,50,0,0,90,0,False
18,云海19,云海19,0,6,1440,13,248,234,50,0,0,90,0,False
19,云海20,云海20,0,6,1440,13,421,141,50,0,0,90,0,False
20,云海21,云海21,0,6,1440,13,556,208,50,0,0,90,0,False
21,云海22,云海22,0,6,1440,13,663,105,50,0,0,90,0,False
22,云冠群岛夜晚探索,云冠群岛夜晚探索,0,1,20,1,0,0,50,0,0,90,0,True
23,云海23,云海23,0,6,1440,13,130,120,50,0,0,90,0,False
24,云海24,云海24,0,6,1440,13,390,380,50,0,0,90,0,False
25,,,0,0,0,0,0,0,0,0,0,0,0,False
127,,,0,0,0,0,483,927,0,0,0,0,0,False
128,,,0,0,0,0,0,0,0,0,0,0,0,False
