#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,无,0,82091,0,0,0,0,0,0
1,灰色,190002,82091,1,0,0,0,1,1
2,四边形,190003,82091,1,0,0,0,3,1
3,紫色,190004,82091,1,0,0,0,4,1
4,渐变色：防护职业,190005,82091,1,0,0,0,5,1
5,渐变色：进攻职业,190006,82091,1,0,0,0,7,1
6,渐变色：治疗职业,190007,82091,1,0,0,0,6,1
7,羊皮纸,190008,82091,1,0,0,0,2,1
8,以太空间,190009,82091,1,0,0,0,9,1
9,木制隔板,190010,82091,1,0,0,0,8,1
10,虚无界空间,190011,82091,1,0,0,0,10,1
11,骑士（华丽）,190301,82091,124,0,0,0,2150,2
12,战士（华丽）,190302,82091,125,0,0,0,2151,2
13,暗黑骑士（华丽）,190303,82091,126,0,0,0,2152,2
14,绝枪战士（华丽）,190304,82091,127,0,0,0,2153,2
15,白魔法师（华丽）,190305,82091,128,0,0,0,2154,2
16,学者（华丽）,190306,82091,129,0,0,0,2155,2
17,占星术士（华丽）,190307,82091,130,0,0,0,2156,2
18,贤者（华丽）,190308,82091,131,0,0,0,2157,2
19,武僧（华丽）,190309,82091,132,0,0,0,2158,2
20,龙骑士（华丽）,190310,82091,133,0,0,0,2159,2
21,忍者（华丽）,190311,82091,134,0,0,0,2160,2
22,武士（华丽）,190312,82091,135,0,0,0,2161,2
23,钐镰客（华丽）,190313,82091,136,0,0,0,2162,2
24,吟游诗人（华丽）,190314,82091,137,0,0,0,2164,2
25,机工士（华丽）,190315,82091,138,0,0,0,2165,2
26,舞者（华丽）,190316,82091,139,0,0,0,2166,2
27,黑魔法师（华丽）,190317,82091,140,0,0,0,2167,2
28,召唤师（华丽）,190318,82091,141,0,0,0,2168,2
29,赤魔法师（华丽）,190319,82091,142,0,0,0,2169,2
30,星极队,190401,82091,143,0,0,0,3000,10
31,灵极队,190402,82091,144,0,0,0,3001,10
32,第1赛季水晶冲突：王者,190403,82091,145,0,0,0,3200,5
33,第1赛季水晶冲突：勇者,190404,82091,146,0,0,0,3201,5
34,第1赛季水晶冲突：获奖者,190405,82091,147,0,0,0,3202,5
35,第1赛季水晶冲突：青铜,190406,82091,148,0,0,0,3208,5
36,第1赛季水晶冲突：白银,190407,82091,149,0,0,0,3207,5
37,第1赛季水晶冲突：黄金,190408,82091,150,0,0,0,3206,5
38,第1赛季水晶冲突：白金,190409,82091,151,0,0,0,3205,5
39,第1赛季水晶冲突：钻石,190410,82091,152,0,0,0,3204,5
40,第1赛季水晶冲突：水晶,190411,82091,153,0,0,0,3203,5
41,随身神典石1,190901,82091,154,1032,1034,1036,4000,7
42,随身神典石2,190902,82091,155,1033,1035,1037,4001,7
43,剑术师,190201,82091,156,0,0,0,2000,2
44,斧术师,190202,82091,157,0,0,0,2001,2
45,幻术师,190203,82091,158,0,0,0,2002,2
46,格斗家,190204,82091,159,0,0,0,2003,2
47,枪术师,190205,82091,160,0,0,0,2004,2
48,双剑师,190206,82091,161,0,0,0,2005,2
49,弓箭手,190207,82091,162,0,0,0,2006,2
50,咒术师,190208,82091,163,0,0,0,2007,2
51,秘术师,190209,82091,164,0,0,0,2008,2
52,骑士（简易）,190210,82091,165,0,0,0,2050,2
53,战士（简易）,190211,82091,166,0,0,0,2051,2
54,暗黑骑士（简易）,190212,82091,167,0,0,0,2052,2
55,绝枪战士（简易）,190213,82091,168,0,0,0,2053,2
56,白魔法师（简易）,190214,82091,169,0,0,0,2054,2
57,学者（简易）,190215,82091,170,0,0,0,2055,2
58,占星术士（简易）,190216,82091,171,0,0,0,2056,2
59,贤者（简易）,190217,82091,172,0,0,0,2057,2
60,武僧（简易）,190218,82091,173,0,0,0,2058,2
61,龙骑士（简易）,190219,82091,174,0,0,0,2059,2
62,忍者（简易）,190220,82091,175,0,0,0,2060,2
63,武士（简易）,190221,82091,176,0,0,0,2061,2
64,钐镰客（简易）,190222,82091,177,0,0,0,2062,2
65,吟游诗人（简易）,190223,82091,178,0,0,0,2064,2
66,机工士（简易）,190224,82091,179,0,0,0,2065,2
67,舞者（简易）,190225,82091,180,0,0,0,2066,2
68,黑魔法师（简易）,190226,82091,181,0,0,0,2067,2
69,召唤师（简易）,190227,82091,182,0,0,0,2068,2
70,赤魔法师（简易）,190228,82091,183,0,0,0,2069,2
71,青魔法师（简易）,190229,82091,184,0,0,0,2071,2
72,刻木匠（简易）,190230,82091,244,0,0,0,2100,2
73,锻铁匠（简易）,190231,82091,245,0,0,0,2101,2
74,铸甲匠（简易）,190232,82091,246,0,0,0,2102,2
75,雕金匠（简易）,190233,82091,247,0,0,0,2103,2
76,制革匠（简易）,190234,82091,248,0,0,0,2104,2
77,裁衣匠（简易）,190235,82091,249,0,0,0,2105,2
78,炼金术士（简易）,190236,82091,250,0,0,0,2106,2
79,烹调师（简易）,190237,82091,251,0,0,0,2107,2
80,采矿工（简易）,190238,82091,276,0,0,0,2108,2
81,园艺工（简易）,190239,82091,277,0,0,0,2109,2
82,捕鱼人（简易）,190240,82091,278,0,0,0,2110,2
83,格里达尼亚,190652,82091,299,0,0,0,1001,9
84,利姆萨·罗敏萨,190651,82091,299,0,0,0,1000,9
85,乌尔达哈,190653,82091,299,0,0,0,1002,9
86,巴哈姆特绝境战,190701,82091,319,0,0,0,2500,4
87,究极神兵绝境战,190702,82091,320,0,0,0,2501,4
88,亚历山大绝境战,190703,82091,321,0,0,0,2502,4
89,幻想龙诗绝境战,190704,82091,322,0,0,0,2503,4
90,第2赛季水晶冲突：王者,190412,82091,323,0,0,0,3209,5
91,第2赛季水晶冲突：勇者,190413,82091,324,0,0,0,3210,5
92,第2赛季水晶冲突：获奖者,190414,82091,325,0,0,0,3211,5
93,第2赛季水晶冲突：青铜,190415,82091,326,0,0,0,3217,5
94,第2赛季水晶冲突：白银,190416,82091,327,0,0,0,3216,5
95,第2赛季水晶冲突：黄金,190417,82091,328,0,0,0,3215,5
96,第2赛季水晶冲突：白金,190418,82091,329,0,0,0,3214,5
97,第2赛季水晶冲突：钻石,190419,82091,330,0,0,0,3213,5
98,第2赛季水晶冲突：水晶,190420,82091,331,0,0,0,3212,5
99,第3赛季水晶冲突：王者,190421,82091,332,0,0,0,3218,5
100,第3赛季水晶冲突：勇者,190422,82091,333,0,0,0,3219,5
101,第3赛季水晶冲突：获奖者,190423,82091,334,0,0,0,3220,5
102,第3赛季水晶冲突：青铜,190424,82091,335,0,0,0,3226,5
103,第3赛季水晶冲突：白银,190425,82091,336,0,0,0,3225,5
104,第3赛季水晶冲突：黄金,190426,82091,337,0,0,0,3224,5
105,第3赛季水晶冲突：白金,190427,82091,338,0,0,0,3223,5
106,第3赛季水晶冲突：钻石,190428,82091,339,0,0,0,3222,5
107,第3赛季水晶冲突：水晶,190429,82091,340,0,0,0,3221,5
108,水晶冲突：蓝色,190430,82091,341,0,0,0,3002,10
109,水晶冲突：红色,190431,82091,342,0,0,0,3003,10
110,多变迷宫：希拉狄哈水道,190705,82091,343,0,0,0,2403,4
111,友好部族任务：奥密克戎族,190966,82091,344,0,0,0,2315,3
112,蓝天,190012,82091,1,0,0,0,12,1
113,沙滩,190013,82091,1,0,0,0,11,1
114,星空,190014,82091,1,0,0,0,13,1
115,砖瓦,190015,82091,1,0,0,0,19,1
116,漫画,190016,82091,1,0,0,0,20,1
117,黑色方格,190017,82091,1,0,0,0,17,1
118,白色方格,190018,82091,1,0,0,0,18,1
119,几何图形：圆形,190019,82091,1,0,0,0,21,1
120,以太特效：紫色,190020,82091,1,0,0,0,16,1
121,以太特效：蓝色,190021,82091,1,0,0,0,14,1
122,以太特效：红色,190022,82091,1,0,0,0,15,1
123,乐谱,190023,82091,347,0,0,0,22,7
124,东方样式,190024,82091,1,0,0,0,23,1
125,稀有度1,190025,82091,1,0,0,0,900,1
126,稀有度2,190026,82091,1,0,0,0,901,1
127,稀有度3,190027,82091,1,0,0,0,902,1
128,稀有度4,190028,82091,1,0,0,0,903,1
129,稀有度5,190029,82091,1,0,0,0,904,1
130,国旗：利姆萨·罗敏萨,190601,82091,346,0,0,0,1010,9
131,国旗：格里达尼亚,190602,82091,346,0,0,0,1011,9
132,国旗：乌尔达哈,190603,82091,346,0,0,0,1012,9
133,第4赛季水晶冲突：王者,190432,82091,409,0,0,0,3227,5
134,第4赛季水晶冲突：勇者,190433,82091,410,0,0,0,3228,5
135,第4赛季水晶冲突：获奖者,190434,82091,411,0,0,0,3229,5
136,第4赛季水晶冲突：水晶,190440,82091,412,0,0,0,3230,5
137,第4赛季水晶冲突：钻石,190439,82091,413,0,0,0,3231,5
138,第4赛季水晶冲突：白金,190438,82091,414,0,0,0,3232,5
139,第4赛季水晶冲突：黄金,190437,82091,415,0,0,0,3233,5
140,第4赛季水晶冲突：白银,190436,82091,416,0,0,0,3234,5
141,第4赛季水晶冲突：青铜,190435,82091,417,0,0,0,3235,5
142,第5赛季水晶冲突：王者,190441,82091,418,0,0,0,3236,5
143,第5赛季水晶冲突：勇者,190442,82091,419,0,0,0,3237,5
144,第5赛季水晶冲突：获奖者,190443,82091,420,0,0,0,3238,5
145,第5赛季水晶冲突：水晶,190449,82091,421,0,0,0,3239,5
146,第5赛季水晶冲突：钻石,190448,82091,422,0,0,0,3240,5
147,第5赛季水晶冲突：白金,190447,82091,423,0,0,0,3241,5
148,第5赛季水晶冲突：黄金,190446,82091,424,0,0,0,3242,5
149,第5赛季水晶冲突：白银,190445,82091,425,0,0,0,3243,5
150,第5赛季水晶冲突：青铜,190444,82091,426,0,0,0,3244,5
151,猎隼阵营,190450,82091,427,0,0,0,3004,10
152,渡鸦阵营,190451,82091,428,0,0,0,3005,10
153,友好部族任务：仙子族,190962,82091,429,0,0,0,2311,3
154,友好部族任务：奇塔利族,190963,82091,430,0,0,0,2312,3
155,友好部族任务：矮人族,190964,82091,431,0,0,0,2313,3
156,友好部族任务：悌阳象族,190965,82091,432,0,0,0,2314,3
