#,Name,Background,Frame,Decoration,SortKey
0,自定义,0,0,0,0
1,基础,1,1,1,2
2,简约,2,3,1,3
3,古典,10,10,1,4
4,华美,7,10,1,5
5,豪华,3,11,8,6
6,以太空间,8,1,1,1
7,日志,7,7,1,7
8,职能：防护职业,4,9,5,8
9,职能：治疗职业,6,9,7,9
10,职能：进攻职业,5,9,6,10
11,骑士（简易）,52,12,12,2050
12,战士（简易）,53,13,13,2051
13,暗黑骑士（简易）,54,14,14,2052
14,绝枪战士（简易）,55,15,15,2053
15,白魔法师（简易）,56,16,16,2054
16,学者（简易）,57,17,17,2055
17,占星术士（简易）,58,18,18,2056
18,贤者（简易）,59,19,19,2057
19,武僧（简易）,60,20,20,2058
20,龙骑士（简易）,61,21,21,2059
21,忍者（简易）,62,22,22,2060
22,武士（简易）,63,23,23,2061
23,钐镰客（简易）,64,24,24,2062
24,吟游诗人（简易）,65,25,25,2064
25,机工士（简易）,66,26,26,2065
26,舞者（简易）,67,27,27,2066
27,黑魔法师（简易）,68,28,28,2067
28,召唤师（简易）,69,29,29,2068
29,赤魔法师（简易）,70,30,30,2069
30,骑士（华丽）,11,12,12,2150
31,战士（华丽）,12,13,13,2151
32,暗黑骑士（华丽）,13,14,14,2152
33,绝枪战士（华丽）,14,15,15,2153
34,白魔法师（华丽）,15,16,16,2154
35,学者（华丽）,16,17,17,2155
36,占星术士（华丽）,17,18,18,2156
37,贤者（华丽）,18,19,19,2157
38,武僧（华丽）,19,20,20,2158
39,龙骑士（华丽）,20,21,21,2159
40,忍者（华丽）,21,22,22,2160
41,武士（华丽）,22,23,23,2161
42,钐镰客（华丽）,23,24,24,2162
43,吟游诗人（华丽）,24,25,25,2164
44,机工士（华丽）,25,26,26,2165
45,舞者（华丽）,26,27,27,2166
46,黑魔法师（华丽）,27,28,28,2167
47,召唤师（华丽）,28,29,29,2168
48,赤魔法师（华丽）,29,30,30,2169
49,星极队,30,31,31,3000
50,灵极队,31,32,32,3001
51,随身神典石1,41,42,42,4000
52,随身神典石2,42,43,43,4001
53,巴哈姆特绝境战,86,44,44,2500
54,究极神兵绝境战,87,45,45,2501
55,亚历山大绝境战,88,46,46,2502
56,幻想龙诗绝境战,89,47,47,2503
57,第1赛季水晶冲突：王者,32,33,33,3200
58,第1赛季水晶冲突：勇者,33,34,34,3201
59,第1赛季水晶冲突：获奖者,34,35,35,3202
60,第1赛季水晶冲突：青铜,35,36,36,3208
61,第1赛季水晶冲突：白银,36,37,37,3207
62,第1赛季水晶冲突：黄金,37,38,38,3206
63,第1赛季水晶冲突：白金,38,39,39,3205
64,第1赛季水晶冲突：钻石,39,40,40,3204
65,第1赛季水晶冲突：水晶,40,41,41,3203
66,第2赛季水晶冲突：王者,90,48,48,3209
67,第2赛季水晶冲突：勇者,91,49,49,3210
68,第2赛季水晶冲突：获奖者,92,50,50,3211
69,第2赛季水晶冲突：青铜,93,51,51,3217
70,第2赛季水晶冲突：白银,94,52,52,3216
71,第2赛季水晶冲突：黄金,95,53,53,3215
72,第2赛季水晶冲突：白金,96,54,54,3214
73,第2赛季水晶冲突：钻石,97,55,55,3213
74,第2赛季水晶冲突：水晶,98,56,56,3212
