#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,Unknown3,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
1,力量,影响单手剑、大斧、双手剑、枪刃、格斗武器、长枪、武士刀、双手镰刀、咒具、魔导书、刺剑、画笔、幻具、天球仪、贤具、青魔杖的物理攻击力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,12,90,100,100,100,70,70,70,100,70,100,100,70,70,0,False
2,灵巧,影响双剑、蝰蛇对剑、弓、火枪、投掷武器的物理攻击力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,13,90,70,70,70,100,70,70,100,70,100,70,100,100,1,False
3,耐力,影响最大体力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,14,90,100,100,100,100,90,90,100,90,100,100,100,100,2,False
4,智力,影响进攻职业的攻击魔法威力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,15,90,70,70,70,70,100,70,70,100,100,70,70,70,3,False
5,精神,影响治疗魔法威力和治疗职业的攻击魔法威力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,16,90,70,70,70,70,70,100,70,100,100,70,70,70,4,False
6,信仰,"影响魔力的自然恢复量。
信仰越高自然恢复量越高。
仅在治疗职业处于战斗状态时生效。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,25,90,70,70,70,70,70,100,70,70,100,70,70,70,5,False
7,体力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,100,100,100,100,100,100,100,100,100,100,100,100,100,6,False
8,魔力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,100,100,100,100,100,100,100,100,100,100,100,100,7,False
9,技力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,100,100,8,False
10,采集力,,20,20,20,20,20,0,20,40,250,250,250,130,20,20,40,80,0,40,100,60,60,40,40,35,100,100,100,100,100,100,100,100,100,100,100,100,100,9,False
11,制作力,,20,20,30,20,30,30,30,30,250,250,250,130,20,20,50,110,0,60,140,80,80,50,50,32,100,100,100,100,100,100,100,100,100,100,100,100,100,10,False
12,物理基本性能,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,1,100,100,100,100,100,100,100,100,100,50,100,100,100,-1,False
13,魔法基本性能,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,2,50,50,50,50,50,100,100,50,100,30,50,50,50,-1,False
