#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
0,皮革陆行鸟鞍,,皮革陆行鸟鞍,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,碧海陆行鸟鞍,,碧海陆行鸟鞍,0,0,0,1,0,0,65538,65541,65538,58549,58553,58551,1,1
2,碧海陆行鸟半装甲,,碧海陆行鸟半装甲,0,0,0,1,0,0,65542,65542,65542,58501,58502,58503,1,2
3,碧海陆行鸟装甲,,碧海陆行鸟装甲,0,0,0,1,0,0,131078,131078,131078,58504,58505,58506,1,3
4,碧海陆行鸟武装甲,,碧海陆行鸟武装甲,0,0,0,1,0,0,196614,196614,196614,58507,58508,58509,1,4
5,密林陆行鸟鞍,,密林陆行鸟鞍,0,0,0,1,0,0,65538,131077,65538,58549,58556,58551,2,5
6,密林陆行鸟半装甲,,密林陆行鸟半装甲,0,0,0,1,0,0,65543,65543,65543,58510,58511,58512,2,6
7,密林陆行鸟装甲,,密林陆行鸟装甲,0,0,0,1,0,0,131079,131079,131079,58513,58514,58515,2,7
8,密林陆行鸟武装甲,,密林陆行鸟武装甲,0,0,0,1,0,0,196615,196615,196615,58516,58517,58518,2,8
9,黄沙陆行鸟鞍,,黄沙陆行鸟鞍,0,0,0,1,0,0,65538,196613,65538,58549,58559,58551,3,9
10,黄沙陆行鸟半装甲,,黄沙陆行鸟半装甲,0,0,0,1,0,0,65544,65544,65544,58519,58520,58521,3,10
11,黄沙陆行鸟装甲,,黄沙陆行鸟装甲,0,0,0,1,0,0,131080,131080,131080,58522,58523,58524,3,11
12,黄沙陆行鸟武装甲,,黄沙陆行鸟武装甲,0,0,0,1,0,0,196616,196616,196616,58525,58526,58527,3,12
13,陆行鸟骑士装甲,,陆行鸟骑士装甲,0,0,0,1,0,0,65546,65546,65546,58528,58529,58530,0,13
14,陆行鸟龙骑士装甲,,陆行鸟龙骑士装甲,0,0,0,1,0,0,65547,65547,65547,58531,58532,58533,0,14
15,陆行鸟白魔装甲,,陆行鸟白魔装甲,0,0,0,1,0,0,65549,65549,65549,58534,58535,58536,0,15
16,斯莱普尼尔装甲,,斯莱普尼尔装甲,0,0,0,1,0,0,65550,65550,65550,58537,58538,58539,0,171
17,贝希摩斯装甲,,贝希摩斯装甲,0,0,0,1,0,0,65551,65551,65551,58540,58541,58542,0,172
18,航空兜帽,,航空兜帽,0,0,0,1,0,0,65555,0,0,58543,0,0,0,51
19,陆行鸟黑魔装甲,,陆行鸟黑魔装甲,0,0,0,1,0,0,65548,65548,65548,58546,58547,58548,0,21
20,陆行鸟王装甲,,陆行鸟王装甲,0,0,0,1,0,0,65553,0,0,58561,0,0,0,52
21,星芒装甲,,星芒装甲,0,0,0,1,0,0,65540,65540,65540,58564,58565,58566,0,101
22,利维亚桑装甲,,利维亚桑装甲,0,0,0,1,0,0,65556,65556,65556,58567,58568,58569,0,125
23,光之鸟甲,,光之鸟甲,0,0,0,1,0,0,65557,65557,65557,58570,58571,58572,0,41
24,猎蛋装甲,,猎蛋装甲,0,0,0,1,0,0,65558,0,0,58573,0,0,0,102
25,拉姆装甲,,拉姆装甲,0,0,0,1,0,0,65560,65560,65560,58576,58577,58578,0,126
26,羽饰装甲,,羽饰装甲,0,0,0,1,0,0,65559,0,0,58579,0,0,0,53
27,怪诞装甲,,怪诞装甲,0,0,0,1,0,0,65561,65561,65561,58582,58583,58584,0,103
28,希瓦装甲,,希瓦装甲,0,0,0,1,0,0,65562,65562,65562,58585,58586,58587,0,127
29,胜负师装甲,,胜负师装甲,0,0,0,1,0,0,65565,65565,65565,58591,58592,58593,0,42
30,情人装甲,,情人装甲,0,0,0,1,0,0,65566,65566,65566,58588,58589,58590,0,104
31,崇山陆行鸟半装甲,,崇山陆行鸟半装甲,0,0,0,1,0,0,65567,65567,65567,58594,58595,58596,0,54
32,崇山陆行鸟装甲,,崇山陆行鸟装甲,0,0,0,1,0,0,131103,131103,131103,58597,58598,58599,0,55
33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,俾斯麦装甲,,俾斯麦装甲,0,0,0,1,0,0,65568,65568,65568,58603,58604,58605,0,128
35,罗波那装甲,,罗波那装甲,0,0,0,1,0,0,65569,65569,65569,58606,58607,58608,0,129
36,贵族装甲,,贵族装甲,0,0,0,1,0,0,65570,65570,65570,58609,58610,58611,0,57
37,正教装甲,,正教装甲,0,0,0,1,0,0,131106,131106,131106,58612,58613,58614,0,58
38,高地装甲,,高地装甲,0,0,0,1,0,0,65571,65571,65571,58615,58616,58617,0,59
39,野玫瑰装甲,,野玫瑰装甲,0,0,0,1,0,0,65573,65573,65573,58618,58619,58620,0,43
40,圆桌装甲,,圆桌装甲,0,0,0,1,0,0,65574,65574,65574,58621,58622,58623,0,130
41,萨菲洛特装甲,,萨菲洛特装甲,0,0,0,1,0,0,65572,65572,65572,58624,58626,58625,0,131
42,猎蛋人装甲,,猎蛋人装甲,0,0,0,1,0,0,65575,65575,65575,58627,58629,58628,0,105
43,东方装甲,,东方装甲,0,0,0,1,0,0,65577,65577,65577,58630,58632,58631,0,60
44,竞赛装甲,,竞赛装甲,0,0,0,1,0,0,65579,65579,65579,58633,58635,58634,0,61
45,邪龙装甲,,邪龙装甲,0,0,0,1,0,0,65578,65578,65578,58636,58638,58637,0,132
46,管家装甲,,管家装甲,0,0,0,1,0,0,65580,65580,65580,58639,58641,58640,0,62
47,索菲娅装甲,,索菲娅装甲,0,0,0,1,0,0,65576,65576,65576,58642,58644,58643,0,133
