#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Component,Subtype,Unknown1,Category
0,无,0,1,0,0,0,0,0,0,0,0
1,光泽,194002,1,0,0,0,1,2,0,0,1
2,四边形,194003,1,0,0,0,6,2,0,0,1
3,圆点,194004,1,0,0,0,7,2,0,0,1
4,菱形,194005,1,0,0,0,8,2,0,0,1
5,格纹,194006,1,0,0,0,2,2,0,0,1
6,斜线,194007,1,0,0,0,3,2,0,0,1
7,双色,194008,1,0,0,0,4,2,0,0,1
8,三角形,194009,1,0,0,0,5,2,0,0,1
9,羊皮纸,194010,1,0,0,0,10,2,0,0,1
10,角花,194011,1,0,0,0,9,2,0,0,1
11,阴影,195002,1,0,0,0,1,1,0,0,1
12,光彩,195003,1,0,0,0,2,1,0,0,1
13,圆点,195004,1,0,0,0,3,1,0,0,1
14,手册,195005,1,0,0,0,4,1,0,0,1
15,剪贴簿,195006,1,0,0,0,5,1,0,0,1
16,魔法阵,195007,1,0,0,0,6,1,0,0,1
17,羊皮纸,195008,1,0,0,0,7,1,0,0,1
18,涂料,195009,1,0,0,0,8,1,0,0,1
19,金属看板,195010,1,0,0,0,9,1,0,0,1
20,书籍,195011,1,0,0,0,10,1,0,0,1
21,标签,197002,1,0,0,0,3,3,0,0,1
22,欢迎回来,197003,1,0,0,0,4,3,0,0,1
23,金属圆环,197004,1,0,0,0,5,3,0,0,1
24,职业标签：防护职业,197005,1,0,0,0,6,3,0,0,1
25,职业标签：进攻职业,197006,1,0,0,0,8,3,0,0,1
26,职业标签：治疗职业,197007,1,0,0,0,7,3,0,0,1
27,简易边框：棕色,197008,1,0,0,0,1,3,0,0,1
28,简易边框：金属,197009,1,0,0,0,2,3,0,0,1
29,记事贴,197010,1,0,0,0,9,3,0,0,1
30,剪贴簿,197011,1,0,0,0,10,3,0,0,1
31,黑色,198002,1,0,0,0,3,4,0,0,1
32,白色,198003,1,0,0,0,2,4,0,0,1
33,宝石边框（复杂）,198004,1,0,0,0,5,4,0,0,1
34,宝石边框（简易）,198005,1,0,0,0,4,4,0,0,1
35,利姆萨·罗敏萨,198006,1,0,0,0,6,4,0,0,1
36,格里达尼亚,198007,1,0,0,0,7,4,0,0,1
37,乌尔达哈,198008,1,0,0,0,8,4,0,0,1
38,金属,198009,1,0,0,0,1,4,0,0,1
39,九宫幻卡EX,198010,298,0,0,0,10,4,0,0,1
40,九宫幻卡,198011,298,0,0,0,9,4,0,0,1
41,金币,199002,1,0,0,0,1,5,0,0,1
42,羽毛笔,199003,1,0,0,0,2,5,0,0,1
43,贴纸,199004,1,0,0,0,3,5,0,0,1
44,地图,199005,1,0,0,0,4,5,0,0,1
45,蝴蝶结,199006,1,0,0,0,5,5,0,0,1
46,信件,199007,1,0,0,0,6,5,0,0,1
47,音符,199008,1,0,0,0,7,5,0,0,1
48,花束,199009,1,0,0,0,8,5,0,0,1
49,记事贴,199010,1,0,0,0,9,5,0,0,1
50,邮票,199011,1,0,0,0,10,5,0,0,1
51,剑术师,194201,156,0,0,0,2000,2,0,0,2
52,斧术师,194202,157,0,0,0,2001,2,0,0,2
53,幻术师,194203,158,0,0,0,2002,2,0,0,2
54,格斗家,194204,159,0,0,0,2003,2,0,0,2
55,枪术师,194205,160,0,0,0,2004,2,0,0,2
56,双剑师,194206,161,0,0,0,2005,2,0,0,2
57,弓箭手,194207,162,0,0,0,2006,2,0,0,2
58,咒术师,194208,163,0,0,0,2007,2,0,0,2
59,秘术师,194209,164,0,0,0,2008,2,0,0,2
60,骑士,194210,300,0,0,0,2050,2,0,0,2
61,战士,194211,301,0,0,0,2051,2,0,0,2
62,暗黑骑士,194212,302,0,0,0,2052,2,0,0,2
63,绝枪战士,194213,303,0,0,0,2053,2,0,0,2
64,白魔法师,194214,304,0,0,0,2054,2,0,0,2
65,学者,194215,305,0,0,0,2055,2,0,0,2
66,占星术士,194216,306,0,0,0,2056,2,0,0,2
67,贤者,194217,307,0,0,0,2057,2,0,0,2
68,武僧,194218,308,0,0,0,2058,2,0,0,2
69,龙骑士,194219,309,0,0,0,2059,2,0,0,2
70,忍者,194220,310,0,0,0,2060,2,0,0,2
71,武士,194221,311,0,0,0,2061,2,0,0,2
72,钐镰客,194222,312,0,0,0,2062,2,0,0,2
73,吟游诗人,194223,313,0,0,0,2064,2,0,0,2
74,机工士,194224,314,0,0,0,2065,2,0,0,2
75,舞者,194225,315,0,0,0,2066,2,0,0,2
76,黑魔法师,194226,316,0,0,0,2067,2,0,0,2
77,召唤师,194227,317,0,0,0,2068,2,0,0,2
78,赤魔法师,194228,318,0,0,0,2069,2,0,0,2
79,青魔法师,194229,232,0,0,0,2071,2,0,0,2
80,刻木匠,194230,268,0,0,0,2100,2,0,0,2
81,锻铁匠,194231,269,0,0,0,2101,2,0,0,2
82,铸甲匠,194232,270,0,0,0,2102,2,0,0,2
83,雕金匠,194233,271,0,0,0,2103,2,0,0,2
84,制革匠,194234,272,0,0,0,2104,2,0,0,2
85,裁衣匠,194235,273,0,0,0,2105,2,0,0,2
86,炼金术士,194236,274,0,0,0,2106,2,0,0,2
87,烹调师,194237,275,0,0,0,2107,2,0,0,2
88,采矿工,194238,285,0,0,0,2108,2,0,0,2
89,园艺工,194239,286,0,0,0,2109,2,0,0,2
90,捕鱼人,194240,287,0,0,0,2110,2,0,0,2
91,,0,0,0,0,0,0,0,0,0,0
92,,0,0,0,0,0,0,0,0,0,0
93,,0,0,0,0,0,0,0,0,0,0
94,,0,0,0,0,0,0,0,0,0,0
95,,0,0,0,0,0,0,0,0,0,0
96,,0,0,0,0,0,0,0,0,0,0
97,,0,0,0,0,0,0,0,0,0,0
98,,0,0,0,0,0,0,0,0,0,0
99,,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0
101,,0,0,0,0,0,0,0,0,0,0
102,,0,0,0,0,0,0,0,0,0,0
103,,0,0,0,0,0,0,0,0,0,0
104,,0,0,0,0,0,0,0,0,0,0
105,,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0,0
108,,0,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0,0
110,,0,0,0,0,0,0,0,0,0,0
111,,0,0,0,0,0,0,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0
113,,0,0,0,0,0,0,0,0,0,0
114,,0,0,0,0,0,0,0,0,0,0
115,,0,0,0,0,0,0,0,0,0,0
116,,0,0,0,0,0,0,0,0,0,0
117,,0,0,0,0,0,0,0,0,0,0
118,,0,0,0,0,0,0,0,0,0,0
119,,0,0,0,0,0,0,0,0,0,0
120,,0,0,0,0,0,0,0,0,0,0
121,,0,0,0,0,0,0,0,0,0,0
122,,0,0,0,0,0,0,0,0,0,0
123,,0,0,0,0,0,0,0,0,0,0
124,,0,0,0,0,0,0,0,0,0,0
125,,0,0,0,0,0,0,0,0,0,0
126,,0,0,0,0,0,0,0,0,0,0
127,,0,0,0,0,0,0,0,0,0,0
128,,0,0,0,0,0,0,0,0,0,0
129,,0,0,0,0,0,0,0,0,0,0
130,,0,0,0,0,0,0,0,0,0,0
131,,0,0,0,0,0,0,0,0,0,0
132,,0,0,0,0,0,0,0,0,0,0
133,,0,0,0,0,0,0,0,0,0,0
134,,0,0,0,0,0,0,0,0,0,0
135,,0,0,0,0,0,0,0,0,0,0
136,,0,0,0,0,0,0,0,0,0,0
137,,0,0,0,0,0,0,0,0,0,0
138,,0,0,0,0,0,0,0,0,0,0
139,,0,0,0,0,0,0,0,0,0,0
140,,0,0,0,0,0,0,0,0,0,0
141,,0,0,0,0,0,0,0,0,0,0
142,,0,0,0,0,0,0,0,0,0,0
143,,0,0,0,0,0,0,0,0,0,0
144,,0,0,0,0,0,0,0,0,0,0
145,,0,0,0,0,0,0,0,0,0,0
146,,0,0,0,0,0,0,0,0,0,0
147,,0,0,0,0,0,0,0,0,0,0
148,,0,0,0,0,0,0,0,0,0,0
149,,0,0,0,0,0,0,0,0,0,0
150,,0,0,0,0,0,0,0,0,0,0
151,,0,0,0,0,0,0,0,0,0,0
152,随身神典石1,197901,154,1032,1034,1036,4000,3,0,0,7
153,随身神典石2,197902,155,1033,1035,1037,4001,3,0,0,7
154,随身神典石1,198901,154,1032,1034,1036,4000,4,0,0,7
155,随身神典石2,198902,155,1033,1035,1037,4001,4,0,0,7
156,随身神典石1,199901,154,1032,1034,1036,4000,5,0,0,7
157,随身神典石2,199902,155,1033,1035,1037,4001,5,0,0,7
158,随身神典石1,195901,154,1032,1034,1036,4000,1,0,0,7
159,随身神典石2,195902,155,1033,1035,1037,4001,1,0,0,7
160,巴哈姆特绝境战,195701,319,0,0,0,2500,1,0,0,4
161,巴哈姆特绝境战,197701,319,0,0,0,2500,3,0,0,4
162,巴哈姆特绝境战,198701,319,0,0,0,2500,4,0,0,4
163,巴哈姆特绝境战,199701,319,0,0,0,2500,5,0,0,4
164,究极神兵绝境战,195702,320,0,0,0,2501,1,0,0,4
165,究极神兵绝境战,197702,320,0,0,0,2501,3,0,0,4
166,究极神兵绝境战,198702,320,0,0,0,2501,4,0,0,4
167,究极神兵绝境战,199702,320,0,0,0,2501,5,0,0,4
168,亚历山大绝境战,195703,321,0,0,0,2502,1,0,0,4
169,亚历山大绝境战,197703,321,0,0,0,2502,3,0,0,4
170,亚历山大绝境战,198703,321,0,0,0,2502,4,0,0,4
171,亚历山大绝境战,199703,321,0,0,0,2502,5,0,0,4
