#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
0,无,196001,196251,1,0,0,0,0,0,0,0,0,0
1,半透明：黑色,196002,196252,1,0,0,0,3,1,0,0,0,1
2,渐变色：蓝色,196003,196253,1,0,0,0,1,1,0,0,0,1
3,渐变色：紫色,196004,196254,1,0,0,0,2,1,0,0,0,1
4,乳白色,196005,196255,1,0,0,0,5,2,0,0,0,1
5,长枪,196006,196256,1,0,0,0,9,1,0,0,0,1
6,经典,196007,196257,1,0,0,0,10,1,0,0,0,1
7,木板,196008,196258,1,0,0,0,7,2,0,0,0,1
8,半透明：深蓝色,196009,196259,1,0,0,0,4,1,0,0,0,1
9,木质纹理,196010,196260,1,0,0,0,6,1,0,0,0,1
10,卷轴,196011,196261,1,0,0,0,8,1,0,0,0,1
11,巴哈姆特绝境战,196101,0,319,0,0,0,2500,1,0,0,0,4
12,究极神兵绝境战,196102,0,320,0,0,0,2501,1,0,0,0,4
13,亚历山大绝境战,196103,0,321,0,0,0,2502,1,0,0,0,4
14,幻想龙诗绝境战,196104,0,322,0,0,0,2503,1,0,0,0,4
15,友好部族任务：奥密克戎族,196216,196466,344,0,0,0,2315,1,0,0,0,3
16,音乐,196012,196262,347,0,0,0,22,1,0,0,0,7
17,东方样式,196013,196263,1,0,0,0,23,1,0,0,0,1
18,胶带纸：利姆萨·罗敏萨,196014,196264,346,0,0,0,1000,1,0,0,0,9
19,胶带纸：格里达尼亚,196015,196265,346,0,0,0,1001,1,0,0,0,9
20,胶带纸：乌尔达哈,196016,196266,346,0,0,0,1002,1,0,0,0,9
21,友好部族任务：仙子族,196212,196462,429,0,0,0,2311,1,0,0,0,3
22,友好部族任务：奇塔利族,196213,196463,430,0,0,0,2312,1,0,0,0,3
23,友好部族任务：矮人族,196214,196464,431,0,0,0,2313,1,0,0,0,3
24,友好部族任务：悌阳象族,196215,196465,432,0,0,0,2314,1,0,0,0,3
25,友好部族任务：兔兔族,196217,196467,433,0,0,0,2316,1,0,0,0,3
26,欧米茄绝境验证战,196105,0,434,0,0,0,2504,1,0,0,0,4
27,友好部族任务：甲人族,196210,196460,524,0,0,0,2308,1,0,0,0,3
28,友好部族任务：阿难陀族,196209,196459,525,0,0,0,2309,2,0,0,0,3
29,友好部族任务：鲶鱼精族,196211,196461,526,0,0,0,2310,1,0,0,0,3
30,10周年纪念,196106,0,523,0,0,0,3950,1,0,0,0,7
