#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
0,,,,,0,1,1
1,说话,LogChatBubbleSayShowType,LogChatBubbleSayFontColor,LogChatBubbleSayWindowColor,0,1,1
2,呼喊,LogChatBubbleYellShowType,LogChatBubbleYellFontColor,LogChatBubbleYellWindowColor,1,1,2
3,喊话,LogChatBubbleShoutShowType,LogChatBubbleShoutFontColor,LogChatBubbleShoutWindowColor,2,1,3
4,悄悄话,LogChatBubbleTellShowType,LogChatBubbleTellFontColor,LogChatBubbleTellWindowColor,3,1,4
5,小队,LogChatBubblePartyShowType,LogChatBubblePartyFontColor,LogChatBubblePartyWindowColor,4,1,5
6,团队,LogChatBubbleAllianceShowType,LogChatBubbleAllianceFontColor,LogChatBubbleAllianceWindowColor,5,1,6
7,部队,LogChatBubbleFcShowType,LogChatBubbleFcFontColor,LogChatBubbleFcWindowColor,6,1,7
8,新人频道,LogChatBubbleBeginnerShowType,LogChatBubbleBeginnerFontColor,LogChatBubbleBeginnerWindowColor,24,1,8
9,战队,LogChatBubblePvpteamShowType,LogChatBubblePvpteamFontColor,LogChatBubblePvpteamWindowColor,7,1,7
10,通讯贝1,LogChatBubbleLs1ShowType,LogChatBubbleLs1FontColor,LogChatBubbleLs1WindowColor,16,1,8
11,通讯贝2,LogChatBubbleLs2ShowType,LogChatBubbleLs2FontColor,LogChatBubbleLs2WindowColor,17,1,8
12,通讯贝3,LogChatBubbleLs3ShowType,LogChatBubbleLs3FontColor,LogChatBubbleLs3WindowColor,18,1,8
13,通讯贝4,LogChatBubbleLs4ShowType,LogChatBubbleLs4FontColor,LogChatBubbleLs4WindowColor,19,1,8
14,通讯贝5,LogChatBubbleLs5ShowType,LogChatBubbleLs5FontColor,LogChatBubbleLs5WindowColor,20,1,8
15,通讯贝6,LogChatBubbleLs6ShowType,LogChatBubbleLs6FontColor,LogChatBubbleLs6WindowColor,21,1,8
16,通讯贝7,LogChatBubbleLs7ShowType,LogChatBubbleLs7FontColor,LogChatBubbleLs7WindowColor,22,1,8
17,通讯贝8,LogChatBubbleLs8ShowType,LogChatBubbleLs8FontColor,LogChatBubbleLs8WindowColor,23,1,8
18,跨服通讯贝1,LogChatBubbleCwls1ShowType,LogChatBubbleCwls1FontColor,LogChatBubbleCwls1WindowColor,8,1,8
19,跨服通讯贝2,LogChatBubbleCwls2ShowType,LogChatBubbleCwls2FontColor,LogChatBubbleCwls2WindowColor,9,1,8
20,跨服通讯贝3,LogChatBubbleCwls3ShowType,LogChatBubbleCwls3FontColor,LogChatBubbleCwls3WindowColor,10,1,8
21,跨服通讯贝4,LogChatBubbleCwls4ShowType,LogChatBubbleCwls4FontColor,LogChatBubbleCwls4WindowColor,11,1,8
22,跨服通讯贝5,LogChatBubbleCwls5ShowType,LogChatBubbleCwls5FontColor,LogChatBubbleCwls5WindowColor,12,1,8
23,跨服通讯贝6,LogChatBubbleCwls6ShowType,LogChatBubbleCwls6FontColor,LogChatBubbleCwls6WindowColor,13,1,8
24,跨服通讯贝7,LogChatBubbleCwls7ShowType,LogChatBubbleCwls7FontColor,LogChatBubbleCwls7WindowColor,14,1,8
25,跨服通讯贝8,LogChatBubbleCwls8ShowType,LogChatBubbleCwls8FontColor,LogChatBubbleCwls8WindowColor,15,1,8
