#,Name,Description,Icon,Value,ChocoboRaceAbilityType
0,,,0,0,0
1,陆行鸟冲刺,"冲刺。
持续时间：1秒",70001,1,1
2,陆行鸟冲刺II,"冲刺。
持续时间：2秒",70002,2,1
3,陆行鸟冲刺III,"冲刺。
持续时间：3秒",70003,3,1
4,陆行鸟治疗,恢复6%的体力。,70004,6,2
5,陆行鸟治疗II,恢复9%的体力。,70005,9,2
6,陆行鸟治疗III,恢复12%的体力。,70006,12,2
7,陆行鸟康复,75%的几率解除弱化效果。,70007,75,3
8,陆行鸟康复II,90%的几率解除弱化效果。,70008,90,3
9,陆行鸟康复III,100%的几率解除弱化效果。,70009,100,3
10,陆行鸟活力,解除加重状态，并恢复80的体力。,70010,80,4
11,陆行鸟活力II,解除加重状态，并恢复130的体力。,70011,130,4
12,陆行鸟活力III,解除加重状态，并恢复180的体力。,70012,180,4
13,陆行鸟镇静,解除失控状态，并恢复100的体力。,70013,100,5
14,陆行鸟镇静II,解除失控状态，并恢复150的体力。,70014,150,5
15,陆行鸟镇静III,解除失控状态，并恢复200的体力。,70015,200,5
16,陆行鸟反射,"将仅以自身为目标的弱化效果反射给使用者。
持续时间：10秒",70016,10,6
17,陆行鸟反射II,"将仅以自身为目标的弱化效果反射给使用者。
持续时间：15秒",70017,15,6
18,陆行鸟反射III,"将仅以自身为目标的弱化效果反射给使用者。
持续时间：20秒",70018,20,6
19,陆行鸟偷取,50%的几率窃取前方陆行鸟的道具。,70019,50,7
20,陆行鸟偷取II,70%的几率窃取前方陆行鸟的道具。,70020,70,7
21,陆行鸟偷取III,90%的几率窃取前方陆行鸟的道具。,70021,90,7
22,陆行鸟沉默,"在自身周围生成无法使用能力的结界。
持续时间：35秒",70022,35,8
23,陆行鸟沉默II,"在自身周围生成无法使用能力的结界。
持续时间：40秒",70023,40,8
24,陆行鸟沉默III,"在自身周围生成无法使用能力的结界。
持续时间：45秒",70024,45,8
25,陆行鸟震荡,"在自身周围生成无法使用道具的结界。
持续时间：25秒",70025,25,9
26,陆行鸟震荡II,"在自身周围生成无法使用道具的结界。
持续时间：30秒",70026,30,9
27,陆行鸟震荡III,"在自身周围生成无法使用道具的结界。
持续时间：35秒",70027,35,9
28,体力消耗降低,加速时消耗的体力降低9%。,70028,9,10
29,体力消耗降低II,加速时消耗的体力降低12%。,70029,12,10
30,体力消耗降低III,加速时消耗的体力降低15%。,70030,15,10
31,加重耐性,60%的几率使加重状态无效化。,70031,60,11
32,加重耐性II,70%的几率使加重状态无效化。,70032,70,11
33,加重耐性III,80%的几率使加重状态无效化。,70033,80,11
34,加重耐性IV,90%的几率使加重状态无效化。,70034,90,11
35,加重耐性V,100%的几率使加重状态无效化。,70035,100,11
36,失控耐性,60%的几率使失控状态无效化。,70036,60,12
37,失控耐性II,70%的几率使失控状态无效化。,70037,70,12
38,失控耐性III,80%的几率使失控状态无效化。,70038,80,12
39,失控耐性IV,90%的几率使失控状态无效化。,70039,90,12
40,失控耐性V,100%的几率使失控状态无效化。,70040,100,12
41,体力恢复量提高,恢复体力时的恢复量增加50%。,70041,50,13
42,体力恢复量提高II,恢复体力时的恢复量增加65%。,70042,65,13
43,体力恢复量提高III,恢复体力时的恢复量增加80%。,70043,80,13
44,经验值提高,获得的经验值增加10%。,70044,10,14
45,经验值提高II,获得的经验值增加20%。,70045,20,14
46,经验值提高III,获得的经验值增加30%。,70046,30,14
47,起跑冲刺,比赛开始时，以最高速度起跑。,70047,1,15
48,陆行鸟吸收,"在自身周围生成吸收体力的结界。
每秒钟从范围内的陆行鸟处吸收15的体力。",70048,15,16
49,陆行鸟吸收II,"在自身周围生成吸收体力的结界。
每秒钟从范围内的陆行鸟处吸收25的体力。",70049,25,16
50,陆行鸟吸收III,"在自身周围生成吸收体力的结界。
每秒钟从范围内的陆行鸟处吸收35的体力。",70050,35,16
51,道具变换,将目前持有的道具转换为其它道具。,70051,0,17
52,模仿,"自身前方的陆行鸟使用道具或能力时，发动与之相同的效果。
持续时间：7秒",70052,7,18
53,模仿II,"自身前方的陆行鸟使用道具或能力时，发动与之相同的效果。
持续时间：11秒",70053,11,18
54,模仿III,"自身前方的陆行鸟使用道具或能力时，发动与之相同的效果。
持续时间：15秒",70054,15,18
55,鸟羽结界,"不受其他陆行鸟发动的结界效果影响。
持续时间：10秒",70055,10,19
56,鸟羽结界II,"不受其他陆行鸟发动的结界效果影响。
持续时间：20秒",70056,20,19
57,鸟羽结界III,"不受其他陆行鸟发动的结界效果影响。
持续时间：30秒",70057,30,19
58,超级冲刺,不再受到天气或地形的效果影响，持续冲刺直到体力降至0。,70058,0,20
59,陆行鸟重生,体力降至0时一次性恢复60体力。,70059,60,21
60,陆行鸟重生II,体力降至0时一次性恢复130体力。,70060,130,21
61,陆行鸟重生III,体力降至0时一次性恢复200体力。,70061,200,21
62,弱化耐性,自身所受弱化效果的持续时间减少至80%。,70062,80,22
63,弱化耐性II,自身所受弱化效果的持续时间减少至65%。,70063,65,22
64,弱化耐性III,自身所受弱化效果的持续时间减少至50%。,70064,50,22
65,减速休息,减速过程中体力逐渐恢复，每次恢复0.8%体力。,70065,8,23
66,减速休息II,减速过程中体力逐渐恢复，每次恢复1%体力。,70066,10,23
67,减速休息III,减速过程中体力逐渐恢复，每次恢复1.2%体力。,70067,12,23
68,,,0,0,0
69,,,0,0,0
70,,,0,0,0
