#,PlaceName,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7]
1179648,剧情君1,1,0,0,0,0,0,0,0
1179649,剧情君2,0,0,0,0,0,0,0,0
1179650,格里达尼亚,16,2,4,18,8,12,0,0
1179651,霍桑山寨,6,0,0,0,0,0,0,0
1179652,巴斯卡隆酒家,21,24,0,0,0,0,0,0
1179653,石场水车,10,25,23,0,0,0,0,0
1179654,恬静路营地,14,20,22,108,0,0,0,0
1179655,林场水车,17,27,0,0,0,0,0,0
1179656,秋瓜浮村,19,26,94,0,0,0,0,0
1179657,弯枝牧场,3,0,0,0,0,0,0,0
1179658,乌尔达哈,42,32,44,30,48,52,38,28
1179659,地平关,33,36,34,0,0,0,0,0
1179660,黄昏湾,31,37,0,0,0,0,0,0
1179661,白银集市,29,35,0,0,0,0,0,0
1179662,黑尘驿站,43,0,0,0,0,0,0,0
1179663,枯骨营地,46,56,110,0,0,0,0,0
1179664,小阿拉米格,50,58,0,0,0,0,0,0
1179665,遗忘绿洲,54,59,0,0,0,0,0,0
1179666,蓝雾营地,40,60,0,0,0,0,0,0
1179667,黄金集市,57,0,0,0,0,0,0,0
1179668,青磷精炼所,61,0,0,0,0,0,0,0
1179669,利姆萨·罗敏萨,62,88,64,86,68,72,76,82
1179670,盛夏农庄,63,0,0,0,0,0,0,0
1179671,雨燕塔殖民地,66,93,0,0,0,0,0,0
1179672,小麦酒港,70,92,0,0,0,0,0,0
1179673,葡萄酒港,74,0,0,0,0,0,0,0
1179674,石绿湖营地,79,0,0,0,0,0,0,0
1179675,莫拉比造船厂,87,90,0,0,0,0,0,0
1179676,赤血雄鸡农场,89,91,0,0,0,0,0,0
1179677,太阳海岸,84,0,0,0,0,0,0,0
1179678,（空き）,0,0,0,0,0,0,0,0
1179679,阿德内尔占星台,98,0,0,0,0,0,0,0
1179680,巨龙首营地,99,101,102,96,0,0,0,0
1179681,白云崖前哨,100,0,0,0,0,0,0,0
1179682,丧灵钟,104,106,0,0,0,0,0,0
1179683,圣寇伊纳克调查地,107,0,0,0,0,0,0,0
1179684,伊修加德基础层,140,0,0,0,0,0,0,0
1179685,隼巢,141,112,114,0,0,0,0,0
1179686,圣菲内雅连队露营地,113,118,0,0,0,0,0,0
1179687,尾羽集落,116,120,122,124,0,0,0,0
1179688,不洁三塔,123,128,0,0,0,0,0,0
1179689,游击野营地,126,130,0,0,0,0,0,0
1179690,莫古力之家,132,134,0,0,0,0,0,0
1179691,赎罪天廊,135,136,0,0,0,0,0,0
1179692,天极白垩宫,137,133,0,0,0,0,0,0
1179693,尊杜集落,138,0,0,0,0,0,0,0
1179694,云顶营地,139,0,0,0,0,0,0,0
1179695,神拳痕,145,148,151,152,0,0,0,0
1179696,帝国东方堡,146,155,0,0,0,0,0,0
1179697,对等石,149,156,157,0,0,0,0,0
1179698,阿拉加纳,143,161,163,0,0,0,0,0
1179699,阿拉基利,153,159,162,166,0,0,0,0
1179700,天营门,165,168,169,0,0,0,0,0
1179701,阿拉米格人居住区,170,0,0,0,0,0,0,0
1179702,黄金港,171,174,0,0,0,0,0,0
1179703,自凝岛,172,177,179,195,0,0,0,0
1179704,碧玉水,175,178,183,0,0,0,0,0
1179705,茨菰村,181,185,187,0,0,0,0,0
1179706,烈士庵,188,189,201,0,0,0,0,0
1179707,重逢集市,191,193,197,206,0,0,0,0
1179708,模儿衣楼,198,203,0,0,0,0,0,0
1179709,晨曦王座,199,205,204,0,0,0,0,0
1179710,图姆拉村,207,212,213,0,0,0,0,0
1179711,工匠村,208,209,216,0,0,0,0,0
1179712,滞潮村,210,211,219,0,0,0,0,0
1179713,游末邦,215,218,221,0,0,0,0,0
1179714,普拉恩尼茸洞,222,224,0,0,0,0,0,0
1179715,云村,223,227,0,0,0,0,0,0
1179716,群花馆,225,226,236,251,0,0,0,0
1179717,法诺村,229,0,0,0,0,0,0,0
1179718,蛇行枝,228,240,255,0,0,0,0,0
1179719,络尾聚落,230,247,262,267,0,0,0,0
1179720,鼹灵集市,231,265,0,0,0,0,0,0
1179721,水晶都,244,259,0,0,0,0,0,0
1179722,奥斯塔尔严命城,233,249,253,257,260,0,0,0
1179723,乔布要塞,232,234,238,242,245,0,0,0
1179724,上路客店,264,266,0,0,0,0,0,0
1179725,拉札罕,288,291,294,0,0,0,0,0
1179726,新港,280,283,286,0,0,0,0,0
1179727,代米尔遗烈乡,281,285,289,0,0,0,0,0
1179728,波洛伽护法村,282,284,292,0,0,0,0,0
1179729,碎璃营地,295,0,0,0,0,0,0,0
1179730,第三站,296,0,0,0,0,0,0,0
1179731,诡巧大厅,305,308,311,0,0,0,0,0
1179732,公堂保管院,297,301,303,0,0,0,0,0
1179733,小萨雷安,298,299,306,0,0,0,0,0
1179734,无路总部,302,300,309,0,0,0,0,0
1179735,图莱尤拉,312,315,0,0,0,0,0,0
1179736,瓦丘恩佩洛,313,318,0,0,0,0,0,0
1179737,沃拉的回响,319,0,0,0,0,0,0,0
1179738,哈努聚落,316,320,322,0,0,0,0,0
1179739,朋友的灯火,321,324,0,0,0,0,0,0
1179740,土陶郡,323,325,0,0,0,0,0,0
