#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
0,标准,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False
1,回溯过去,0,-0.2,-0.2,0,0,0.6,0,0,0,0,0,0,1,60,False
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,棕色1,0,0,-0.3,0,0,1,-0.2,0,0,0,0,0.1,0.9,5,False
4,黑白1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,False
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,鲜艳1,0,0,0,0,-0.2,0,-0.2,0.1,0,0.1,0,0,1,15,False
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,色调分离1,0,0,0,0,0.5,0.2,0,0,0,0,0,0.5,0.5,20,False
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,色调分离2,0,0,0,0,1,0,0,0,0,0,0,0.9,0,21,False
13,彩色铅笔,0,0,0.1,-0.3,-0.1,0.2,0,0,0,0,-0.2,0.4,0.6,30,False
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,色粉画1,0,0,0.1,-0.3,0,0.2,-0.1,0.6,0.6,0.6,-0.2,0.1,0.4,50,False
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,以太成像,0,0,0,0,-1,-0.8,1,1,0.7,0.3,1,0.3,1,61,False
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,鲜艳3,0,0.2,-0.1,0,0.2,0,0.4,0.8,0.8,1,0,0.2,0.8,17,False
24,棕色2,0,-1,0,0.1,-0.2,0,0.2,0.9,0.3,0,0,0.2,0.8,6,False
25,黑白2,0,0,0,0,1,0,0,0,0,0,0,0.5,1,11,False
26,色粉画2,0,-0.4,0,-0.2,0,0,0,0,0,0,0,0.1,0.3,51,True
27,鲜艳2,0,0.6,0,0,0.2,-0.6,0.4,0.8,0.6,0.4,0.1,0.2,0.6,16,True
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,彩色水笔1,0,0,-0.2,0.6,0.2,-0.3,0,0,0,0,0,0,0.4,40,True
30,黑白铅笔,0,0,0,0,1,-0.2,0,0,0,0,0,0.4,0.7,35,False
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,强调特效,0,0,-0.2,-0.2,0,0,0,0,0,0,0,0.25,0.5,70,True
35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,单色1,0,-1,0,0.2,0,0,0.2,0.9,0.1,0.5,0,0.1,0.9,55,True
39,单色2,0,-1,0,0.1,0,-0.2,0.2,0.1,0.4,0.1,0,0.1,0.9,56,False
40,单色3,0,-1,0,0.1,-0.2,0,0.3,0.1,0.4,1,0,0.1,0.9,57,False
41,鲜艳4,0,0.6,0,0,0.2,-0.6,0.4,0.7,0.6,0.5,0,0,0.8,18,True
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,色粉画3,0,0,0.1,-0.3,-0.2,0.2,-0.2,0.7,0.7,0.7,-0.2,0.1,0.4,52,False
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,彩色水笔2,0,-0.2,-0.2,0.4,0.4,-0.3,0,0,0,0,0,0,0.35,42,True
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,预告片,0,-0.3,0,0.1,0.4,0.2,-0.1,1,0,0.8,-0.1,0,1,59,False
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
