#,Name,Description,Cost,Icon,FCRank,Order,Purchasable
0,,,0,0,0,0,True
1,讨伐经验值提高,24小时内（地球时间），打倒敌人时获得的经验增加5%。,3500,64213,5,1,True
2,采集经验值提高,24小时内（地球时间），采集时获得的经验增加5%。,3500,64215,5,2,True
3,制作经验值提高,24小时内（地球时间），制作时获得的经验增加5%。,3500,64216,5,3,True
4,搭档经验值提高,24小时内（地球时间），搭档获得的经验增加10%。,2800,64214,5,4,True
5,对战战绩提高,24小时内（地球时间），对战时所获得的狼印战绩增加5%。,2800,64217,5,5,True
6,军票提高,24小时内（地球时间），获得的军票增加5%。,2800,64218,5,6,True
7,鼓励新人,24小时内（地球时间），25级以下战斗职业的所有状态参数提高10%。,1750,64201,5,8,True
8,获得力提高,24小时内（地球时间），大地使者提升5点获得力。,2800,64202,5,9,True
9,鉴别力提高,24小时内（地球时间），大地使者提升5点鉴别力。,2800,64203,5,10,True
10,作业精度提高,24小时内（地球时间），能工巧匠提升5点作业精度。,2800,64204,5,11,True
11,加工精度提高,24小时内（地球时间），能工巧匠提升5点加工精度。,2800,64205,5,12,True
12,精炼度增加量提高,24小时内（地球时间），精炼度增长得更快。,3500,64209,5,13,True
13,食物效果时间延长,24小时内（地球时间），食物的效果时间延长5分钟。,2800,64208,5,14,True
14,装备损耗降低,24小时内（地球时间），装备耐久度损耗降低10%。,3500,64210,5,15,True
15,城内冲刺时间延长,24小时内（地球时间），城内冲刺效果时间延长25%。,2800,64220,5,16,True
16,传送优惠,24小时内（地球时间），传送所需要花费的金币减少20%。,3500,64212,5,17,True
17,金碟币提高,24小时内（地球时间），获得的金碟币增加5%。,2800,64219,5,7,True
18,,,0,0,0,0,False
19,,,0,0,0,0,False
20,,,0,0,0,0,False
21,,,0,0,0,0,False
22,,,0,0,0,0,False
23,,,0,0,0,0,False
24,,,0,0,0,0,False
25,,,0,0,0,0,False
26,,,0,0,0,0,False
27,,,0,0,0,0,False
28,,,0,0,0,0,False
29,,,0,0,0,0,False
30,,,0,0,0,0,False
31,讨伐经验值提高II,24小时内（地球时间），打倒敌人时获得的经验增加10%。,7000,64238,8,18,True
32,采集经验值提高II,24小时内（地球时间），采集时获得的经验增加10%。,7000,64240,8,19,True
33,制作经验值提高II,24小时内（地球时间），制作时获得的经验增加10%。,7000,64241,8,20,True
34,搭档经验值提高II,24小时内（地球时间），搭档获得的经验增加15%。,7000,64239,8,21,True
35,对战战绩提高II,24小时内（地球时间），对战时所获得的狼印战绩增加10%。,7000,64242,8,22,True
36,军票提高II,24小时内（地球时间），获得的军票增加10%。,7000,64243,8,23,True
37,鼓励新人II,24小时内（地球时间），49级以下战斗职业的所有状态参数提高5%。,3500,64226,8,25,True
38,获得力提高II,24小时内（地球时间），大地使者提升10点获得力。,7000,64227,8,26,True
39,鉴别力提高II,24小时内（地球时间），大地使者提升10点鉴别力。,7000,64228,8,27,True
40,作业精度提高II,24小时内（地球时间），能工巧匠提升10点作业精度。,7000,64229,8,28,True
41,加工精度提高II,24小时内（地球时间），能工巧匠提升10点加工精度。,7000,64230,8,29,True
42,精炼度增加量提高II,24小时内（地球时间），精炼度增长得更快。,7000,64234,8,30,True
43,食物效果时间延长II,24小时内（地球时间），食物的效果时间延长10分钟。,7000,64233,8,31,True
44,装备损耗降低II,24小时内（地球时间），装备耐久度损耗降低20%。,7000,64235,8,32,True
45,城内冲刺时间延长II,24小时内（地球时间），城内冲刺效果时间延长50%。,5600,64245,8,33,True
46,传送优惠II,24小时内（地球时间），传送所需要花费的金币减少30%。,7000,64237,8,34,True
47,金碟币提高II,24小时内（地球时间），获得的金碟币增加10%。,7000,64244,8,24,True
48,,,0,0,0,0,False
49,,,0,0,0,0,False
50,,,0,0,0,0,False
51,,,0,0,0,0,False
52,,,0,0,0,0,False
53,,,0,0,0,0,False
54,,,0,0,0,0,False
55,,,0,0,0,0,False
56,,,0,0,0,0,False
57,,,0,0,0,0,False
58,,,0,0,0,0,False
59,,,0,0,0,0,False
60,,,0,0,0,0,False
61,讨伐经验值提高III,24小时内（地球时间），打倒敌人时获得的经验增加15%。,10500,64263,8,35,False
62,采集经验值提高III,24小时内（地球时间），采集时获得的经验增加20%。,10500,64265,8,36,False
63,制作经验值提高III,24小时内（地球时间），制作时获得的经验增加20%。,10500,64266,8,37,False
64,搭档经验值提高III,24小时内（地球时间），搭档获得的经验增加20%。,10500,64264,8,38,False
65,对战战绩提高III,24小时内（地球时间），对战时所获得的狼印战绩增加15%。,10500,64267,8,39,False
66,军票提高III,24小时内（地球时间），获得的军票增加15%。,10500,64268,8,40,False
67,,,0,0,0,0,False
