#,Name,Order,RequiredItem[0],RequiredItem[1],RequiredItem[2],CompanyCraftDraftCategory,RequiredItemCount[0],RequiredItemCount[1],RequiredItemCount[2]
0,飞空艇设计图2,1,12923,0,0,1,6,0,0
1,飞空艇设计图3,2,12924,12923,0,1,10,4,0
2,飞空艇设计图4,3,12925,12923,0,1,10,4,0
3,飞空艇设计图5,4,12926,12924,0,1,14,4,0
4,飞空艇设计图6,5,12927,12925,12923,1,14,4,4
5,餐厅设计图,1,12920,0,0,2,10,0,0
6,防具店设计图,2,12921,0,0,2,10,0,0
7,武器店设计图,3,12922,12921,0,2,9,8,0
8,以太转轮设计图2,1,12928,0,0,0,6,0,0
9,以太转轮设计图3,2,12928,0,0,0,6,0,0
10,以太转轮设计图4,3,12928,0,0,0,6,0,0
11,以太转轮设计图5,4,12929,12922,0,0,4,2,0
12,以太转轮设计图6,5,12929,12922,0,0,4,2,0
13,以太转轮设计图7,6,12929,12922,0,0,4,2,0
14,转轮台设计图2,7,12929,12922,12920,0,6,3,8
15,莫古莫古房设计图,4,12922,12921,12923,2,11,10,8
16,转轮台设计图3,8,12929,12922,12920,0,8,5,10
17,飞空艇设计图7,6,12927,12926,12925,1,18,8,8
18,转轮台设计图4,9,12929,12922,12920,0,10,7,12
19,转轮台设计图5,10,12929,12922,12920,0,12,9,14
20,陆行鸟房屋设计图,5,12922,12921,12923,2,14,12,10
21,猴面雀房屋设计图,6,12922,12921,12923,2,16,14,12
22,宝石兽房屋设计图,7,12922,12921,12923,2,18,16,14
23,东洋城堡房屋设计图,8,12922,12921,12923,2,20,18,16
24,潜水艇设计图1,7,5374,0,0,1,6,0,0
25,潜水艇设计图2,8,12924,12923,0,1,10,4,0
26,潜水艇设计图3,9,12925,12923,0,1,10,4,0
27,獭獭房屋设计图,9,12922,12921,12923,2,21,19,17
28,潜水艇设计图4,10,12926,12924,0,1,14,4,0
29,潜水艇设计图5,11,12927,12925,12923,1,14,4,4
30,潜水艇设计图6,12,26528,12926,12924,1,18,8,8
31,半木房屋设计图,10,12922,29590,26528,2,18,10,8
32,锻铁匠房屋设计图,10,12922,29590,26528,2,18,10,8
33,花店房屋设计图,10,12922,29590,26528,2,18,10,8
34,锻冶工房房屋设计图,10,12922,29590,26528,2,18,10,8
35,咖啡馆房屋设计图,10,12922,29590,26528,2,18,10,8
36,姜饼屋设计图,10,29590,37083,26528,2,18,10,8
37,风雅东洋房屋设计图,10,29590,37083,26528,2,18,10,8
38,乡间房屋设计图,10,29590,37083,26528,2,18,10,8
