#,Text,GroupTitle,LookupTable,Group,Key
100,【语言】,yuyan.,@,1,0
101,请使用定型文翻译系统。,qingshiyongdingxingwenfanyixitong,,1,1
102,日语,riyu,,1,10
103,英语,yingyu,,1,11
104,法语,fayu,,1,12
105,德语,deyu,,1,13
106,你会说日语吗？,nihuishuoriyuma?,,1,31
107,你会说英语吗？,nihuishuoyingyuma?,,1,32
108,你会说法语吗？,nihuishuofayuma?,,1,33
109,你会说德语吗？,nihuishuodeyuma?,,1,34
110,我不会说英语。,wobuhuishuoyingyu,,1,41
111,我不会说日语。,wobuhuishuoriyu,,1,40
112,我不会说法语。,wobuhuishuofayu,,1,42
113,我不会说德语。,wobuhuishuodeyu,,1,43
114,请听着。,qingtingzhe,,1,20
115,能听见吗？,nengtingjianma?,,1,21
116,我会说一点。,wohuishuoyidian,,1,22
117,我能看懂一点。,wonengkandongyidian,,1,23
118,请用简单的词汇。,qingyongjiandandecihui,,1,24
119,请不要使用省略语。,qingbuyaoshiyongshenglveyu,,1,25
120,请稍等，我需要些时间来回复。,"qingshaodeng,woxuyaoxieshijianlaihuifu",,1,26
121,你的母语是什么？,nidemuyushishenme?,,1,30
122,,,,0,0
123,,,,0,0
124,,,,0,0
125,,,,0,0
126,,,,0,0
127,,,,0,0
128,,,,0,0
129,,,,0,0
130,,,,0,0
131,,,,0,0
132,,,,0,0
133,,,,0,0
134,,,,0,0
135,,,,0,0
136,,,,0,0
137,,,,0,0
138,,,,0,0
139,,,,0,0
140,,,,0,0
141,,,,0,0
142,,,,0,0
143,,,,0,0
144,,,,0,0
145,,,,0,0
146,,,,0,0
147,,,,0,0
148,,,,0,0
149,,,,0,0
150,,,,0,0
151,,,,0,0
152,,,,0,0
153,,,,0,0
154,,,,0,0
155,,,,0,0
156,,,,0,0
157,,,,0,0
158,,,,0,0
159,,,,0,0
160,,,,0,0
161,,,,0,0
162,,,,0,0
163,,,,0,0
164,,,,0,0
165,,,,0,0
166,,,,0,0
167,,,,0,0
168,,,,0,0
169,,,,0,0
170,,,,0,0
171,,,,0,0
172,,,,0,0
173,,,,0,0
174,,,,0,0
175,,,,0,0
176,,,,0,0
177,,,,0,0
178,,,,0,0
179,,,,0,0
180,,,,0,0
181,,,,0,0
182,,,,0,0
183,,,,0,0
184,,,,0,0
185,,,,0,0
186,,,,0,0
187,,,,0,0
188,,,,0,0
189,,,,0,0
190,,,,0,0
191,,,,0,0
192,,,,0,0
193,,,,0,0
194,,,,0,0
195,,,,0,0
196,,,,0,0
197,,,,0,0
198,,,,0,0
199,,,,0,0
200,【问候语】,wenhouyu.,@,2,0
201,很高兴见到你。,hengaoxingjiandaoni,,2,1
202,早上好！,zaoshanghao,,2,2
203,你好！,nihao,,2,3
204,晚上好！,wanshanghao,,2,4
205,晚安！,wanan,,2,5
206,再会。,zaihui,,2,6
207,今天很高兴。,jintianhengaoxing,,2,7
208,回头见！,huitoujian,,2,8
209,有时间再一起玩！,youshijianzaiyiqiwan,,2,9
210,我回来了！,wohuilaile,,2,10
211,欢迎回来。,huanyinghuilai,,2,11
212,恭喜！,gongxi,,2,12
213,干得好！,gandehao,,2,13
214,加油！,jiayou,,2,14
215,太好了！,taihaole,,2,15
216,谢谢你。,xiexieni,,2,16
217,不客气。,bukeqi,,2,17
218,多保重。,duobaozhong,,2,18
219,对不起。,duibuqi,,2,19
220,请原谅我。,qingyuanliangwo,,2,20
221,很遗憾。,henyihan,,2,21
222,打扰一下……,daraoyixia,,2,22
223,祝你旅途愉快。,zhunilvtuyukuai,,2,23
224,我是第一次来这里。,woshidiyicilaizheli,,2,24
225,我很期待！,wohenqidai,,2,25
226,打得好！辛苦了！,dadehaoxinkule,,2,26
227,请多关照！,qingduoguanzhao,,2,27
228,我得走了，非常感谢各位。,wodeizoulefeichangganxiegewei,,2,28
229,我们玩得轻松点吧！,womenwandeqingsongdianba,,2,29
230,我会尽力的！,wohuijinlide,,2,31
231,一起加油吧！,yiqijiayouba,,2,30
232,好好期待吧！,haohaoqidaiba,,2,32
233,冷静一点吧！,lengjingyidianba,,2,33
234,,,,0,0
235,,,,0,0
236,,,,0,0
237,,,,0,0
238,,,,0,0
239,,,,0,0
240,,,,0,0
241,,,,0,0
242,,,,0,0
243,,,,0,0
244,,,,0,0
245,,,,0,0
246,,,,0,0
247,,,,0,0
248,,,,0,0
249,,,,0,0
250,,,,0,0
251,,,,0,0
252,,,,0,0
253,,,,0,0
254,,,,0,0
255,,,,0,0
256,,,,0,0
257,,,,0,0
258,,,,0,0
259,,,,0,0
260,,,,0,0
261,,,,0,0
262,,,,0,0
263,,,,0,0
264,,,,0,0
265,,,,0,0
266,,,,0,0
267,,,,0,0
268,,,,0,0
269,,,,0,0
270,,,,0,0
271,,,,0,0
272,,,,0,0
273,,,,0,0
274,,,,0,0
275,,,,0,0
276,,,,0,0
277,,,,0,0
278,,,,0,0
279,,,,0,0
280,,,,0,0
281,,,,0,0
282,,,,0,0
283,,,,0,0
284,,,,0,0
285,,,,0,0
286,,,,0,0
287,,,,0,0
288,,,,0,0
289,,,,0,0
290,,,,0,0
291,,,,0,0
292,,,,0,0
293,,,,0,0
294,,,,0,0
295,,,,0,0
296,,,,0,0
297,,,,0,0
298,,,,0,0
299,,,,0,0
300,【提问】,tiwen.,@,3,0
301,谁？,shui?,,3,1
302,哪个？,nage?,,3,2
303,怎样？,zenyang?,,3,3
304,什么？,shenme?,,3,4
305,什么时候？,shenmeshihou?,,3,5
306,多少？,duoshao?,,3,6
307,在哪？,zaina?,,3,7
308,为什么？,weishenme?,,3,8
309,怎么了？,zenmele?,,3,9
310,我们要去哪？,womenyaoquna?,,3,10
311,你可以吗？,nikeyima?,,3,11
312,需要帮忙吗？,xuyaobangmangma?,,3,12
313,我们做什么任务？,womenzuoshenmerenwu?,,3,13
314,你能做什么任务？,ninengzuoshenmerenwu?,,3,14
315,你有吗？,niyouma?,,3,15
316,现在你在使用什么武器？,xianzainizaishiyongshenmewuqi?,,3,16
317,你还能使用其他什么职业？,nihainengshiyongqitashenmezhiye?,,3,17
318,你还能担任其他什么职能？,nihainengdanrenqitashenmezhineng?,,3,18
319,你设置好了吗？,nishezhihaolema?,,3,19
320,用什么战术？,yongshenmezhanshu?,,3,20
321,我能加你为好友吗？,wonengjianiweihaoyouma?,,3,21
322,能休息下吗？,nengxiuxixiama?,,3,22
323,稍微修理一下吧？,shaoweixiuliyixiaba?,,3,23
324,能帮我修理一下吗？,nengbangwoxiuliyixiama?,,3,24
325,需要我帮你镶嵌魔晶石吗？,xuyaowobangnixiangqianmojingshima?,,3,25
326,能帮我镶嵌下魔晶石吗？,nengbangwoxiangqianxiamojingshima?,,3,26
327,你要加入我的小队吗？,niyaojiaruwodexiaoduima?,,3,27
328,能把我加入你的小队吗？,nengbawojiarunidexiaoduima?,,3,28
329,我们把小队解散了怎么样？,womenbaxiaoduijiesanlezenmeyang?,,3,29
330,来加入我们的通讯贝吗？,laijiaruwomendetongxunbeima?,,3,30
331,能让我加入通讯贝吗？,nengrangwojiarutongxunbeima?,,3,31
332,来加入我们的部队吗？,laijiaruwomendebuduima?,,3,32
333,能让我加入部队吗？,nengrangwojiarubuduima?,,3,33
334,你在干什么？,nizaiganshenme?,,3,34
335,来进行卡片对局吗？,laijinxingkapianduijuma?,,3,35
336,我们改变一下规则好吗？,womengaibianyixiaguizehaoma?,,3,36
337,来进行大赛对局吗？,laijinxingdasaiduijuma?,,3,37
338,魔力够用吗？,moligouyongma?,,3,38
339,有什么不明白的地方吗？,youshenmebumingbaidedifangma?,,3,39
340,看到了吗？,kandaolema?,,3,40
341,知道怎么打吗？,zhidaozenmedama?,,3,41
342,能说说打法吗？,nengshuoshuodafama?,,3,42
343,要来共同骑乘吗？,yaolaigongtongqichengma?,,3,43
344,能让我共同骑乘吗？,nengrangwogongtongqichengma?,,3,44
345,,,,0,0
346,,,,0,0
347,,,,0,0
348,,,,0,0
349,,,,0,0
350,,,,0,0
351,,,,0,0
352,,,,0,0
353,,,,0,0
354,,,,0,0
355,,,,0,0
356,,,,0,0
357,,,,0,0
358,,,,0,0
359,,,,0,0
360,,,,0,0
361,,,,0,0
362,,,,0,0
363,,,,0,0
364,,,,0,0
365,,,,0,0
366,,,,0,0
367,,,,0,0
368,,,,0,0
369,,,,0,0
370,,,,0,0
371,,,,0,0
372,,,,0,0
373,,,,0,0
374,,,,0,0
375,,,,0,0
