#,Name,Category,Unknown0,Description,DutyType,Unknown1,Image,Unknown2,Unknown3,Unknown6,ItemLevelRequired,ItemLevelSync,RewardTomeA,RewardTomeB,RewardTomeC,Unknown5,InstanceContent,RequiredExVersion,OpenRule,RequiredLevel,SyncedFromLevel,ContentRouletteRoleBonus,SortKey,ClassJobCategory,ContentMemberType,Unknown9,QueueMaxPlayers,ContentType,Unknown12,TimeLimit,TimeLimitMax,LootModeType,Unknown15,PenaltyTimestampArrayIndex,CompletionArrayIndex,IsGoldSaucer,IsInDutyFinder,IsPvP,AppliesHighestAverageDutyItemLevel,Unknown18,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,Unknown22,Unknown23,Unknown24,IsRegistrationAllowedFromAnyDataCenter
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,-1,False,False,False,False,False,True,False,True,False,False,False,False,True,True
1,随机任务：练级迷宫,练级迷宫,,"随机参加当前可以参加的迷宫或轻锐小队用讨伐战。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※军票的报酬量由参加时的职业与等级决定。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。",对应任务：轻锐小队用迷宫、轻锐小队用讨伐战,0,112034,0,0,0,0,0,0,100,20,0,0,0,1,16,16,1,4,142,2,0,0,1,0,90,0,2,0,0,0,False,True,False,False,True,True,True,True,False,False,False,False,True,True
2,随机任务：拾级迷宫,拾级迷宫,,"随机参加已经开放的50级或60级或70级或80级或90级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。",对应任务：轻锐小队用50级/60级/70级/80级/90级迷宫,0,112035,0,0,0,45,0,100,120,0,0,0,0,1,50,50,2,3,142,2,0,0,1,0,90,0,2,0,0,1,False,True,False,False,True,True,True,True,False,False,False,False,True,True
3,随机任务：主线任务,主线任务,,"随机参加已经开放的主线剧情任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中无法跳过过场动画。
※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。",对应任务：满编小队用迷宫,0,112036,0,0,0,42,0,350,100,50,0,0,0,1,50,50,3,6,142,2,0,0,1,0,60,120,2,0,0,2,False,True,False,False,True,True,True,True,False,False,False,False,True,True
4,随机任务：行会令,行会令,,"随机参加已经开放的行会令任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※军票的报酬量由参加时的职业与等级决定。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。
※以4人小队组队参加4人用行会令时可以无视职能要求自由组合。
※不死鸟之尾在部分任务中无法使用。",对应任务：行会令,0,112037,0,0,0,0,0,0,0,0,0,0,0,1,10,10,4,7,142,3,0,0,1,0,30,0,2,0,0,3,False,True,False,False,True,True,True,True,False,False,False,False,True,True
5,随机任务：顶级迷宫,顶级迷宫,,"随机参加已经开放的顶级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。",对应任务：轻锐小队用顶级迷宫,0,112057,0,0,0,735,0,0,60,40,0,0,5,2,100,100,5,1,142,2,0,0,1,0,90,0,2,0,0,4,False,True,False,False,True,True,True,True,False,False,False,False,True,True
6,随机任务：讨伐歼灭战,讨伐歼灭战,,"随机参加当前能够加入的满编小队用讨伐歼灭战。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。",对应任务：满编小队用讨伐歼灭战,0,112056,0,0,0,90,0,0,60,15,0,0,0,1,50,50,6,5,142,3,0,0,1,0,60,0,2,0,0,5,False,True,False,False,True,True,False,True,False,False,False,False,True,True
7,每日挑战：纷争前线,纷争前线,,"通过每日挑战：纷争前线，将会参加当日开放的纷争前线战斗。纷争前线的战斗每日都会变更，可以在下方的信息中进行确认。

※每日挑战的奖励一天只能获得一次，奖励获取权会在每日0点刷新。",对应任务：昂萨哈凯尔（竞争战）,0,112083,1000,1500,0,0,0,0,50,20,1000,0,0,3,30,30,0,15,146,24,0,0,1,28,20,0,0,0,0,6,False,True,True,False,True,True,True,True,False,False,False,False,True,True
8,随机任务：满级迷宫,满级迷宫,,"随机参加已经开放的100级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※组满规定人数参加时不会获得“少数职能奖励”。",对应任务：轻锐小队用100级迷宫,0,112123,0,0,0,705,0,0,100,15,0,0,5,2,100,100,7,2,142,2,0,0,1,0,90,0,2,0,0,7,False,True,False,False,True,True,True,True,False,False,False,False,True,True
9,随机任务：指导者任务,指导者任务,,"随机参加已经完成的指导者对应任务，仅限已成为战斗指导者的玩家使用。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次，奖励获取权会在每日0点刷新。
※“少数职能奖励”以申请时所显示的少数职能为准。
※不死鸟之尾在部分任务中无法使用。",对应任务：指导者对应任务,0,112144,0,0,0,745,0,0,30,10,0,0,5,2,100,100,8,10,142,1,0,0,1,0,30,120,2,0,0,8,False,True,False,False,True,True,True,True,False,False,False,False,True,True
