#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
0,,,0,0,0,0,0,0,0,0,0,0,0,0
1,挑战随机任务,使用随机任务成功挑战迷宫3次。,0,61801,3,15,1000,1625700,0,57,1,1,5,3
2,挑战迷宫次数,成功挑战迷宫5次。,0,61801,5,10,2000,1083800,0,57,1,2,5,3
3,挑战行会令次数1,成功挑战行会令3次。,0,61803,3,5,1000,541900,0,71,1,3,5,3
4,挑战行会令次数2,成功挑战行会令10次。,0,61803,10,10,2000,1083800,0,71,1,4,5,3
5,宝物库宝箱开箱次数1,成功打开5次宝物库的宝箱。,0,61808,5,0,2000,0,0,231,6,3,0,3
6,库洛的奇谈书印花数,完成天书奇谈的目标任务，贴上3个印花。,0,61825,3,0,2000,0,60,0,1,8,0,3
7,水晶冲突参战次数,参加10次水晶冲突的战斗。,0,61806,10,0,1000,0,0,130,2,1,0,9
8,水晶冲突获胜次数,在水晶冲突获胜3次。,0,61806,3,0,1000,0,0,130,2,2,0,9
9,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0,0,0,0,0
11,理符任务类型称霸,完成5种不同类型的理符任务。,0,61811,5,15,1000,1625700,0,0,4,1,5,3
12,挑战理符任务次数,完成20次理符任务。,0,61811,20,15,2000,1625700,0,0,4,2,5,3
13,军需品补给品筹备次数2,交纳10次筹备中的军需品及补给品。,0,61812,10,0,1000,0,0,89,8,2,0,6
14,军需品补给品筹备次数1,交纳5次筹备中的军需品及补给品。,0,61812,5,0,1000,0,0,89,8,1,0,6
15,寻宝地图采集次数,成功采集陈旧的地图3次。,0,61808,3,0,1000,0,0,149,6,1,0,3
16,宝箱挖掘次数,成功打开宝箱获得宝物5次。,0,61808,5,0,2000,0,0,149,6,2,0,3
17,搭档讨伐数1,与搭档一起讨伐20只等级接近的敌人。,0,61813,20,5,1000,0,0,96,1,6,7,3
18,搭档讨伐数2,与搭档一起讨伐100只等级接近的敌人。,0,61813,100,10,2000,0,0,96,1,7,7,3
19,友好部族任务完成次数1,成功完成5次友好部族日常任务。,0,61814,5,0,1000,0,0,152,7,1,0,3
20,友好部族任务完成次数2,成功完成15次友好部族日常任务。,0,61814,15,0,2000,0,0,152,7,2,0,3
21,挑战笔记完成数1,完成5种挑战笔记中的项目。,0,61810,5,0,10000,0,0,0,12,1,0,3
22,挑战笔记完成数2,完成10种挑战笔记中的项目。,0,61810,10,0,10000,0,0,0,12,2,0,3
23,挑战笔记完成数3,完成15种挑战笔记中的项目。,0,61810,15,0,10000,0,20,0,12,3,0,3
