#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100001,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1501,0,9,1,0,8,False
100002,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1502,0,9,5,18,8,False
100003,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,9,7,88,8,False
100004,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1516,0,9,18,32,8,False
100005,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100006,风之印记,"消耗耐久以推动作业进展
处理风属性配方时效率变为2倍
效率：100（200）
成功率：90%",0,100006,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100007,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100008,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100009,比尔格的祝福,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升20
使用之后会结束内静效果
效率：100（100～）
成功率：90%",0,100009,0,0,0,0,0,0,0,240,247,786,0,0,1,0,-1,False
100010,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,9,13,7,8,False
100011,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100012,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100014,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100015,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1551,0,10,1,0,9,False
100016,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1552,0,10,5,18,9,False
100017,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,10,7,88,9,False
100018,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1566,0,10,18,32,9,False
100019,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100020,火之印记,"消耗耐久以推动作业进展
处理火属性配方时效率变为2倍
效率：100（200）
成功率：90%",0,100020,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100021,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100022,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100023,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,10,13,7,9,False
100024,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100026,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100027,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100028,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100029,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100030,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1601,0,11,1,0,10,False
100031,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1602,0,11,5,18,10,False
100032,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,11,7,88,10,False
100033,高速制作,"消耗耐久以推动作业进展
效率：250
成功率：50%",0,100033,100033,100033,100033,100033,100033,100033,100033,241,248,786,0,0,1,0,-1,False
100034,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1616,0,11,18,32,10,False
100035,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100036,冰之印记,"消耗耐久以推动作业进展
处理冰属性配方时效率变为2倍
效率：100（200）
成功率：90%",0,100036,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100037,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100038,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100039,渐进,"消耗耐久完成剩余工作量的1/3左右（上限：1000）
成功率：90%",0,100039,100039,100039,100039,100039,100039,100039,100039,239,246,786,0,0,1,0,-1,False
100040,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,11,13,7,10,False
100041,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100042,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100043,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100044,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100045,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1701,0,13,1,0,12,False
100046,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1702,0,13,5,18,12,False
100047,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,13,7,88,12,False
100048,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1716,0,13,18,32,12,False
100049,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100050,土之印记,"消耗耐久以推动作业进展
处理土属性配方时效率变为2倍
效率：100（200）
成功率：90%",0,100050,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100051,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100052,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100053,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,13,13,7,12,False
100054,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100055,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100056,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100057,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100058,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100059,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100060,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1751,0,14,1,0,13,False
100061,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1752,0,14,5,18,13,False
100062,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,14,7,88,13,False
100063,模范制作,"消耗耐久以推动作业进展
一定会成功
效率：90
成功率：100%",0,100063,100063,100063,100063,100063,100063,100063,100063,240,247,786,0,0,1,0,-1,False
100064,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1765,0,14,18,32,13,False
100065,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100066,雷之印记,"消耗耐久以推动作业进展
处理雷属性配方时效率变为2倍
效率：100（200）
成功率：90%",0,100066,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100067,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100068,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100069,模范制作II,"消耗耐久以推动作业进展
一定会成功
效率：120
成功率：100%",0,100069,100069,100069,100069,100069,100069,100069,100069,240,247,786,0,0,1,0,-1,False
100070,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,14,13,7,13,False
100071,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100072,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100073,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100074,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100075,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1651,0,12,1,0,11,False
100076,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1652,0,12,5,18,11,False
100077,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,12,7,88,11,False
100078,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1665,0,12,18,32,11,False
100079,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100080,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100081,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100082,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,12,13,7,11,False
100083,坚实制作,"消耗耐久以推动作业进展40
成功率：90%",0,100083,100083,100083,100083,100083,100083,100083,100083,239,246,786,0,0,1,0,-1,False
100084,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100085,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100086,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100087,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100088,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100089,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100090,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1801,0,15,1,0,14,False
100091,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1802,0,15,5,18,14,False
100092,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,15,7,88,14,False
100093,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1816,0,15,18,32,14,False
100094,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100095,水之印记,"消耗耐久以推动作业进展
处理水属性配方时效率变为2倍
效率：100（200）
成功率：90%",0,100095,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100096,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100097,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100098,秘诀,"**只有在“高品质”或更优的状态下才能使用**
恢复20点制作力",0,100098,100098,100098,100098,100098,100098,100098,100098,242,249,786,0,0,1,0,-1,False
100099,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,15,13,7,14,False
100100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100101,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100102,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100103,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100104,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100105,制作,"消耗耐久以推动作业进展
效率：120
成功率：100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1851,0,16,1,0,15,False
100106,加工,"消耗耐久以提高制品品质
效率：100
成功率：100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1852,0,16,5,18,15,False
100107,精修,恢复30点耐久,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,16,7,88,15,False
100108,仓促,"消耗耐久以提高制品品质
不会消耗制作力，但是成功率比较低
效率：100
成功率：50%",0,100108,100108,100108,100108,100108,100108,100108,100108,241,248,786,0,0,1,0,-1,False
100109,中级加工,"消耗耐久以提高制品品质
效率：125
成功率：100%
**连击条件：**加工　**连击中消耗制作力：**18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1865,0,16,18,32,15,False
100110,精修II,恢复60点耐久,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100111,中级制作,"消耗耐久以推动作业进展
效率：150
成功率：90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100112,上级加工,"消耗耐久以提高制品品质
效率：150
成功率：90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100113,观察,放空一次作业，不做任何事,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,16,13,7,15,False
100114,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100115,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100116,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100117,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100118,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100119,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100120,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100121,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100122,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100123,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100124,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100125,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100126,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100127,比尔格的技巧,"消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升10
使用之后会结束内静效果
效率：150（150～）
成功率：70%
**装备专家之证时：**成功率变为100%",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
