#,Unknown0,ClassPlural,VoiceLine,ClassSingular
0,,,0,
1,阿尔菲诺,学士,8202017,Academician
2,阿莉塞,赤魔法师,8202034,Red Mage
3,桑克瑞德,绝枪战士,8202048,Gunbreaker
4,敏菲利亚,光之巫女,8202073,Oracle of Light
5,于里昂热,占星术士,8202089,Astrologian
6,雅·修特拉,魔女,8202109,Sorceress
7,琳,光之巫女,8202073,Oracle of Light
8,莱楠,卫兵团长,8202146,Guard Captain
9,水晶公,全才,8202127,All-Rounder
10,古·拉哈·提亚,全才,8202346,All-Rounder
11,阿尔菲诺,贤者,8203013,Sage
12,埃斯蒂尼安,龙骑士,8203064,Dragoon
13,于里昂热,秘石术师,8202092,Lithomancer
14,维涅斯,全才,8203122,All-Rounder
15,爱梅特赛尔克,第三席,8203219,The Third Seat
16,希斯拉德,望魂者,8203239,Soulseer
17,气盛的斧术师,斧术师,0,Marauder
18,气盛的枪术师,枪术师,0,Lancer
19,气盛的咒术师,咒术师,0,Thaumaturge
20,气盛的幻术师,幻术师,0,Conjurer
21,拂晓的斧术师,斧术师,0,Marauder
22,拂晓的枪术师,枪术师,0,Lancer
23,拂晓的咒术师,咒术师,0,Thaumaturge
24,拂晓的幻术师,幻术师,0,Conjurer
25,黑涡团斧术师,斧术师,0,Marauder
26,双蛇党枪术师,枪术师,0,Lancer
27,恒辉队咒术师,咒术师,0,Thaumaturge
28,双蛇党幻术师,幻术师,0,Conjurer
29,瓦尔桑,总督,8203440,Satrap
30,伊塞勒,冰之巫女,0,Oracle of Frost
31,神殿骑士团正骑士,神殿骑士,0,Temple Knight
32,神殿骑士团枪骑兵,枪骑兵,0,Temple Banneret
33,神殿骑士团医师,医师,0,Temple Chirurgeon
34,奥尔什方,正骑士,0,Chivalric Knight
35,佩罗·罗格,智蛙,0,Poroggo
36,艾默里克,总骑士长,0,Lord Commander
37,福尔唐家的骑士,骑士,0,Knight
38,福尔唐家的枪骑兵,枪骑兵,0,Banneret
39,福尔唐家的射手,射手,0,Archer
40,桑克瑞德,贤人,0,Archon
41,零,忆晶师,8203467,Memoriate
42,雅·修特拉,贤人,0,Archon
43,卡尔瓦兰,斧术师,0,Marauder
44,莉瑟,格斗家,0,Pugilist
45,豪雪,武士,0,Samurai
46,飞燕,武士,0,Samurai
47,模儿部的年轻人,萨满,0,Shaman
48,夕雾,忍者,0,Ninja
49,多玛勇士,武士,0,Samurai
50,多玛巫师,巫师,0,Fushi
51,解放军战士,剑术师,0,Gladiator
52,解放军尖枪兵,尖枪兵,0,Pikedancer
53,阿雷恩瓦尔德,剑术师,0,Gladiator
54,莉瑟,格斗家,0,Pugilist
55,劳班,剑斗士,0,Champion Gladiator
56,嘉·莫尔巴,枪术师,0,Lancer
57,乌克·拉玛特,勇士,8205048,Intrepid
58,佐拉加,蝰蛇剑士,8205115,Viper
59,柯纳,革新者,8205098,Innovator
60,可露儿,绘灵法师,8205029,Pictomancer
61,斯菲因,命术师,8206020,Zoemancer
