#,Singular,Plural,Name,Tooltip,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Icon,Action
0,,,,,0,0,0,1,0,0,0,0
1,,,魔陶器：咒印解除,清除本层所有陷阱,0,0,0,1,0,0,27901,6259
2,,,魔陶器：全景,点亮本层所有地图，可看到本层所有陷阱,0,0,0,1,0,0,27902,6260
3,,,魔陶器：强化自身,自身攻击造成的伤害及治疗魔法的治疗量提高30%,0,0,0,1,0,0,27903,6262
4,,,魔陶器：强化防御,自身受到的伤害减轻40%,0,0,0,1,0,0,27904,6263
5,,,魔陶器：宝箱增加,增加下一层的宝箱,0,0,0,1,0,0,27905,6264
6,,,魔陶器：减少敌人,减少下一层的敌人,0,0,0,1,0,0,27906,6265
7,,,魔陶器：改变敌人,将下一层随机一个房间的敌人变化为拟态怪或蔓德拉,0,0,0,1,0,0,27907,6266
8,,,魔陶器：解咒,解除诅咒状态,0,0,0,1,0,0,27908,6267
9,,,魔陶器：运气上升,在本层击败敌人时宝箱出现率上升,0,0,0,1,0,0,27909,6268
10,,,魔陶器：形态变化,令进入以自身为中心一定范围内的目标变为青蛙、河童、小鸡,0,0,0,1,0,0,27910,6269
11,,,魔陶器：魔法效果解除,消除本层所有魔法效果,0,0,0,1,0,0,27911,6270
12,,,魔陶器：曼提克化,自身变为曼提克形态,0,0,0,1,0,0,27912,6271
13,,,魔陶器：梦魔化,自身变为梦魔形态,0,0,0,1,0,0,27913,6272
14,,,魔陶器：感知宝藏,显示埋藏的宝藏的所在位置，效果将持续到发现埋藏的宝藏为止,0,0,0,1,0,0,27916,6870
15,,,魔陶器：重生,复活第一个陷入无法战斗状态的小队队员,0,0,0,1,0,0,27914,6868
16,,,魔陶器：基路伯化,自身变为基路伯形态,0,0,0,1,0,0,27915,6869
17,,,魔陶器：弱化敌人,将本层的敌人变为攻防低下的状态,0,0,0,1,0,0,27919,11275
18,,,魔陶器：隐形,将自身与小队成员变为隐形状态,0,0,0,1,0,0,27917,11276
19,,,魔陶器：石化敌人,将本层的敌人变为石化状态,0,0,0,1,0,0,27918,11277
20,,,魔科学器：缓速,将本层的敌人变为缓速状态,0,0,0,1,0,0,27920,32144
21,,,魔科学器：大漩涡,将本层的敌人的体力降至个位数,0,0,0,1,0,0,27921,32145
22,,,魔科学器：恐慌装甲化,自身变为恐慌装甲形态,0,0,0,1,0,0,27922,32146
23,,,魔科学器：咒印解除,清除本层所有陷阱,0,0,0,1,0,0,27901,6259
24,,,魔科学器：全景,点亮本层所有地图，可看到本层所有陷阱,0,0,0,1,0,0,27902,6260
25,,,魔科学器：强化自身,自身攻击造成的伤害及治疗魔法的治疗量提高30%,0,0,0,1,0,0,27903,6262
26,,,魔科学器：强化防御,自身受到的伤害减轻40%,0,0,0,1,0,0,27904,6263
27,,,魔科学器：宝箱增加,增加下一层的宝箱,0,0,0,1,0,0,27905,6264
28,,,魔科学器：减少敌人,减少下一层的敌人,0,0,0,1,0,0,27906,6265
29,,,魔科学器：改变敌人,将下一层随机一个房间的敌人变化为拟态怪或蔓德拉,0,0,0,1,0,0,27907,6266
30,,,魔科学器：解咒,解除诅咒状态,0,0,0,1,0,0,27908,6267
31,,,魔科学器：运气上升,在本层击败敌人时宝箱出现率上升,0,0,0,1,0,0,27909,6268
32,,,魔科学器：形态变化,令进入以自身为中心一定范围内的目标变为青蛙、河童、小鸡,0,0,0,1,0,0,27910,6269
33,,,魔科学器：魔法效果解除,消除本层所有魔法效果,0,0,0,1,0,0,27911,6270
34,,,魔科学器：感知宝藏,显示埋藏的宝藏的所在位置，效果将持续到发现埋藏的宝藏为止,0,0,0,1,0,0,27916,6870
35,,,魔科学器：重生,复活第一个陷入无法战斗状态的小队队员,0,0,0,1,0,0,27914,6868
36,,,魔陶器：加速,将自身与小队成员变为加速状态,0,0,0,1,0,0,27923,44616
37,,,魔陶器：净化护符,为自身与小队成员解除所有能解除的异常状态，并张开防护罩，防护罩可免疫一次能解除的异常状态,0,0,0,1,0,0,27924,44617
38,,,魔陶器：朝圣的指引,下一层必定出现光耀烛台,0,0,0,1,0,0,27925,44618
