#,ShopName,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
3473408,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3473409,特殊商品交易员,1,0,4,235,4,210,2,0,3,0,0,0,0,0,0,0,True
3473410,交换证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473411,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473412,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473413,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473414,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473415,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473416,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473417,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473418,交换兽人货币证书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473419,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473420,战果记录回收（上锁的宝箱）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473421,战果记录回收（其他）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473422,战果记录回收（其他）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473423,不用品の交換,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473424,回收生活50级时装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473425,回收生活60级时装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473426,回收生活70级时装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473427,回收生活80级时装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473428,回收生活90级时装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
