#,Name,Icon,StartAnimation,LoopAnimation,EndAnimation,CastTime
0,,1,0,0,0,0
1,实行,19603,80,81,82,2
2,实行,19603,80,81,82,2
3,实行,19603,80,81,82,5
4,实行,19603,80,81,82,10
5,实行,19603,80,81,82,15
6,实行,19603,80,81,82,2
7,实行,19603,80,81,82,5
8,实行,19603,80,81,82,10
9,实行,19603,80,81,82,15
10,等待,19604,175,176,177,2
11,等待,19604,175,176,177,2
12,等待,19604,175,176,177,5
13,等待,19604,175,176,177,10
14,实行,19603,80,81,82,2
15,实行,19603,80,81,82,2
16,实行,19603,80,81,82,5
17,实行,19603,80,81,82,10
18,实行,19603,80,81,82,2
19,共鸣,19605,169,170,171,5
20,实行,19603,80,81,82,1
21,实行,19603,80,81,82,2
22,实行,19603,80,81,82,5
23,实行,19603,172,173,174,1
24,实行,19603,172,173,174,2
25,实行,19603,172,173,174,5
26,救助,19603,184,185,186,2
27,警笛,19604,178,179,180,2
28,监视,19604,175,176,177,10
29,记录,19603,172,173,174,1
30,口哨,19603,178,179,180,2
31,实行,19603,181,182,183,2
32,实行,19603,181,182,183,5
33,实行,19603,181,182,183,10
34,救助,19603,184,185,186,2
35,救助,19603,184,185,186,5
36,救助,19603,184,185,186,10
37,实行,19603,178,179,180,2
38,救助,19603,172,173,174,2
39,救助,19603,172,173,174,5
40,救助,19603,172,173,174,10
41,张望,19604,175,176,177,10
42,松绑,19603,181,182,183,10
43,实行,19603,172,173,174,10
44,实行,19603,184,185,186,10
45,实行,19603,172,173,174,2
46,实行,19603,172,173,174,5
47,实行,19603,172,173,174,10
48,捣蛋,19603,181,182,183,5
49,关闭阀门,19603,181,182,183,5
50,张望,19604,175,176,177,5
51,打开阀门,19603,181,182,183,5
52,实行,19603,80,81,82,1
53,实行,19603,181,182,183,2
54,实行,19603,181,182,183,5
55,实行,19603,181,182,183,10
56,监视,19604,175,176,177,5
57,占领,19603,172,173,174,2
58,占领,19603,172,173,174,5
59,占领,19603,172,173,174,10
60,共鸣,19603,172,173,174,5
61,实行,19603,0,0,0,2
62,实行,19603,80,81,82,8
63,实行,19603,0,0,0,5
64,实行,19603,0,0,0,0
65,取得青磷水,19603,80,81,82,3
66,占领,19603,172,173,174,5
67,搭乘,19603,172,173,174,2
68,张望,19603,175,176,177,2
69,实行,19603,172,173,174,1
70,剥取,19603,181,182,183,5
71,召唤,19603,172,173,174,2
72,照看,19603,184,185,186,5
73,治疗魔法,19673,0,5704,5705,5
74,拾取,19603,80,81,82,3
75,物资回收,19603,80,81,82,4
76,物资加工,19603,0,7347,151,7
77,资材组装,19603,0,7346,151,10
78,资材投入,19603,172,173,174,10
79,契约,19603,80,81,82,6
80,丢弃,19603,0,4189,12632,3
81,粉碎,19603,0,7364,151,10
82,投入,19603,0,7365,151,7
83,清扫,19603,0,7366,151,10
84,物资回收,19603,184,185,186,4
85,修复,19603,0,7399,151,10
86,触碰石像,19603,172,173,174,2
87,施工,19603,0,7394,151,10
88,资材投入,19603,181,182,183,7
89,物资回收,19603,80,81,82,10
90,缝制,19603,0,7421,150,10
91,搬运,19603,80,81,82,3
92,装入,19603,0,4189,12632,2
93,确认,19603,80,81,82,5
94,骑乘,19603,172,173,174,2
95,交出,19603,0,4189,12632,3
96,设置炸药,19603,181,182,183,5
97,享用,19603,0,8436,0,9
98,享用,19603,0,8436,0,3
99,注入燃料,19603,0,208,12632,3
100,倾听,19603,0,155,0,5
101,安抚,19603,172,173,174,5
102,分享以太,19603,172,173,174,5
103,口哨,19603,178,179,180,3
104,救助,19603,181,182,183,5
105,实行,19603,181,182,183,3
106,照看,19603,172,173,174,5
107,输入以太,19603,169,170,171,5
108,安抚,19603,11987,11988,11989,5
109,搬运,19603,0,0,0,1
110,交纳,19603,172,173,174,3
111,钻头垂直作业,19603,0,12261,12481,6
112,钻头水平作业,19603,0,12260,12474,6
113,吸引,19603,0,12259,12474,6
114,焊接,19603,0,12258,12474,6
115,获取资材,19603,172,173,12473,4
116,加工资材,19603,181,182,12480,5
117,搬运,19603,80,81,82,6
118,存放,19603,0,4189,12474,3
119,回收,19603,181,182,12470,4
120,以太充能,19603,172,173,12471,6
121,安装,19603,181,182,12472,4
122,施工,19603,0,7394,12474,6
123,获取食材,19603,181,182,183,1
124,实行,19612,181,182,183,2
125,焊接,19603,0,12425,12474,6
126,冷却玻璃,19603,0,12424,12468,5
127,补充冷却剂,19603,172,173,174,5
128,冷却玻璃,19603,0,12467,12469,5
129,钻头垂直作业,19603,0,12261,12482,6
130,剥取,19603,12483,12484,12485,3
131,清除海藻,19603,181,182,183,3
132,气球彩绘,19730,12520,12521,12522,3
133,水滴精彩绘,19730,12523,12524,12525,3
134,挖掘,19603,0,12534,151,5
135,活化,19603,0,12537,12538,5
136,搬运,19603,80,81,12535,6
137,搬运准备,19603,181,182,12539,4
138,搬运准备,19603,181,182,12542,4
139,以太传导,19603,12557,12558,12541,5
140,以太传导,19603,12559,12560,12544,5
141,钻头垂直作业,19603,0,12261,12545,6
142,活性剂补充,19603,172,173,174,5
143,,0,0,0,0,0
144,,0,0,0,0,0
