#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
0,,0,0,0,0,-1
1,组建成了新部队！,0,0,0,1,0
2,部队等级提升为UNKNOWN级！,0,0,1,1,0
3,与“”的友好关系提升为“”！,1,0,1,1,5
4,与“”的友好关系提升为“”！,1,0,1,1,6
5,与“”的友好关系提升为“”！,1,0,1,1,7
6,获得了“”的权利！,0,0,1,1,0
7,加入了部队。,4,0,0,2,1
8,加入了部队。,4,0,0,2,1
9,退出了部队。,4,0,0,2,2
10,退出了部队。,4,0,0,2,2
11,就任为。,4,5,0,2,3
12,就任为。,4,5,0,2,3
13,就任为。,4,5,0,2,3
14,部队转到了“”属下。,0,1,0,1,5
15,部队转到了“”属下。,0,1,0,1,6
16,部队转到了“”属下。,0,1,0,1,7
17,修改了“”阶级的设置。,4,5,0,3,3
18,添加了“”阶级。,4,5,0,3,3
19,删除了“”阶级。,4,5,0,3,3
20,修改了阶级的序列。,4,0,0,3,3
21,,4,6,1,0,-1
22,,4,0,0,0,-1
23,,4,0,0,0,-1
24,更新了部队公告。,4,0,0,3,4
25,更新了部队信息。,4,0,0,3,4
26,更新了部队队徽。,4,0,0,3,8
27,获得了“”的特效。,4,0,1,4,9
28,使用了“”的特效。,4,0,1,4,9
29,该动态已被删除,0,0,0,0,4
30,将阶级名称更改为“”。,4,5,0,3,3
31,取消了“”的特效。,4,0,1,4,9
32,放弃了“”的特效。,4,0,1,4,9
33,部队的简称已被修改为“”。,0,3,0,3,4
34,部队名已被修改为“”。,0,2,0,3,4
35,将第UNKNOWN区UNKNOWN号住房名称改成了“”。,4,9,0,5,11
36,修改了“”的问候语。,4,8,0,5,11
37,购买了第UNKNOWN区UNKNOWN号土地。,4,7,0,5,11
38,废弃了第UNKNOWN区UNKNOWN号土地。,4,7,0,5,11
39, 第UNKNOWN区UNKNOWN号土地被废弃了。,0,7,0,5,11
40,在第UNKNOWN区UNKNOWN号土地上搭建起了“”。,4,7,1,5,11
41,拆除了“”。,4,8,0,5,11
42,更换了“”的外部装潢。,4,8,0,5,11
43,更换了“”的内部装潢。,4,8,0,5,11
44,更换了“”的家具配置。,4,8,0,5,11
45,更换了“”的庭具配置。,4,8,0,5,11
46,删除了写在“”的访客留言薄上的留言。,4,8,0,5,11
47,收到了发来的入队申请。,4,0,0,2,12
48,撤销了发来的入队申请。,4,0,0,2,12
49,的角色已被删除。,4,0,0,2,12
50,拒绝了发来的入队申请。,4,0,0,2,12
51,申请数量已经到达上限。,0,0,0,2,12
52,在“”里种下了。,4,10,1,6,13
53,对“”里的作物施加了。,4,10,1,6,13
54,对“”里的作物浇了些水。,4,10,0,6,13
55,从“”里的作物中收获了UNKNOWN个。,4,11,1,6,13
56,并且由于杂交成功，还收获了UNKNOWN个。,0,11,1,6,13
57,由于不在，“”已被转让。,4,5,0,2,3
58,将“”的作物处理掉了。,4,10,0,6,13
59,增设了个人用UNKNOWN号房间。,4,0,1,5,11
60,拆除了个人用UNKNOWN号房间。,4,0,1,5,11
61,照顾了鸟栏中的陆行鸟。,4,0,0,7,11
62,对进行了训练。,4,12,0,7,11
63,将“”设置到了UNKNOWN号转轴上。,16,14,1,5,11
64,将UNKNOWN号转轴上的“”撤了下来。,16,14,1,5,11
65,从UNKNOWN号转轴上获取了“”。,16,14,1,5,11
66,转换了“”，将“”储备了下来。,16,14,1,4,9
67,增建了部队工房。,16,0,0,8,15
68,拆除了部队工房。,16,0,0,8,15
69,使用部队合建设备启动了“”的制作工程。,16,14,0,8,15
70,推进“”工程所必须的素材已经全部准备就绪。,0,14,0,8,15
71,“”的工程有所进展。,0,14,1,8,15
72,工程有所进展，制作完成。,0,14,1,8,15
73,从部队合建设备中回收了“”。,16,14,0,8,15
74,中断了部队合建设备中的制作工程。,16,0,0,8,15
75,绘制出了“”。,16,0,1,8,15
76,将第UNKNOWN架飞空艇登记为“”。,16,15,1,9,14
77,将第UNKNOWN架飞空艇的名字更改为“”。,16,15,1,9,14
78,拆解了登记为“”的第UNKNOWN架飞空艇。,16,15,1,9,14
79,派出了飞空艇“”去进行探索。,16,15,0,9,14
80,中止了飞空艇“”的探索。,16,15,0,9,14
81,接受了“”探索完成的报告。,16,15,0,9,14
82,飞空艇“”升为UNKNOWN级。,16,15,1,9,14
83,通过飞空艇“”的探索，工房可以登记第UNKNOWN架飞空艇了。,16,15,1,9,14
84,消耗0点部队战绩换取了UNKNOWN个“”。,16,22,1,1,0
85,提供了必需素材“”，贡献了60%以上的该素材以制作“”。,16,22,1,8,15
86,发现了“云冠群岛夜晚探索”的航线！,16,0,0,9,14
87,因为长时间没有使用，第UNKNOWN区UNKNOWN号土地已被回收，部分资产由住宅区管理员代为保管。,0,7,0,5,11
88,回到了房屋中，自动拆除准备已经取消。,16,0,0,5,11
89,因为资产回收期限已过，从第UNKNOWN区UNKNOWN号土地回收的资产已全部销毁。,0,7,0,5,11
90,在花盆中播下了。,16,14,0,6,13
91,对花盆里的作物浇了些水。,16,0,0,6,13
92,从花盆里的作物中收获了UNKNOWN个。,16,14,1,6,13
93,将花盆里的作物处理掉了。,16,0,0,6,13
94,将房屋搬迁到了第UNKNOWN区UNKNOWN号土地。,4,7,0,5,11
95,将第UNKNOWN艘潜水艇登记为“”。,16,15,1,9,14
96,将第UNKNOWN艘潜水艇的名字更改为“”。,16,15,1,9,14
97,拆解了登记为“”的第UNKNOWN艘潜水艇。,16,15,1,9,14
98,派出了潜水艇“”去进行探索。,16,15,0,9,14
99,中止了潜水艇“”的探索。,16,15,0,9,14
100,接受了“”探索完成的报告。,16,15,0,9,14
101,潜水艇“”升为UNKNOWN级。,16,15,1,9,14
102,通过潜水艇“”的探索，工房可以登记第UNKNOWN艘潜水艇了。,16,15,1,9,14
103,删除了的留言。,16,23,0,5,11
104,修改了交流簿的设置。,16,0,0,5,11
105,设定了房屋宣传标签。,16,0,0,5,11
106,改建了“”的内部。,16,15,0,5,11
107,,0,0,0,0,0
