#,Text
0,
1,获得率＋UNKNOWN%
2,获得率×UNKNOWN
3,可获得
4,高于自身等级道具获得率＋UNKNOWN%
5,高于自身等级道具获得率×UNKNOWN
6,高于自身等级道具获得率 UNKNOWN%
7,低于自身等级道具获得率＋UNKNOWN%
8,低于自身等级道具获得率×UNKNOWN
9,低于自身等级道具获得率 UNKNOWN%
10,
11,
12,
13,
14,获得数＋UNKNOWN个
15,数量×UNKNOWN
16,数量 UNKNOWN个
17,获得数＋UNKNOWN个（上升型）
18,采集次数/耐久＋UNKNOWN次
19,采集次数/耐久＋UNKNOWN次（上升型）
20,隐藏道具出现率×0.00
21,可以采集收藏品
22,额外采集奖励发生率＋UNKNOWN%
23,额外采集奖励发生率＋UNKNOWN%（上升型）
24,收藏价值最大时：升华率＋UNKNOWN%
25,收藏价值最大时：升华率＋UNKNOWN%（上升型）
26,收藏价值＋UNKNOWN（上升型）
27,慎重提纯：追加效果发生率＋UNKNOWN%（上升型）
28,集中检查：上升率＋UNKNOWN%（上升型）
29,价值提升＋UNKNOWN%（上升型）
30,收藏价值＋UNKNOWN
31,慎重提纯：追加效果发生率＋UNKNOWN%
32,集中检查：上升率＋UNKNOWN%
33,价值提升＋UNKNOWN%
