#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,巡逻城内,命令队员在利姆萨·罗敏萨城内定期巡逻。巡逻指定地点，确保城内安全。,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,7500,0,5,8,1,100,0,1
2,向附近据点传令,命令队员到德内维尔关传令。将军方文件交给该地驻扎部队。,0,165,160,160,0,20,20,20,20,0,165,160,160,0,20,20,20,20,0,165,170,150,0,20,20,20,20,0,150,170,165,0,20,20,20,20,0,160,150,175,0,20,20,20,20,0,150,160,175,0,20,20,20,20,7500,500,8,0,1,20,0,1
3,巡逻城市周边道路,命令队员在中拉诺西亚的主要道路巡逻。发现威胁市民、旅行者、商队安全的魔物后立即消灭。,0,245,155,200,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,150,255,195,0,20,20,20,20,0,195,255,150,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,195,155,250,0,20,20,20,20,9000,500,8,0,1,20,0,1
4,侦察蛮族部队,有情报传来称在拉诺西亚低地目击到了地灵族。立即前往现场，侦察敌人动向后报告。,0,150,255,195,0,20,20,20,20,0,195,155,250,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,245,155,200,0,20,20,20,20,0,195,255,150,0,20,20,20,20,10500,500,8,0,5,20,0,1
5,护卫补给部队,命令队员保护前往骷髅谷营地的补给部队。任何时刻都不要放松警惕，确保补给部队的安全。,0,210,125,310,0,20,20,20,20,0,125,210,310,0,20,20,20,20,0,305,210,130,0,20,20,20,20,0,305,130,210,0,20,20,20,20,0,210,320,115,0,20,20,20,20,0,115,320,210,0,20,20,20,20,12000,500,8,0,10,20,0,1
6,驱除魔物,中拉诺西亚的居民发来了驱除古菩猩猩的请求。为防止损害扩大，立即前往现场阻止魔物。,14945,140,225,325,1,20,20,20,20,14945,225,140,325,1,20,20,20,20,14945,320,145,225,1,20,20,20,20,14945,320,225,145,1,20,20,20,20,14945,130,335,225,1,20,20,20,20,14945,225,335,130,1,20,20,20,20,13500,500,8,0,15,20,0,1
7,重要任务：消灭低级妖异,有目击情报称，在轻声谷发现低级妖异。放置不管的话，可能会给当地居民带来灾害。立即前往现场，将所有妖异消灭。,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,21000,2000,10,12,20,0,0,1
8,支援前线部队,骷髅谷营地的驻扎部队发来支援请求。立即前往现场，支援当地部队迎击地灵族。,0,265,140,420,0,20,20,20,20,0,410,145,270,0,20,20,20,20,0,265,435,125,0,20,20,20,20,0,140,265,420,0,20,20,20,20,0,410,270,145,0,20,20,20,20,0,125,435,265,0,20,20,20,20,15000,1000,12,0,20,20,0,2
9,护卫同盟军军官,双蛇党的军官将来我城进行重要访问。前往飞艇坪迎接，并在访问期间做好万全的接待和护卫。,0,270,440,130,0,20,20,20,20,0,130,440,270,0,20,20,20,20,0,270,145,425,0,20,20,20,20,0,145,270,425,0,20,20,20,20,0,415,275,150,0,20,20,20,20,0,415,150,275,0,20,20,20,20,16500,1000,12,0,20,20,0,2
10,巡逻郊外道路,命令队员在东拉诺西亚的主要道路巡逻。当地道路多为运输要道，睁大眼睛，确保道路治安。,0,425,285,160,0,20,20,20,20,0,140,450,280,0,20,20,20,20,0,280,155,435,0,20,20,20,20,0,425,160,285,0,20,20,20,20,0,280,450,140,0,20,20,20,20,0,155,280,435,0,20,20,20,20,19500,1000,12,0,25,20,0,2
11,侦察蛮族据点,命令队员前往地灵军试掘地执行侦察行动。消灭迎击的敌方蛮族，将情报带回。,0,170,295,450,0,20,20,20,20,0,440,300,175,0,20,20,20,20,0,440,175,300,0,20,20,20,20,0,295,465,155,0,20,20,20,20,0,155,465,295,0,20,20,20,20,0,295,170,450,0,20,20,20,20,22500,1000,12,0,30,20,0,2
12,搜索失踪人员,有友军部队成员在拉诺西亚外地失踪。在敌对势力强大的区域迅速进行搜索救援。,0,310,480,170,0,20,20,20,20,0,185,310,465,0,20,20,20,20,0,455,315,190,0,20,20,20,20,0,170,480,310,0,20,20,20,20,0,310,185,465,0,20,20,20,20,0,455,190,315,0,20,20,20,20,25500,1000,12,0,35,20,0,2
13,与同盟军的联合演习,与恒辉队的联合演习即将开始。作为黑涡团的代表参加演习，并展现我军优秀的能力。,14945,455,190,315,1,20,20,20,20,14945,310,480,170,1,20,20,20,20,14945,170,480,310,1,20,20,20,20,14945,310,185,465,1,20,20,20,20,14945,185,310,465,1,20,20,20,20,14945,455,315,190,1,20,20,20,20,27000,1000,12,0,35,20,0,2
14,重要任务：夺取水晶,为了阻止敌对蛮族召唤泰坦，在地灵军试掘地开始了夺取水晶的作战。与友军部队合作，潜入地方据点，夺取目标物品。,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,13,15,40,0,0,2
15,重要任务：夺取水晶,为了阻止敌对蛮族召唤泰坦，在地灵军试掘地开始了夺取水晶的作战。与友军部队合作，潜入地方据点，夺取目标物品。,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,16,17,40,0,0,2
16,强袭蛮族据点,对武伽玛罗武装矿山的强袭作战开始了。立即与友军部队汇合，助其一臂之力。,14946,530,385,275,5,20,20,20,20,14946,530,275,385,5,20,20,20,20,14946,385,560,245,5,20,20,20,20,14946,245,560,385,5,20,20,20,20,14946,385,265,540,5,20,20,20,20,14946,265,385,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
17,取缔违法武器交易,谍报部门传来了违法武器贩卖的情报。前往指定的交易场所，将犯罪者一网打尽。,14947,385,560,245,5,20,20,20,20,14947,245,560,385,5,20,20,20,20,14947,385,265,540,5,20,20,20,20,14947,265,385,540,5,20,20,20,20,14947,530,385,275,5,20,20,20,20,14947,530,275,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
18,侦察帝国军据点,命令队员对帝国西方堡进行侦察。带回该地帝国军部队动向的相关情报。,14948,385,265,540,5,20,20,20,20,14948,265,385,540,5,20,20,20,20,14948,530,385,275,5,20,20,20,20,14948,530,275,385,5,20,20,20,20,14948,385,560,245,5,20,20,20,20,14948,245,560,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
19,追踪帝国军逃兵,有目击情报称，在东拉诺西亚发现帝国军逃兵。立即前往现场，搜寻并捕获可疑人物。,14949,530,275,385,5,20,20,20,20,14949,385,560,245,5,20,20,20,20,14949,245,560,385,5,20,20,20,20,14949,385,265,540,5,20,20,20,20,14949,265,385,540,5,20,20,20,20,14949,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
20,发动对帝国军的牵制攻击,艾欧泽亚同盟军将在摩杜纳展开对帝国军部队的牵制攻击。代表黑涡团参战，引导作战成功。,14950,245,560,385,5,20,20,20,20,14950,385,265,540,5,20,20,20,20,14950,265,385,540,5,20,20,20,20,14950,530,385,275,5,20,20,20,20,14950,530,275,385,5,20,20,20,20,14950,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
21,切断蛮族补给线作战,为了切断西拉诺西亚鱼人族的补给线，投入大部队的作战开始了。服从军令部的指示，参加作战。,14951,265,385,540,5,20,20,20,20,14951,530,385,275,5,20,20,20,20,14951,530,275,385,5,20,20,20,20,14951,385,560,245,5,20,20,20,20,14951,245,560,385,5,20,20,20,20,14951,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
22,追踪通缉犯,有目击情报称，在拉诺西亚发现了恒辉队正在通缉的罪犯。协助恒辉队的特务军官进行追踪。,14952,530,275,385,5,20,20,20,20,14952,530,385,275,5,20,20,20,20,14952,245,560,385,5,20,20,20,20,14952,385,560,245,5,20,20,20,20,14952,265,385,540,5,20,20,20,20,14952,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
23,歼灭帝国军补给部队,谍报部门传来了有关帝国军补给部队的重要情报。歼灭前往帝国西方堡的敌方补给部队。,14953,245,560,385,5,20,20,20,20,14953,385,560,245,5,20,20,20,20,14953,265,385,540,5,20,20,20,20,14953,385,265,540,5,20,20,20,20,14953,530,275,385,5,20,20,20,20,14953,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
24,消灭合成生物,在我国领土内发现了可怕的合成生物。追踪身躯巨大的弥诺陶洛斯，将其消灭。,14954,265,385,540,5,20,20,20,20,14954,385,265,540,5,20,20,20,20,14954,530,275,385,5,20,20,20,20,14954,530,385,275,5,20,20,20,20,14954,245,560,385,5,20,20,20,20,14954,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
