#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,体能＋UNKNOWN%,10,10,15,15,20,100,100,100,100,100
2,心智＋UNKNOWN%,10,10,15,15,20,100,100,100,100,100
3,战术＋UNKNOWN%,10,10,15,15,20,100,100,100,100,100
4,全员体能＋UNKNOWN%,3,3,3,3,5,100,100,100,100,100
5,全员心智＋UNKNOWN%,3,3,3,3,5,100,100,100,100,100
6,全员战术＋UNKNOWN%,3,3,3,3,5,100,100,100,100,100
7,获得经验值＋UNKNOWN%,10,10,20,20,30,100,100,100,100,100
8,全员获得经验值＋UNKNOWN%,5,5,10,10,15,100,100,100,100,100
9,全员吉兆获得率＋UNKNOWN%,10,20,30,40,50,100,100,100,100,100
10,有UNKNOWN%几率获得“战斗技巧教材：守势”,0,0,0,0,0,10,20,30,40,50
11,有UNKNOWN%几率获得“战斗技巧教材：魔法”,0,0,0,0,0,10,20,30,40,50
12,有UNKNOWN%几率获得“战斗技巧教材：攻势”,0,0,0,0,0,10,20,30,40,50
13,有UNKNOWN%几率获得金币,0,0,0,0,0,10,20,30,40,50
14,有UNKNOWN%几率获得军票,0,0,0,0,0,10,20,30,40,50
15,有UNKNOWN%几率获得金碟币,0,0,0,0,0,10,20,30,40,50
16,有UNKNOWN%几率获得防护职业用魔晶石,0,0,0,0,0,10,20,30,40,50
17,有UNKNOWN%几率获得物理进攻职业用魔晶石,0,0,0,0,0,10,20,30,40,50
18,有UNKNOWN%几率获得魔法导师用魔晶石,0,0,0,0,0,10,20,30,40,50
19,有UNKNOWN%几率获得大地使者用魔晶石,0,0,0,0,0,10,20,30,40,50
20,有UNKNOWN%几率获得能工巧匠用魔晶石,0,0,0,0,0,10,20,30,40,50
21,有UNKNOWN%几率获得晶簇,0,0,0,0,0,10,20,30,40,50
22,有UNKNOWN%几率获得大地工票,0,0,0,0,0,10,20,30,40,50
23,有UNKNOWN%几率获得巧手工票,0,0,0,0,0,10,20,30,40,50
