#,Name,Description,Icon,Action,UnlockLink,Unknown0,Recast,UIPriority,Unknown2,Unknown1
0,,,0,0,0,0,0,0,False,False
1,自动攻击,以一定时间为间隔自动进行普通攻击。,101,0,0,1,0,7,False,False
2,跳跃,通过跳跃可以跃过较小的高低差。,102,0,0,1,0,11,False,False
3,极限技,"消耗极限槽可以施放强力的极限技。
每种职能的极限技都有所不同。
**防护职业：**减轻全体队员受到的伤害。
（范围：50米）
**近战职业：**发动单体高伤害攻击。
**远程职业：**对前方直线范围发动高伤害攻击。
（范围：30米）
**魔法职业：**对指定地点发动范围高伤害攻击。
（范围：8米/10米/15米）
**治疗职业：**恢复全体队员的体力，3级极限技附带复活效果。
以此复活时，身上本没有衰弱状态的队员不会被附加衰弱状态，
身上已有衰弱状态的队员其衰弱的持续时间会刷新回最大值。
（范围：50米）",103,0,0,1,0,4,False,False
4,冲刺,"提高自身的移动速度。
**战斗中的持续时间：**10秒
**非战斗中的持续时间：**20秒
※对战任务内无法使用。",104,3,0,1,56,1,False,False
5,分解,将道具分解成能够再次使用的素材。,120,0,95,2,0,51,False,True
6,修理,"修复装备的耐久度。
需要用对应装备等级的暗物质来当作触媒。",106,0,0,2,0,31,False,True
7,传送,消耗金币在共鸣过的以太之光之间迅速移动。,111,5,4,1,0,2,False,True
8,返回,传送到上一次所记录的返回点。,112,6,1,1,57,3,False,True
9,随机坐骑,随机召唤出一种坐骑。,118,0,0,1,0,21,False,False
10,随机宠物,随机召唤出一种宠物。,117,0,0,1,0,23,False,False
11,,,0,0,0,0,0,0,False,False
12,镶嵌魔晶石,将寄宿有思念的魔晶石镶嵌到装备上对装备进行强化。,107,0,11,2,0,33,False,True
13,镶嵌魔晶石II,"将寄宿有思念的魔晶石镶嵌到装备上对装备进行强化。
虽然失败的危险性很高，不过镶嵌的数量可以摆脱魔晶石孔数量的限制。",108,0,12,2,0,34,False,True
14,精制魔晶石,抽出物品上寄宿的思念以太，将其精制成魔晶石。,109,0,13,2,0,32,False,True
15,染色,消耗染剂来改变装备的颜色。,110,0,14,2,0,41,False,True
16,从左至右切换敌人,从最近的敌人开始从左至右切换所选目标。,113,0,0,3,0,12,False,True
17,从右至左切换敌人,从最近的敌人开始从右至左切换所选目标。,114,0,0,3,0,13,False,True
18,放置,放下手中的物品。,19612,0,0,1,0,0,False,False
19,解读,解读陈旧的地图。,115,1694,25,1,0,61,False,False
20,挖掘,"探索周围环境以确认地图上记载的宝物是否存在。
**范围：**半径30米",116,1695,25,1,67,62,False,False
21,精选,在采集到的收藏品中进行精选，发现新的道具。,121,0,256,2,0,52,False,True
22,武具投影,消耗幻象棱晶来改变装备的外型。,119,0,15,2,0,42,False,True
23,跳下,从坐骑上下来。,19628,0,0,1,0,0,False,False
24,随机飞行坐骑,随机召唤出一种飞行坐骑。,122,0,0,1,0,0,False,False
25,投影模板,一次性对数件装备进行武具投影。,125,0,15,2,0,43,False,True
26,任务指令1,使用迷宫挑战或蛮神战等任务中特有的指令。,123,0,0,1,0,1,True,False
27,任务指令2,使用迷宫挑战或蛮神战等任务中特有的指令。,124,0,0,1,0,2,True,False
28,收回,整理并收纳使用中的时尚配饰。,19688,0,0,1,0,0,False,False
29,特殊热键栏技能排序,调整特殊热键栏上技能的顺序。,19692,0,0,1,0,0,False,True
30,特殊热键栏技能排序,调整特殊热键栏上技能的顺序。,19692,0,0,1,0,0,False,True
31,辅助技能1,发动任务中的对应技能。,126,0,537,1,0,3,True,False
32,辅助技能2,发动任务中的对应技能。,127,0,537,1,0,4,True,False
33,辅助技能3,发动任务中的对应技能。,128,0,537,1,0,5,True,False
34,辅助技能4,发动任务中的对应技能。,129,0,537,1,0,6,True,False
35,辅助技能5,发动任务中的对应技能。,130,0,537,1,0,7,True,False
36,目标·攻击,"将标记为攻击1～8的对象设为目标。
如果存在多个对象，则以最小数字的对象作为目标。",133,0,0,3,0,14,False,True
37,目标·止步,"将标记为止步1～3的对象设为目标。
如果存在多个对象，则以最小数字的对象作为目标。",134,0,0,3,0,15,False,True
38,目标·禁止,"将标记为禁止1～2的对象设为目标。
如果存在多个对象，则以最小数字的对象作为目标。",135,0,0,3,0,16,False,True
39,目标·方块,将标记为方块的对象设为目标。,136,0,0,3,0,17,False,True
40,目标·圆圈,将标记为圆圈的对象设为目标。,137,0,0,3,0,18,False,True
41,目标·十字,将标记为十字的对象设为目标。,138,0,0,3,0,19,False,True
42,目标·三角,将标记为三角的对象设为目标。,139,0,0,3,0,20,False,True
43,下一个战术板,切换到下一个战术板。,140,0,0,3,0,71,False,True
44,上一个战术板,退回到上一个战术板。,141,0,0,3,0,72,False,True
