#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown_70_4,Pronoun,Article,Model,Icon,Unknown_70_8,Style
0,,,,,0,0,0,1,0,0,0,0,0,-1
1,椭圆眼镜,,基础色的面部配饰。,椭圆眼镜,0,0,0,1,0,0,71037,200049,0,0
2,银框椭圆眼镜,,银色的面部配饰。,银框椭圆眼镜,0,0,0,1,0,0,136573,200053,0,0
3,金框椭圆眼镜,,金色的面部配饰。,金框椭圆眼镜,0,0,0,1,0,0,202109,200052,0,0
4,黑框椭圆眼镜,,黑色的面部配饰。,黑框椭圆眼镜,0,0,0,1,0,0,267645,200054,0,0
5,白框椭圆眼镜,,白色的面部配饰。,白框椭圆眼镜,0,0,0,1,0,0,333181,200059,0,0
6,灰框椭圆眼镜,,灰色的面部配饰。,灰框椭圆眼镜,0,0,0,1,0,0,398717,200050,0,0
7,红框椭圆眼镜,,红色的面部配饰。,红框椭圆眼镜,0,0,0,1,0,0,464253,200057,0,0
8,蓝框椭圆眼镜,,蓝色的面部配饰。,蓝框椭圆眼镜,0,0,0,1,0,0,529789,200056,0,0
9,绿框椭圆眼镜,,绿色的面部配饰。,绿框椭圆眼镜,0,0,0,1,0,0,595325,200060,0,0
10,铜框椭圆眼镜,,铜色的面部配饰。,铜框椭圆眼镜,0,0,0,1,0,0,660861,200051,0,0
11,紫框椭圆眼镜,,紫色的面部配饰。,紫框椭圆眼镜,0,0,0,1,0,0,726397,200055,0,0
12,棕框椭圆眼镜,,棕色的面部配饰。,棕框椭圆眼镜,0,0,0,1,0,0,791933,200058,0,0
13,金边墨镜,,基础色的面部配饰。,金边墨镜,0,0,0,1,0,0,71038,200085,0,1
14,银框金边墨镜,,银色的面部配饰。,银框金边墨镜,0,0,0,1,0,0,136574,200089,0,1
15,金框金边墨镜,,金色的面部配饰。,金框金边墨镜,0,0,0,1,0,0,202110,200088,0,1
16,黑框金边墨镜,,黑色的面部配饰。,黑框金边墨镜,0,0,0,1,0,0,267646,200090,0,1
17,白框金边墨镜,,白色的面部配饰。,白框金边墨镜,0,0,0,1,0,0,333182,200095,0,1
18,灰框金边墨镜,,灰色的面部配饰。,灰框金边墨镜,0,0,0,1,0,0,398718,200086,0,1
19,红框金边墨镜,,红色的面部配饰。,红框金边墨镜,0,0,0,1,0,0,464254,200093,0,1
20,蓝框金边墨镜,,蓝色的面部配饰。,蓝框金边墨镜,0,0,0,1,0,0,529790,200092,0,1
21,绿框金边墨镜,,绿色的面部配饰。,绿框金边墨镜,0,0,0,1,0,0,595326,200096,0,1
22,铜框金边墨镜,,铜色的面部配饰。,铜框金边墨镜,0,0,0,1,0,0,660862,200087,0,1
23,紫框金边墨镜,,紫色的面部配饰。,紫框金边墨镜,0,0,0,1,0,0,726398,200091,0,1
24,棕框金边墨镜,,棕色的面部配饰。,棕框金边墨镜,0,0,0,1,0,0,791934,200094,0,1
25,经典眼镜,,基础色的面部配饰。,经典眼镜,0,0,0,1,0,0,71039,200061,0,2
26,银框经典眼镜,,银色的面部配饰。,银框经典眼镜,0,0,0,1,0,0,136575,200065,0,2
27,金框经典眼镜,,金色的面部配饰。,金框经典眼镜,0,0,0,1,0,0,202111,200064,0,2
28,黑框经典眼镜,,黑色的面部配饰。,黑框经典眼镜,0,0,0,1,0,0,267647,200066,0,2
29,白框经典眼镜,,白色的面部配饰。,白框经典眼镜,0,0,0,1,0,0,333183,200071,0,2
30,灰框经典眼镜,,灰色的面部配饰。,灰框经典眼镜,0,0,0,1,0,0,398719,200062,0,2
31,红框经典眼镜,,红色的面部配饰。,红框经典眼镜,0,0,0,1,0,0,464255,200069,0,2
32,蓝框经典眼镜,,蓝色的面部配饰。,蓝框经典眼镜,0,0,0,1,0,0,529791,200068,0,2
33,绿框经典眼镜,,绿色的面部配饰。,绿框经典眼镜,0,0,0,1,0,0,595327,200072,0,2
34,铜框经典眼镜,,铜色的面部配饰。,铜框经典眼镜,0,0,0,1,0,0,660863,200063,0,2
35,紫框经典眼镜,,紫色的面部配饰。,紫框经典眼镜,0,0,0,1,0,0,726399,200067,0,2
36,棕框经典眼镜,,棕色的面部配饰。,棕框经典眼镜,0,0,0,1,0,0,791935,200070,0,2
37,玫瑰色眼镜,,基础色的面部配饰。,玫瑰色眼镜,0,0,0,1,0,0,71040,200013,0,3
38,银框玫瑰色眼镜,,银色的面部配饰。,银框玫瑰色眼镜,0,0,0,1,0,0,136576,200017,0,3
39,金框玫瑰色眼镜,,金色的面部配饰。,金框玫瑰色眼镜,0,0,0,1,0,0,202112,200016,0,3
40,黑框玫瑰色眼镜,,黑色的面部配饰。,黑框玫瑰色眼镜,0,0,0,1,0,0,267648,200018,0,3
