#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,无,0,0,0,0,0,0,10,False,False,False
1,使命开始！,0,120021,2,10,0,200,10,False,False,False
2,使命完成！,0,120022,2,10,0,201,10,False,False,False
3,,0,0,0,0,0,0,0,False,False,False
4,重新挑战！,0,120024,2,10,0,203,10,False,False,False
5,接受任务！,0,120001,2,11,0,100,10,False,False,False
6,任务完成！,0,120002,2,11,0,101,10,False,False,False
7,临危受命！,0,120081,2,12,0,303,10,False,False,False
8,危命完成！,0,120082,2,12,0,304,10,False,False,False
9,,0,0,0,0,0,0,0,False,False,False
10,升级！,0,120111,2,5,0,10,10,False,False,False
11,机遇临门！,0,121561,2,13,0,400,10,False,False,False
12,天赐良机！,0,121562,2,13,0,401,10,False,False,False
13,,0,0,0,0,0,0,0,False,False,False
14,出发！,0,121551,2,13,0,403,10,False,False,False
15,抵达终点！,0,121552,2,13,0,404,10,False,False,False
16,挑战成功！,0,121553,2,13,0,405,10,False,False,False
17,成功！,0,121501,2,13,0,406,10,False,False,False
18,失败……,0,121502,2,13,0,407,10,False,False,False
19,全力一击！,0,121511,2,13,0,408,10,False,False,False
20,打得漂亮！,0,121512,2,13,0,409,10,False,False,False
21,打得好！,0,121513,2,13,0,410,10,False,False,False
22,,0,0,0,0,0,0,0,False,False,False
23,轻锐小队,0,120114,2,5,0,23,10,False,False,False
24,满编小队,0,120115,2,5,0,24,10,False,False,False
25,等级下降……,0,120119,2,5,0,11,10,False,False,False
26,FINAL FANTASY XIV ONLINE（白色）,0,230651,2,16,0,2,10,True,False,False
27,FINAL FANTASY XIV ONLINE（黑色）,0,230652,2,16,0,1,10,True,False,False
28,,0,0,0,0,0,0,0,False,False,False
29,国旗：亚历山德里亚,70495,230715,1,6,0,15,1,True,False,False
30,九宫幻卡：★,0,230111,1,4,0,1,10,True,False,False
31,九宫幻卡：★★,0,230112,1,4,0,2,10,True,False,False
32,九宫幻卡：★★★,0,230113,1,4,0,3,10,True,False,False
33,九宫幻卡：★★★★,0,230114,1,4,0,4,10,True,False,False
34,九宫幻卡：★★★★★,0,230115,1,4,0,5,10,True,False,False
35,九宫幻卡：1,0,230120,1,4,0,12,10,True,False,False
36,九宫幻卡：2,0,230121,1,4,0,13,10,True,False,False
37,九宫幻卡：3,0,230122,1,4,0,14,10,True,False,False
38,九宫幻卡：4,0,230123,1,4,0,15,10,True,False,False
39,九宫幻卡：5,0,230124,1,4,0,16,10,True,False,False
40,九宫幻卡：6,0,230125,1,4,0,17,10,True,False,False
41,九宫幻卡：7,0,230126,1,4,0,18,10,True,False,False
42,九宫幻卡：8,0,230127,1,4,0,19,10,True,False,False
43,九宫幻卡：9,0,230128,1,4,0,20,10,True,False,False
44,九宫幻卡：A,0,230129,1,4,0,21,10,True,False,False
45,九宫幻卡：0,0,230119,1,4,0,11,10,True,False,False
46,国旗：萨雷安,0,230711,1,6,0,11,10,True,False,False
47,国旗：拉札罕,0,230713,1,6,0,12,10,True,False,False
48,国旗：加雷马,0,230712,1,6,0,13,10,True,False,False
49,国旗：图莱尤拉,0,230714,1,6,0,14,10,True,False,False
50,国旗：格里达尼亚,0,230701,1,6,0,2,10,True,False,False
51,国旗：利姆萨·罗敏萨,0,230702,1,6,0,1,10,True,False,False
52,国旗：乌尔达哈,0,230703,1,6,0,3,10,True,False,False
53,国旗：伊修加德,0,230704,1,6,0,4,10,True,False,False
54,国旗：阿拉米格,0,230705,1,6,0,5,10,True,False,False
55,国旗：黄金港,0,230706,1,6,0,6,10,True,False,False
56,国旗：多玛,0,230707,1,6,0,7,10,True,False,False
57,国旗：水晶都,0,230708,1,6,0,8,10,True,False,False
58,国旗：游末邦,0,230709,1,6,0,9,10,True,False,False
59,国旗：博兹雅,0,230710,1,6,0,10,10,True,False,False
60,表情：平常,0,230626,1,3,0,1,10,True,True,True
61,表情：微笑,0,230627,1,3,0,2,10,True,True,True
62,表情：笑颜,0,230628,1,3,0,3,10,True,True,True
63,表情：飞眼,0,230629,1,3,0,4,10,True,True,True
64,,0,0,0,0,0,0,0,False,False,False
65,表情：自信,0,230631,1,3,0,5,10,True,True,True
66,表情：无畏,0,230632,1,3,0,6,10,True,True,True
67,表情：闭目,0,230633,1,3,0,7,10,True,True,True
68,表情：意外,0,230634,1,3,0,8,10,True,True,True
69,表情：吃惊,0,230635,1,3,0,9,10,True,True,True
70,表情：嘟嘴,0,230636,1,3,0,10,10,True,True,True
71,表情：认真,0,230637,1,3,0,11,10,True,True,True
72,表情：柔和,0,230638,1,3,0,12,10,True,True,True
73,表情：满足,0,230639,1,3,0,13,10,True,True,True
74,表情：咧嘴,0,230640,1,3,0,14,10,True,True,True
75,表情：沉思,0,230641,1,3,0,15,10,True,True,True
