#,Type,AssignmentTalk,Quest[0],Quest[1],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
393216,行会理符发行处,1,65756,65756,0,0,False,False,False,False,False
393217,行会理符发行处,2,65756,65756,1,0,False,False,False,False,False
393218,行会理符发行处,3,65757,65757,1,0,False,False,False,False,False
393219,行会理符发行处,4,65979,65979,1,0,False,False,False,False,False
393220,行会理符发行处,5,65756,65756,1,0,False,False,False,False,False
393221,行会理符发行处,6,66229,66229,1,0,False,False,False,False,False
393222,行会理符发行处,7,66223,66223,1,0,False,False,False,False,False
393223,行会理符发行处,8,66223,66223,1,0,False,False,False,False,False
393224,行会理符发行处,9,66224,66224,1,0,False,False,False,False,False
393225,行会理符发行处,10,66229,66229,1,0,False,False,False,False,False
393226,行会理符发行处,11,66230,66230,1,0,False,False,False,False,False
393227,行会理符发行处,12,65756,65536,1,0,False,False,False,False,False
393228,行会理符发行处,13,66228,66228,1,0,False,False,False,False,False
393229,行会理符发行处,14,65550,65550,1,0,False,False,False,False,False
393230,行会理符发行处,15,65552,65552,1,0,False,False,False,False,False
393231,行会理符发行处,16,65553,65553,1,0,False,False,False,False,False
393232,行会理符发行处,17,65980,65980,1,0,False,False,False,False,False
393233,行会理符发行处,18,65551,65551,1,0,False,False,False,False,False
393234,行会理符发行处,19,66223,65536,1,0,False,False,False,False,False
393235,行会理符发行处,20,66229,65536,1,0,False,False,False,False,False
393236,行会理符发行处,21,66232,66232,1,0,False,False,False,False,False
393237,行会理符发行处,22,66231,66231,1,0,False,False,False,False,False
393238,行会理符发行处,23,65554,65554,1,0,False,False,False,False,False
393239,军队理符发行处,24,66229,65536,2,1,True,False,False,False,False
393240,军队理符发行处,25,66229,65536,2,5,True,False,False,False,False
393241,军队理符发行处,26,65756,65536,2,1,False,True,False,False,False
393242,军队理符发行处,27,65756,65536,2,5,False,True,False,False,False
393243,军队理符发行处,28,66223,65536,2,1,False,False,True,False,False
393244,军队理符发行处,29,66223,65536,2,5,False,False,True,False,False
393245,军队理符发行处,30,65756,65536,2,5,True,True,True,False,False
393246,军队理符发行处,31,65756,65536,2,5,True,True,True,False,False
393247,军队理符发行处,32,66223,65536,2,8,True,True,True,False,False
393248,神殿骑士团理符发行处,33,67642,67642,3,0,False,False,False,True,False
393249,行会理符发行处,34,68457,68457,4,0,False,False,False,False,True
393250,中庸工艺馆理符发行处,35,69138,69138,5,0,False,False,False,False,True
393251,拾穗人理符发行处,36,69706,69706,7,0,False,False,False,False,True
393252,图莱尤拉理符发行处,37,70539,70539,8,0,False,False,False,False,True
