#,Text,Unknown0,Type,Unknown1,Unknown2
0,,0,0,0,False
1,,0,0,0,False
2,,0,0,0,False
3,,0,0,0,False
4,,0,0,0,False
5,,0,1,0,True
6,,0,1,0,True
7,,0,1,0,True
8,,0,1,0,True
9,,0,1,0,True
10,,0,1,0,True
11,,0,1,0,True
12,无名众人广场：第一次整备计划,1,2,1,True
13,请来参加联合重建工程！,2,2,1,False
14,无名众人广场：第二次整备计划,3,2,4,True
15,再次参加联合重建工程！,4,2,4,False
16,无名众人广场：第三次整备计划,5,2,7,True
17,请协助莉兹贝丝的计划！,6,2,7,False
18,无名众人广场：整备完成,7,2,10,True
19,关于交纳制品,2,3,1,True
20,关于联合重建工程,3,3,1,True
21,什么是“重建伊修加德”,1,3,1,True
22,,0,1,0,True
23,,0,1,0,True
24,,0,1,0,True
25,,0,1,0,True
26,十字镐大街整备计划,1,2,11,True
27,重建工程迈出了崭新的一步！,2,2,11,False
28,十字镐大街的联合重建工程正在进行中！,3,2,14,False
29,拜托各位工匠对十字镐大街进行整备！,4,2,16,False
30,参加联合重建工程建造喷泉啦！,5,2,19,False
31,圣罗埃勒广场整备计划,6,2,21,True
32,开始着手建设新的道路！,7,2,21,False
33,我一直在观赏着各位工匠作业时华丽的样子。,8,2,24,False
34,招人！铺装作业员！,9,2,26,False
35,在联合重建工程中展现工匠的手艺吧！,10,2,29,False
36,新巢居住区整备计划,11,2,30,True
37,终于要在居住区的预定施工地点开始联合重建工程了！,12,2,30,False
38,联合重建工程顺利进行中！,13,2,33,False
39,请继续协助清除瓦砾！,14,2,35,False
40,长时间的瓦砾清除作业，辛苦各位了！,15,2,37,False
41,终于要开始建设住房了！,16,2,40,False
42,住房正在建设中！,17,2,43,False
43,此次为本期最后的联合重建工程！,18,2,46,False
44,新巢居住区：整备完成,19,2,48,True
45,关于库啵好运道,4,3,11,True
46,关于云冠群岛,5,3,11,True
47,,0,1,0,True
48,,0,1,0,True
49,,0,1,0,True
50,,0,1,0,True
51,落羽商业区整备计划,1,2,49,True
52,欢迎对力量有自信的人参加！,2,2,50,False
53,拜托各位去清除瓦砾！,3,2,52,False
54,感谢各位平日里的协助。,4,2,54,False
55,募集人手！,5,2,56,False
56,要开始建造大规模设施了！,6,2,59,False
57,请开始联合重建工程建造建筑物！,7,2,62,False
58,住房的建设工作正在顺利进行中！,8,2,65,False
59,算盘大街整备计划,9,2,67,True
60,开始对新大街进行整备了！,10,2,68,False
61,即将对算盘大街进行铺装作业！,11,2,70,False
62,请为算盘大街装饰美丽的雕像。,12,2,73,False
63,白霜官舍整备计划,13,2,74,True
64,开始建设巨大的设施！,14,2,75,False
65,落羽商业区：整备完成,15,2,79,True
66,,0,1,0,True
67,,0,1,0,True
68,,0,1,0,True
69,,0,1,0,True
70,,0,1,0,True
71,西升歌文化区整备计划,1,2,80,True
72,清除西升歌文化区的瓦砾！,2,2,81,False
73,拜托各位进行清扫与铺装作业,3,2,83,False
74,开始建设西文化区的住房了！,4,2,86,False
75,要准备开始进行联合重建工程了！,5,2,89,False
76,西文化区的整备工作还差一点就完工了！,6,2,92,False
77,诗伯门整备计划,7,2,94,True
78,诗伯门正在修缮中！,8,2,95,False
79,东升歌文化区整备计划,9,2,97,False
80,最后的瓦砾清除作业！,10,2,98,False
81,本次将是最后一次清扫与铺装作业！,11,2,100,False
82,新住房的建设工作已经开始了,12,2,103,True
83,住房建设终于到了收尾阶段！,13,2,106,False
84,浸雪浴场整备计划,14,2,108,True
85,浸雪浴场目前正在建设中,15,2,109,False
86,请各位来协助建造特别的纪念碑！,16,2,111,False
87,天穹街重建工程全面竣工,17,2,112,True
88,,0,1,0,True
89,即将举办天穹同庆！,1,2,113,True
90,关于庆典,6,3,112,True
