#,Description,Unknown1,Unknown2,PreviewIcon,Transformation,Unknown5,Expansion
0,,0,0,0,0,0,0
1,温文尔雅，内心强大的女性角尊,0,0,73801,219,76,0
2,信念坚定，充满自信的鲁加族女性,1,0,73802,220,76,0
3,勇猛无匹，斗志昂扬的人族男性,2,0,73803,221,76,0
4,粉色头发，可爱高贵的拉拉菲尔族女性,3,0,73804,222,76,0
5,擅长魔导技术，被部下仰慕的加雷马男性,4,66054,73805,355,91,0
6,有强大野心，毫无破绽的加雷马男性,5,66737,73806,354,91,0
7,恋慕着拂晓资金管理人的拉拉菲尔族男性技术员,6,66737,73807,532,152,0
8,与搭档一起逃离了加雷马帝国的鲁加族男性技术员,7,66737,73808,533,152,0
9,拥有赤发红瞳的猫魅族男性,8,66737,73809,356,91,0
10,担任秘密组织盟主的人族女性,9,66046,73810,395,105,0
11,行省出身却爬到了阵营官之职的鲁加族男性,10,70058,73811,392,105,0
12,充满魅力的猫魅族女明星,11,66729,73812,391,105,0
13,勇敢无畏又英俊的男性人族绅士,12,66740,73813,393,105,0
14,绅士调查员的猫魅族女助手,13,66740,73814,394,105,0
15,被唤做艾欧泽亚最强雕金匠的人族男性,14,66740,73815,508,142,0
16,掌管秘密组织财务的拉拉菲尔族女性,15,66045,73816,507,142,0
17,达成重生之壮举的人族男性,99,70058,73817,484,132,0
18,黑发蓝瞳，眼中宿有强大意志的精灵族男性,0,67205,73818,217,76,1
19,有强烈正义感的威风凛凛的半精灵族女性,1,67205,73819,357,91,1
20,身披黄色带耳长袍的拉拉菲尔族女性,2,67699,73820,218,76,1
21,以傲人枪法而闻名的孤高精灵族男性,3,68089,73821,358,91,1
22,统领空贼，热爱自由的人族男性,4,67740,73822,359,91,1
23,总在为胡来的搭档收拾烂摊子的人族女性空贼,5,67910,73823,534,152,1
24,在空贼中负责技术工作的拉拉菲尔族女性,6,67910,73824,535,152,1
25,擅长社交，喜好传闻的高贵精灵族男性,7,67205,73825,482,132,1
26,与苍穹相衬的人族男性,99,67205,73826,483,132,1
27,果敢豁达，来自东方的人族男性,0,68089,73827,214,76,2
28,擅长忍技，克己尽忠的敖龙族女性,1,68089,73828,215,76,2
29,态度傲慢，武艺高超的敖龙族单身男性,2,68089,73829,213,76,2
30,好胜爽快，高傲强大的敖龙族女性,3,68089,73830,212,76,2
31,楚楚可怜，奉行神谕的敖龙族女性,4,68089,73831,211,76,2
32,身穿红衣，擅长体术的人族女性,5,68089,73832,216,76,2
33,统管红玉海海贼众的鲁加族男性,6,68089,73833,536,152,2
34,以海贼众副头领之职辅佐头领的人族男性,7,68089,73834,537,152,2
35,被圣兽所仰慕，曾为英雄的人族男性,8,68702,73835,361,91,2
36,担任全权大使的情绪化人族男性,9,68610,73836,360,91,2
37,狩猎暗之使徒的加雷马男性,10,68717,73837,478,132,2
38,博学多识，拥有贤人称号的敖龙族女性,11,68725,73838,479,132,2
39,精通体术，与红莲相衬的人族男性,98,68089,73839,480,132,2
40,腰配长刀，与红莲相衬的人族男性,99,68089,73840,481,132,2
41,自称魔女，冰雪聪明的猫魅族女性,0,69190,73841,362,91,3
42,观星占卜，斩创命运的寡言精灵族男性,1,69190,73842,364,91,3
43,使用枪刃，勇敢的人族男性,2,69190,73843,363,91,3
44,背负奇异命运，拥有碧蓝眼瞳的人族少女,3,69190,73844,365,91,3
45,作为代理首领统领海盗的人族男性,4,69552,73845,473,132,3
46,以驯兽师之能而闻名的人族男性,5,69487,73846,474,132,3
47,出身操纵魔兽的名门，我见我执的拉拉菲尔族女性,6,69620,73847,475,132,3
48,帝国军团长，执念深重的加雷马男性,7,69568,73848,476,132,3
49,与暗影相衬的人族男性,99,69190,73849,477,132,3
50,哲学家议会的议员，颇有威望的精灵族男性,0,70000,73850,464,132,4
51,管理福利团体的温柔体贴的精灵族女性,1,70000,73851,469,132,4
52,拼尽全力从瓦砾残骸中复兴祖国的加雷马男性,2,70000,73852,470,132,4
53,环游世界，收集目标生物的维埃拉族男性,3,70000,73853,471,132,4
54,喜好收集东方珍品的人族男性,4,70269,73854,509,142,4
55,身上寄宿了古代大魔法师灵魂的猫魅族女性,5,70199,73855,510,142,4
56,与消失在虚无界的姐姐再会的七大天龙在战斗时使用的化身,6,70286,73856,538,152,4
57,腼腆害羞但善于计算的某位勇敢无畏的绅士的复制体,7,70336,73857,539,152,4
58,与晓月相衬的人族男性,99,70000,73858,472,132,4
59,抵达黄金乡，成为了武王的硌狮族女性,0,70495,73859,570,164,5
60,支持自己的妹妹，成为了理王的猫魅族男性,1,70495,73860,571,164,5
61,与金曦相衬的人族男性,99,70495,73861,572,164,5
62,用画笔战斗，获悉了自己身世的拉拉菲尔族女性,2,70495,73862,573,164,5
63,将十二神的心愿铭记于心，继续旅行的人族男性,8,70328,73863,574,164,4
64,来自被黑暗笼罩的世界，手持巨镰的半妖异女性,9,70286,73864,575,164,4
65,生活在尊崇黑暗的森林中，敬爱着魔女的硌狮族男性,8,69190,73865,576,164,3
66,被取了与幕后英雄同样名字的混血加雷马族少年,12,68725,73866,577,164,2
67,被取了与英雄妹妹同样名字的混血加雷马族少女,13,68725,73867,578,164,2
68,剧团的主人，追寻传奇的加雷马族男性,14,68725,73868,579,164,2
