#,Name,Description,Icon,Territory
0,,,0,1
1,海雾村风格,"拉诺西亚样式小型住宅的装修风格
防潮措施非常完善",82107,282
2,海雾村风格,"拉诺西亚样式中型住宅的装修风格
防潮措施非常完善",82108,283
3,海雾村风格,"拉诺西亚样式大型住宅的装修风格
防潮措施非常完善",82109,284
4,薰衣草苗圃风格,"黑衣森林样式小型住宅的装修风格
充分使用了黑衣森林的森林资源",82104,342
5,薰衣草苗圃风格,"黑衣森林样式中型住宅的装修风格
充分使用了黑衣森林的森林资源",82105,343
6,薰衣草苗圃风格,"黑衣森林样式大型住宅的装修风格
充分使用了黑衣森林的森林资源",82106,344
7,高脚孤丘风格,"萨纳兰样式小型住宅的装修风格
降低了昼夜温差对室内的影响",82101,345
8,高脚孤丘风格,"萨纳兰样式中型住宅的装修风格
降低了昼夜温差对室内的影响",82102,346
9,高脚孤丘风格,"萨纳兰样式大型住宅的装修风格
降低了昼夜温差对室内的影响",82103,347
10,白银乡风格,"东方样式小型住宅的装修风格
使用了能适应四季变迁的工艺与建材",82113,649
11,白银乡风格,"东方样式中型住宅的装修风格
使用了能适应四季变迁的工艺与建材",82114,650
12,白银乡风格,"东方样式大型住宅的装修风格
使用了能适应四季变迁的工艺与建材",82115,651
13,穹顶皓天风格,"库尔札斯样式小型住宅的装修风格
配备了对抗严寒的各项住宅机能",82110,980
14,穹顶皓天风格,"库尔札斯样式中型住宅的装修风格
配备了对抗严寒的各项住宅机能",82111,981
15,穹顶皓天风格,"库尔札斯样式大型住宅的装修风格
配备了对抗严寒的各项住宅机能",82112,982
16,简装风格,"小型住宅用极简主义装修风格
使用特殊的建筑手法减少了支柱与房梁，让屋内看起来通透开阔",82116,1249
17,简装风格,"中型住宅用极简主义装修风格
使用特殊的建筑手法减少了支柱与房梁，让屋内看起来通透开阔",82117,1250
18,简装风格,"大型住宅用极简主义装修风格
使用特殊的建筑手法减少了支柱与房梁，让屋内看起来通透开阔",82118,1251
