#,Unknown0,Unknown1
0,,0
1,钓到水母或螃蟹,7
2,钓到★★★或以上的鱼,5
3,●★★★★を3匹釣る。,3
4,钓到咬钩强度低（！）的鱼,34
5,钓到咬钩强度高（！！）的鱼,18
6,钓到咬钩强度非常高（！！！）的鱼,6
7,钓到鲨鱼,5
8,钓到★★★或以上的鱼,5
9,●★★★★を3匹釣る。,3
10,钓到咬钩强度低（！）的鱼,34
11,钓到咬钩强度高（！！）的鱼,11
12,钓到咬钩强度非常高（！！！）的鱼,13
13,钓到螃蟹,13
14,钓到★★★或以上的鱼,5
15,●★★★★を3匹釣る。,3
16,钓到咬钩强度低（！）的鱼,31
17,钓到咬钩强度高（！！）的鱼,27
18,钓到咬钩强度非常高（！！！）的鱼,5
19,钓到鲀类,13
20,钓到★★★或以上的鱼,5
21,●★★★★を3匹釣る。,3
22,钓到咬钩强度低（！）的鱼,39
23,钓到咬钩强度高（！！）的鱼,18
24,钓到咬钩强度非常高（！！！）的鱼,8
25,钓到虾类或乌贼,19
26,钓到★★★或以上的鱼,5
27,钓到咬钩强度低（！）的鱼,41
28,钓到咬钩强度高（！！）的鱼,26
29,钓到咬钩强度非常高（！！！）的鱼,7
30,钓到虾类或贝类,17
31,钓到★★★或以上的鱼,5
32,钓到咬钩强度低（！）的鱼,49
33,钓到咬钩强度高（！！）的鱼,16
34,钓到咬钩强度非常高（！！！）的鱼,8
