#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelMain,ModelSub,DamagePhys,DamageMag,Delayms,BlockRate,Block,DefensePhys,DefenseMag,BaseParamValue[0],BaseParamValue[1],BaseParamValue[2],BaseParamValue[3],BaseParamValue[4],BaseParamValue[5],BaseParamValueSpecial[0],BaseParamValueSpecial[1],BaseParamValueSpecial[2],BaseParamValueSpecial[3],BaseParamValueSpecial[4],BaseParamValueSpecial[5],LevelEquip,RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,ClassJobUse,Unknown2,Unknown3,BaseParam[0],BaseParam[1],BaseParam[2],BaseParam[3],BaseParam[4],BaseParam[5],ItemSpecialBonus,ItemSpecialBonusParam,BaseParamSpecial[0],BaseParamSpecial[1],BaseParamSpecial[2],BaseParamSpecial[3],BaseParamSpecial[4],BaseParamSpecial[5],MaterializeType,MateriaSlotCount,SubStatCategory,IsAdvancedMeldingPermitted,IsPvP,IsGlamorous,AdditionalData,StackSize,PriceMid,PriceLow,ItemRepair,ItemGlamour,Icon,LevelItem,Unknown4,ItemAction,Cooldowns,Desynth,AetherialReduce,Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,DyeCount,CastTimeSeconds,ClassJobRepair,IsUnique,IsUntradable,IsIndisposable,Lot,CanBeHq,IsCrestWorthy,IsCollectable,AlwaysCollectable
0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,False,False,False,False,False,False,False,False
1,金币,,艾欧泽亚流通最为广泛的圆形国际都市通用货币。,金币,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,999999999,0,0,0,0,65002,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
2,火之碎晶,,火媒介的小结晶。,火之碎晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20001,1,10010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
3,冰之碎晶,,冰媒介的小结晶。,冰之碎晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20003,1,10020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
4,风之碎晶,,风媒介的小结晶。,风之碎晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20004,1,10030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
5,土之碎晶,,土媒介的小结晶。,土之碎晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20006,1,10040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
6,雷之碎晶,,雷媒介的小结晶。,雷之碎晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20005,1,10050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
7,水之碎晶,,水媒介的小结晶。,水之碎晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20002,1,10060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
8,火之水晶,,火媒介的结晶。,火之水晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20007,25,20010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
9,冰之水晶,,冰媒介的结晶。,冰之水晶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20009,25,20020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
