#,Name,Icon,JournalCategory,Unknown0
0,,0,0,False
1,重生之境,61412,1,True
2,第七星历,61412,2,True
3,苍穹之禁城,61412,3,True
4,龙诗战争终章,61412,4,True
5,龙诗战争尾声,61412,5,True
6,红莲之狂潮,61412,6,True
7,解放战争战后,61412,7,True
8,暗影之逆焰,61412,8,True
9,拂晓回归,61412,9,True
10,末日序曲,61412,10,True
11,晓月之终途,61412,11,True
12,崭新的冒险,61412,12,True
13,金曦之遗辉,61412,13,True
14,金曦之遗辉终章,61412,14,True
15,凌冬会的密谋,61412,15,True
16,蛮神威胁,61411,16,True
17,巴哈姆特,61411,17,True
18,水晶塔,61411,18,True
19,亚历山大,61411,19,True
20,上古众神,61411,20,True
21,玛哈之影,61411,21,True
22,欧米茄时空狭缝,61411,22,True
23,欧米茄时空狭缝外传,61411,22,True
24,重返伊瓦利斯,61411,23,True
25,四圣兽奇谭,61411,24,True
26,伊甸,61411,25,True
27,寄叶异闻：暗黑天启,61411,26,True
28,神兵系列,61411,27,True
29,万魔殿,61411,28,True
30,万魔殿外传,61411,28,True
31,艾欧泽亚神话,61411,29,True
32,阿卡狄亚登天斗技场,61411,30,True
33,瓦纳·迪尔的回响,61411,31,True
34,剧情任务,61411,32,True
35,日常任务,61411,32,True
36,剧情任务,61411,33,True
37,日常任务,61411,33,True
38,剧情任务,61411,34,True
39,日常任务,61411,34,True
40,剧情任务,61411,36,True
41,日常任务,61411,36,True
42,剧情任务,61411,37,True
43,日常任务,61411,37,True
44,剧情任务,61411,38,True
45,日常任务,61411,38,True
46,剧情任务,61411,39,True
47,日常任务,61411,39,True
48,剧情任务,61411,40,True
49,日常任务,61411,40,True
50,剧情任务,61411,41,True
51,日常任务,61411,41,True
52,剧情任务,61411,42,True
53,日常任务,61411,42,True
54,剧情任务,61411,43,True
55,日常任务,61411,43,True
56,剧情任务,61411,44,True
57,日常任务,61411,44,True
58,剧情任务,61411,45,True
59,日常任务,61411,45,True
60,剧情任务,61411,46,True
61,日常任务,61411,46,True
62,剧情任务,61411,47,True
63,日常任务,61411,47,True
64,剧情任务,61411,48,True
