#,Text,String,Genre,LegacyQuestID,SortKey
0,,,0,0,0
1,无形之声,,342,0,1
2,碧海之宝,,342,1,2
3,利姆莱茵的传说,,342,2,3
4,后会无期,,342,3,4
5,倾注之光,,342,4,5
6,熟睡鬼,,342,5,6
7,成千上万的精灵,,342,6,7
8,不速之客,,342,7,8
9,火焰之日,,342,8,9
10,太阳之都,,342,9,10
11,小小的牺牲,,342,10,11
12,灾难降临,,342,11,12
13,开端,,342,12,13
14,拼死的救出作战,,342,13,14
15,利害的调停者,,342,14,15
16,异质者,,342,15,16
17,炎狱之神,,342,16,17
18,阿拉米格解放军,,342,17,18
19,重叠的未来,,342,18,19
20,债鬼致富记,,344,59,20
21,守护者启程,,344,60,21
22,硬币的正反面,,344,61,22
23,陪练对手,,344,79,23
24,自由的权利,,344,80,24
25,兴奋的代价,,344,81,25
26,断罪党的洗礼,,344,99,26
27,我们是海盗,,344,100,27
28,微笑注视吧,,344,101,28
29,巴德龙的推荐,,344,139,29
30,缪恩的推荐,,344,140,30
31,莫莫蒂的推荐,,344,141,31
32,想更换搭档,,344,143,32
33,神勇队,,344,159,33
34,昏暗之森,,344,160,34
35,从过去伸出的手,,344,161,35
36,鬼哭队,,344,179,36
37,石头与黄金,,344,180,37
38,棘手的任务,,344,181,38
39,复仇委托,,344,239,39
40,马虎的传教士,,344,240,40
41,纳尔札尔教团特约,,344,241,41
42,树精任务,,344,259,42
43,龙骑士的梦,,344,260,43
44,呼唤,,344,261,44
45,小小的老师,,344,299,45
46,小鬼,,344,300,46
47,元灵的礼物,,344,301,47
48,左耳男子,,344,319,48
49,塞壬的歌声,,344,320,49
50,迷惑之岛,,344,321,50
51,你的容颜,,344,359,51
52,芙·拉敏之花,,344,360,52
53,心脏之刃,,344,361,53
54,无言之人,,344,379,54
55,第二工作室,,344,380,55
56,师徒评价制度,,344,381,56
57,红之章,,344,399,57
58,灰之章,,344,400,58
59,白之章,,344,401,59
60,沉睡的深渊,,344,419,60
61,化身为龙的少年,,344,420,61
62,梦境或现实,,344,421,62
63,颤抖的对决,,344,439,63
64,消失的美食家,,344,440,64
65,热气毒杀事件,,344,441,65
66,时间碎片,,344,459,66
67,秘藏大作战,,344,460,67
68,逃跑的女孩,,344,461,68
69,格里达尼亚的植物根,,344,479,69
70,憧憬的大都市,,344,480,70
71,莫古力的花圃,,344,481,71
72,收拾鱼人族,,344,499,72
73,鱼塘精灵,,344,500,73
74,幸福时光,,344,501,74
