#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
0,None,,65535,65535,0,0,0,0
1,说话,斯考尔：无所谓了……,65535,65535,10,1,1,1
2,喊话,巴兹：有人一起冒险吗？,65535,65535,11,1,3,1
3,悄悄话,">> 克劳德： 你这衣服不错。
蒂法 >> 克劳德，眼睛看哪呢？",65535,65535,12,1,4,1
4,小队,(塞西尔) 你们都在哪里？,65535,65535,14,1,5,1
5,情感动作,莉诺雅在展示自己的存在。,65535,65535,29,1,30,1
6,自定义情感动作,塞丽丝拍了拍自己的脸。,65535,65535,28,1,31,1
7,部队,[部队]<克劳德> 我想邀请我的朋友扎克斯加入这里。,65535,65535,24,1,7,1
8,通讯贝1,[1]<莎拉> 可以的话……请一直留在……,65535,65535,16,1,20,1
9,通讯贝2,[2]<敏武> 我能够看到你们的命运。,65535,65535,17,1,21,1
10,通讯贝3,[3]<艾丽娅> 拜托你们了……驱除黑暗……为这个世界……带回和平……,65535,65535,18,1,22,1
11,通讯贝4,[4]<泰拉> 我回忆起来了……被我忘记的咒文！,65535,65535,19,1,23,1
12,通讯贝5,[5]<加拉夫> 太了不起了！瞧瞧咱这惊人的记忆力！,65535,65535,20,1,24,1
13,通讯贝6,[6]<洛克> 你这混蛋，一而再、再而三地来捣乱！,65535,65535,21,1,25,1
14,通讯贝7,[7]<阿尔芭> 我美丽的肌肤都被沙漠风化了……,65535,65535,22,1,26,1
15,通讯贝8,[8]<西奥多> 我要凭借自己的力量前进！,65535,65535,23,1,27,1
16,呼喊,克劳德：爱丽丝！！,65535,65535,30,1,2,1
17,团队,((斯诺)) 英雄出马！,65535,65535,15,1,6,1
18,新人频道,[新人]爱丽丝：遇到什么麻烦了吗？,65535,65535,27,1,28,1
19,战队,[战队]<吉坦> 你好！,65535,65535,36,1,8,1
20,跨服通讯贝1,[跨服贝1]<尤菲> 你好！,65535,65535,37,1,10,1
21,系统信息,向克劳德发送了入队邀请。,65535,65535,57,2,1,1
22,,,0,0,0,0,0,0
23,采集系统信息,这片地域好像没有矿脉及石场。,65535,65535,59,2,4,1
24,错误信息,向克劳德发送悄悄话失败。,65535,65535,60,2,5,1
25,默语,默语,65535,65535,56,2,6,1
26,非玩家角色对话,巴德龙：有什么我可以帮你的？,65535,65535,61,2,16,4
27,掉落品信息,斯考尔得到了玉者之剑。,65535,65535,62,2,20,1
28,自己的成长信息,等级提升了！  斯考尔升到了51级。,258,65535,64,2,25,1
29,他人的成长信息,等级提升了！  莉诺雅升到了52级。,2289,65535,64,2,27,1
30,自己的战利品信息,斯考尔在需求条件下对“玉者之剑”掷出了1点。,2,65535,65,2,30,1
