#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
0,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
1,开拓目标：建造小岛木屋,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
2,开拓目标：建造小岛木屋,**再次听取猫耳小员的说明**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
3,开拓目标：建造小岛木屋,"**在收获模式下收集开拓素材
向猫耳小员报告**",再次听取猫耳小员的说明,0,0,0,2,3,0,255,255,2,2,3,0,0,3,4,1,0,0,1,0
4,开拓目标：建造小岛木屋,"**在开拓制作面板中制作开拓用石斧
向猫耳小员报告**",在收获模式下收集开拓素材 向猫耳小员报告,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
5,开拓目标：建造小岛木屋,**收集开拓素材建造小岛木屋**,在开拓制作面板中制作开拓用石斧 向猫耳小员报告,0,0,0,10,0,11,3,8,10,10,5,5,5,11,1,12,4,9,0,0
6,开拓目标：建造小岛木屋,**向猫耳小员报告**,收集开拓素材建造小岛木屋,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
7,开拓目标：在耕地种植作物,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
8,开拓目标：在耕地种植作物,**委托耕种小员整地**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
9,开拓目标：在耕地种植作物,**听取耕种小员的说明**,委托耕种小员整地,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
10,开拓目标：在耕地种植作物,**使用播种模式在耕地种下选好的种子**,听取耕种小员的说明,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
11,开拓目标：在耕地种植作物,**使用浇水模式为种下的种子浇水**,使用播种模式在耕地种下选好的种子,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
12,开拓目标：在耕地种植作物,**向耕种小员报告**,使用浇水模式为种下的种子浇水,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
13,开拓目标：在牧场喂食动物,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
14,开拓目标：在牧场喂食动物,**委托放牧小员整地**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
15,开拓目标：在牧场喂食动物,**听取放牧小员的说明**,委托放牧小员整地,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
16,开拓目标：在牧场喂食动物,**使用捕兽模式捕捉动物**,听取放牧小员的说明,600,300,-252,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
17,开拓目标：在牧场喂食动物,**听取放牧小员的说明**,使用捕兽模式捕捉动物,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
18,开拓目标：在牧场喂食动物,**使用喂食模式为动物喂食**,听取放牧小员的说明,40,-292,148,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
19,开拓目标：在牧场喂食动物,**向放牧小员报告**,使用喂食模式为动物喂食,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
20,开拓目标：建设开拓工房做好贸易的准备,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
21,开拓目标：建设开拓工房做好贸易的准备,**委托开拓小员1号整地**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
22,开拓目标：建设开拓工房做好贸易的准备,**听取开拓小员1号的说明**,委托开拓小员1号整地,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
23,开拓目标：建设开拓工房做好贸易的准备,"**收集开拓素材
在开拓制作面板中制作开拓无人岛用石锤**",听取开拓小员1号的说明,0,0,0,3,9,11,255,255,3,2,4,0,0,4,10,12,0,0,0,0
24,开拓目标：建设开拓工房做好贸易的准备,**收集开拓素材建造开拓工房**,收集开拓素材 在开拓制作面板中制作开拓无人岛用石锤,0,0,0,9,0,14,11,8,10,10,10,5,5,10,1,15,12,9,0,0
25,开拓目标：建设开拓工房做好贸易的准备,**向开拓小员1号报告**,收集开拓素材建造开拓工房,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
26,开拓目标：自由开拓无人岛,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
27,开拓目标：自由开拓无人岛,**按照自己的想法开拓小岛**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
28,开拓目标：寻找更高的目标,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
29,开拓目标：寻找更高的目标,**按照自己的想法磨炼开拓的本领**,听取猫耳小员的说明,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
30,开拓目标：调查小岛的传闻,**听取猫耳小员的说明**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
