#,Description,Content,Level,Category
0,想要开放该任务，需要完成主线中最近更新的2个任务。,5,0,0
1,,8,0,0
2,,1,0,0
3,,1252,0,1
4,想要开放该任务，需要完成格里达尼亚的深层迷宫相关支线任务，并推进水晶都的特定支线任务。,1281,11875001,2
5,想要开放该任务，需要开放前一个任务，并完成与其相关的特定任务。,1311,11875001,2
6,想要开放该任务，需要推进旧萨雷安的特殊迷宫探索相关支线任务。,1315,0,3
7,想要开放该任务，需要完成前一个任务，并和特定的非玩家角色对话。,1316,0,3
8,想要开放该任务，需要完成前一个任务，并和特定的非玩家角色对话。,1317,0,3
9,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并开放相关的大型任务。,1320,0,4
10,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并开放相关的大型任务。,1322,0,4
11,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并开放相关的大型任务。,1324,0,4
12,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并开放相关的大型任务。,1326,0,4
13,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并和特定的非玩家角色对话开放高难度的大型任务。,1321,0,4
14,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并和特定的非玩家角色对话开放高难度的大型任务。,1323,0,4
15,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并和特定的非玩家角色对话开放高难度的大型任务。,1325,0,4
16,想要开放该任务，需要推进“金曦之遗辉”的编年史任务，并和特定的非玩家角色对话开放高难度的大型任务。,1327,0,4
17,想要开放该任务，需要推进“金曦之遗辉”的主线任务，完成相关的讨伐歼灭战后，和异国的诗人对话开放高难度任务。,1308,0,5
18,,1187,0,6
19,,1188,0,6
20,,1189,0,6
21,,1190,0,6
22,,1191,0,6
23,,1192,0,6
