#,Name,NameShort,NameFemale,Description,NameEnglish,Action[0],Action[1],Action[2],Action[3],Action[4],LevelMax,JobIndex,LevelUnlock[0],LevelUnlock[1],LevelUnlock[2],LevelUnlock[3],LevelUnlock[4]
0,辅助自由人,辅助自由人,,"源自某位冒险者的起点与终点的记忆。
能够习得利于探索的辅助技能。",Phantom Freelancer,41650,41651,46606,0,0,0,16,5,10,15,0,0
1,辅助骑士,辅助骑士,,"源自某位骑士的忠心与名誉的记忆。
能够习得减轻伙伴受伤程度的辅助技能。",Phantom Knight,41588,41589,41590,41591,0,6,1,1,2,3,6,0
2,辅助狂战士,辅助狂战士,,"源自某位狂战士的蛮勇与狂热的记忆。
能够习得高风险高收益的辅助技能。",Phantom Berserker,41592,41594,0,0,0,3,5,1,2,0,0,0
3,辅助武僧,辅助武僧,,"源自某位武僧的修行与冥想的记忆。
能够习得精于攻击的辅助技能。",Phantom Monk,41595,41596,41597,41598,0,6,2,1,2,3,5,0
4,辅助猎人,辅助猎人,,"源自某位猎人的自豪与慈爱的记忆。
能够习得借助动物力量的辅助技能。",Phantom Ranger,41599,41600,41601,41602,0,6,6,1,2,4,6,0
5,辅助武士,辅助武士,,"源自某位武士的道义与修炼的记忆。
能够习得一击必杀的辅助技能。",Phantom Samurai,41603,41604,41605,41606,0,5,4,1,2,3,4,0
6,辅助吟游诗人,辅助吟游诗人,,"源自某位吟游诗人的诗想与狂诵的记忆。
能够习得多彩的歌吟辅助技能。",Phantom Bard,41608,41609,41607,41610,0,4,11,1,2,3,4,0
7,辅助风水师,辅助风水师,,"源自某位风水师的自然与理气的记忆。
能够习得效果随天气改变的辅助技能。",Phantom Geomancer,41611,41612,41619,41620,0,5,10,1,2,3,4,0
8,辅助时魔法师,辅助时魔法师,,"源自某位时魔法师的法则与定理的记忆。
能够习得操控时间的时魔法辅助技能。",Phantom Time Mage,41621,41623,41624,41622,41625,5,8,1,2,3,4,5
9,辅助炮击士,辅助炮击士,,"源自某位炮击士的弹道学与战术的记忆。
能够习得效果多样的炮击辅助技能。",Phantom Cannoneer,41626,41627,41628,41629,41630,6,14,1,2,3,4,6
10,辅助药剂师,辅助药剂师,,"源自某位药剂师的调和与药效的记忆。
能够习得使用高效药品的辅助技能。",Phantom Chemist,41631,41633,41634,41635,0,4,9,1,2,3,4,0
11,辅助预言师,辅助预言师,,"源自某位预言师的灵感与启示的记忆。
能够习得延迟生效的辅助技能。",Phantom Oracle,41636,41641,41642,41643,41644,5,13,1,2,3,4,5
12,辅助盗贼,辅助盗贼,,"源自某位盗贼的侠义与特技的记忆。
能够习得包含特殊的探索技术在内的辅助技能。",Phantom Thief,41646,41645,41647,41648,41649,6,3,1,2,3,4,5
13,辅助魔法剑士,辅助魔法剑士,,"源自某位魔法剑士的钻研与技术的记忆。
能够习得赋予武器魔法的辅助技能。",Phantom Mystic Knight,46591,46590,46592,46593,0,4,7,1,2,3,4,0
14,辅助剑斗士,辅助剑斗士,,"源自某位剑斗士的战斗与不屈的记忆。
能够习得攻防兼备的辅助技能。",Phantom Gladiator,46594,46595,46596,46597,0,4,15,1,2,3,4,0
15,辅助舞者,辅助舞者,,"源自某位舞者的荣耀与高昂的记忆。
能够习得效果多样的跳舞辅助技能。",Phantom Dancer,46598,46603,46604,46605,0,4,12,1,2,3,4,0
