#,Name,Description,Icon,MKDSupportJob,LevelUnlock
0,,,-1,0,0
1,防护效果提高,**防护**的效果量提高到90%,82201,1,4
2,祈祷效果提高,**祈祷**的恢复力提高到5000,82202,1,5
3,狂怒效果提高,"为自身附加**肉斩骨断**状态
**肉斩骨断**持续时间内受到的伤害越高，一击的威力越高
**持续时间：**15秒",82203,2,3
4,踢击效果提高,**踢击**的效果量提高到7%,82204,3,4
5,踢击效果提高II,**踢击**的效果量提高到9%,82205,3,6
6,狙击效果提高,**狙击**的效果量提高到30%，并且攻击必定命中,82206,4,3
7,狙击效果提高II,**狙击**的效果量提高到50%，并且攻击必定命中,82207,4,5
8,居合斩效果提高,居合斩的威力提高到500，即死的几率提高到10%,82208,5,5
9,歌吟效果提高,歌吟的效果量会随吟游诗人的辅助职业等级提升而提升,82209,6,2
10,开锁,可以开启迷宫中上锁的门,82212,12,6
11,炮击效果提高,发动炮击时，有5%的几率即死目标,82211,9,5
12,铃铛效果提高,"**战斗之铃**的效果量提高至5%
**休憩之铃**的恢复力提高至3000",82210,7,5
13,,,-1,0,0
14,,,-1,0,0
15,,,-1,0,0
