#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
0,,,0,0,0,0,0,0,0,0
1,绒绒火炎,"对莫古力前方的1名敌人造成UNKNOWN点伤害
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",20,0,15,30,3,1,1,1
2,绒绒星体风暴,"对莫古力前方第UNKNOWN格，以及此格周围的敌人造成UNKNOWN点伤害
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",10,8,25,40,4,3,3,2
3,绒绒陨石,"对所有敌人造成UNKNOWN点伤害
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",15,0,50,80,10,0,0,3
4,绒绒治疗,"恢复莫古力UNKNOWN点体力
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",50,0,0,10,1,0,0,4
5,绒绒康复,"解除莫古力身上除死亡宣告外所有的弱化效果
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",0,0,0,20,3,0,0,5
6,绒绒屏障,"为莫古力附加能够抵御伤害的防护罩
持续回合：UNKNOWN
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",0,0,0,30,3,0,0,6
7,绒绒浮空,"让莫古力浮空，免受地面效果的影响
持续回合：UNKNOWN
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",0,0,0,20,3,0,0,7
8,绒绒重生,"莫古力陷入无法战斗状态时自动复活1次
持续回合：永久
消耗魔力：UNKNOWN　复唱回合：UNKNOWN",0,0,0,50,99,0,0,8
9,,,100,0,0,0,0,0,0,0
10,,,100,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,100,0,0,0,0,0,7,0
14,,,10,2,0,0,0,0,1,0
15,,,100,0,0,0,0,0,1,0
16,,,0,0,0,0,0,0,0,0
17,,,0,0,0,0,0,0,0,0
18,,,9999,0,0,0,0,0,0,0
