#,Unknown0,Unknown1,Unknown2
0,,0,False
1,第1关：新手教学,349,False
2,第2关：到处都是巧儿鸟,349,False
3,第3关：万事开头难,349,False
4,第4关：小小巨兽,350,True
5,第5关：蛮族叛乱,349,False
6,第6关：恐怖的墓园,351,True
7,第7关：劲敌共斗,349,False
8,第8关：光暗之界乃拂晓,349,False
9,第9关：铜山爆破,352,True
10,第10关：蔓德拉之子,349,False
11,第11关：女王陛下万岁！,349,False
12,第12关：打砖块,353,True
13,第13关：首席机械师,349,False
14,第14关：硬如坚果,349,False
15,第15关：小小斗神讨伐战,354,True
16,第16关：陆行鸟大进军,349,False
17,第17关：披雪小冰壁,349,False
18,第18关：小怪物狩猎,349,False
19,第19关：小桥上的决斗,355,True
20,第20关：愿水晶给予你指引,349,False
21,第21关：贤人的试炼,349,False
22,第22关：暗淡的世界,349,False
23,第23关：巴哈姆特小迷宫邂逅之章,356,True
24,第24关：巴哈姆特小迷宫真源之章,357,True
25,,349,False
26,,349,False
27,,349,False
28,,349,False
29,,349,False
30,,349,False
31,,349,False
32,,349,False
33,,349,False
