#,Name,Reward,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3]
10001,剑术师01,75,1,0,0,0,3,0,0,0
10002,剑术师02,180,206,0,0,0,3,0,0,0
10003,剑术师03,360,208,0,0,0,3,0,0,0
10004,剑术师04,410,209,0,0,0,3,0,0,0
10005,剑术师05,530,211,0,0,0,3,0,0,0
10006,剑术师06,980,213,0,0,0,3,0,0,0
10007,剑术师07,1100,210,0,0,0,3,0,0,0
10008,剑术师08,1300,217,0,0,0,3,0,0,0
10009,剑术师09,1600,220,0,0,0,3,0,0,0
10010,剑术师10,1700,223,224,0,0,3,3,0,0
10011,剑术师11,2300,228,229,0,0,3,3,0,0
10012,剑术师12,3200,227,0,0,0,3,0,0,0
10013,剑术师13,4000,230,0,0,0,3,0,0,0
10014,剑术师14,4500,232,0,0,0,3,0,0,0
10015,剑术师15,5000,234,0,0,0,3,0,0,0
10016,剑术师16,5300,235,0,0,0,3,0,0,0
10017,剑术师17,5500,237,0,0,0,3,0,0,0
10018,剑术师18,5700,240,0,0,0,3,0,0,0
10019,剑术师19,5900,238,0,0,0,3,0,0,0
10020,剑术师20,6100,242,244,0,0,3,3,0,0
10021,剑术师21,6300,32,137,0,0,4,3,0,0
10022,剑术师22,6500,245,0,0,0,4,0,0,0
10023,剑术师23,6700,138,0,0,0,4,0,0,0
10024,剑术师24,6900,34,0,0,0,4,0,0,0
10025,剑术师25,7100,150,0,0,0,4,0,0,0
10026,剑术师26,7600,252,0,0,0,4,0,0,0
10027,剑术师27,8600,255,0,0,0,4,0,0,0
10028,剑术师28,9400,158,0,0,0,4,0,0,0
10029,剑术师29,9700,161,0,0,0,4,0,0,0
10030,剑术师30,10000,37,38,0,0,4,3,0,0
10031,剑术师31,11000,165,42,0,0,4,3,0,0
10032,剑术师32,12000,39,166,0,0,4,3,0,0
10033,剑术师33,12500,265,0,0,0,4,0,0,0
10034,剑术师34,13000,171,0,0,0,4,0,0,0
10035,剑术师35,13500,64,0,0,0,4,0,0,0
10036,剑术师36,14000,271,0,0,0,4,0,0,0
10037,剑术师37,14500,294,0,0,0,4,0,0,0
10038,剑术师38,15000,176,0,0,0,4,0,0,0
10039,剑术师39,16000,301,0,0,0,4,0,0,0
10040,剑术师40,16500,306,66,0,0,4,3,0,0
10041,剑术师41,17000,67,72,0,0,5,2,0,0
10042,剑术师42,17500,179,184,0,0,5,2,0,0
10043,剑术师43,18000,73,187,0,0,5,2,0,0
10044,剑术师44,18500,319,0,0,0,5,0,0,0
10045,剑术师45,19000,311,0,0,0,5,0,0,0
10046,剑术师46,19500,313,0,0,0,3,0,0,0
10047,剑术师47,20000,280,0,0,0,5,0,0,0
10048,剑术师48,20500,200,0,0,0,5,0,0,0
10049,剑术师49,21000,290,0,0,0,5,0,0,0
10050,剑术师50,21500,332,90,0,0,5,5,0,0
20001,格斗家01,75,207,0,0,0,4,0,0,0
20002,格斗家02,180,206,0,0,0,4,0,0,0
