#,Unknown0,Unknown1
0,,
1,,
2,,
3,,
4,任务缓和,"当前版本针对零式大型任务做出以下调整。
　·各层攻略后不再记录攻略进度。
　·各层不再需要按顺序攻略。
　·宝箱必定会出现。
　·从宝箱中获取道具不会有每周获取限制。
"
5,匹配条件,"**匹配条件**
匹配条件中的“任务已完成”只有在曾经完成过对应任务时才能选择。

**目的**
目的“完成任务”只有在尚未获得周奖励时才能选择。

**指定练习阶段**
只有目的选择了“练习”时才可选择。
指定练习阶段并不表示可以直接跳过其他阶段。

在申请状态下到达每周重置时间时，申请会被取消。"
6,记录进度,"每个玩家自身都会单独保存最新零式大型任务的挑战进度，
当再次进行任务时，会在前一次中断的位置继续进行挑战。
 
挑战的进度会在**每周周二的17点（地球时间）**重置。"
7,进度与报酬,"在最新的零式大型任务中，
进度超前的玩家在已经完成过的阶段不会获得报酬。

随着队伍中进度超前队员的人数，
宝箱的出现数量以及报酬数量会发生变化。 
　·进度超前队员为0人时宝箱出现数：1个
　·进度超前队员有1-4人时宝箱出现数：1个（报酬数量减少）
　·进度超前队员有5人或以上时宝箱出现数：0个
 
以单人或者不满8人的队伍参加最新的零式大型任务时，
根据匹配到的成员的进度不同，
宝箱的出现数量及报酬数量也可能会发生变化。 "
8,职业构成,"通过匹配参加最新的零式大型任务时组成的队伍没有重复职业。
　·进攻职业会按照“近战”“远程物理”“远程魔法”“无指定”的分配组成。

不过，根据“目的”的设置，在“无指定”一项中也可以有重复职业。
　·目的选择“完成任务”时：职业不可重复
　·目的选择“练习”时：职业可重复

通过匹配参加最新的零式大型任务时，
队伍中的**“纯粹治疗职业”不能多于1名，“护罩治疗职业”也不能多于1名，**
否则无法申请匹配。
　·纯粹治疗职业：白魔法师、占星术士
　※最擅长为自身及队员治疗的特职
　·护罩治疗职业：学者、贤者
　※最擅长为自身及队员附加能够抵御一定伤害的防护罩的特职"
9,组队参加时的进度,"挑战最新的零式大型任务时，
全队都会按照队长的进度进行挑战。

即使进度有所不同的队员也可以一同挑战任务。
　·比队长进度落后的队员，进度会被更新到与队长相同。
　·比队长进度靠前的队员，进度不会被更新。"
10,任务搜索器,"**任务搜索器**是供**不同玩家**组成小队
一起挑战迷宫等任务的**便利功能**。
访问进入点，选择**与其他玩家一同进入**后，
将会打开**任务搜索器窗口**。"
11,申请参加任务,"**勾选想要挑战的迷宫名称**，然后**按下参加按钮**，
系统就会自动地将参加相同任务的玩家组成小队。
这个过程被称为**匹配**。

**※最多只能同时申请参加5个任务。

※带有锁头图案的任务表示当前状态没有完全符合参加条件，无法申请参加。**"
12,申请的预约状况,"开始申请之后，目的列表中会出现搜索器的图标，可以随时查看**预约状况**。

预约状况窗口中会显示当前的队伍情况和服务器预约情况。"
13,出发确认窗口,"**匹配完成**时会有**声音提示，并弹出窗口**。
**按下出发按钮**就可以进行挑战了！

**若没有在限制时间内出发，将会取消参加，需要重新进行选择。**"
14,可以挑战的迷宫,"随着你的冒险不断推进，可以挑战的迷宫数量也会不断增加。
**当前不可使用剧情辅助器的迷宫及任务**请多**利用任务搜索器**参与挑战！

此外成功挑战过的迷宫也可以重复进行挑战。
可以从**快捷指令**的**任务情报**菜单选择**任务搜索器**
或**剧情辅助器**再次进行挑战。"
15,探索特殊迷宫的方法,"和专用的非玩家角色对话，或者选择快捷指令“任务情报”内的
“**特殊迷宫探索器**”打开专用的窗口，
进入特殊迷宫探索任务。

进入任务时所需的情报都会显示在专用窗口内，
同时也可以进行各种设定。"
16,多变迷宫,"特殊迷宫探索之一的**多变迷宫**
可以以1～4人的任意人数进行探索，
难度将会根据探索人数进行**自动调整**。
单人进行探索时，难度可能会相对难一些。

想要自己进行探索，或是仅与小队同伴进行探索时，
需要关闭**队伍不满4人时进行匹配**的选项。
（初期状态为关闭）

想要自动匹配为4人小队再进行探索时，
需要打开**队伍不满4人时进行匹配**的选项。"
17,多变技能,"在多变迷宫内可以使用“**多变技能**”，
以方便冒险者通过任意职业构成探索迷宫。

无论是防护职业还是进攻职业，
都可以使用**特殊的治疗和复活来担任治疗职业的职责，
当然，其他的职业同样也准备了不同的**特殊技能。

探索时可以使用2种不同的多变技能。
在专用的窗口选择**设置多变技能**，
就可以随时从显示的多变技能一览中挑选、设置多变技能了。"
18,找出迷宫内的故事,"多变迷宫需要和相关人物一起探索
迷宫内的**分歧路线**，
找出藏在迷宫内的**故事**。

找到的故事会一个一个
记载到多变迷宫专用的笔记或记录册上。

点击窗口内的人物，可以打开专用的人物窗口，
在人物窗口内可以阅读已发现的故事。"
19,挑战异闻迷宫,"开放了特殊迷宫探索器“异式迷宫”分类下的——**异闻迷宫**。

通过点击窗口上方的**异式迷宫**，
可以将窗口内的信息改为异闻迷宫的信息。

异闻迷宫中没有同行的非玩家角色和分歧路线，
也没有发现故事等要素。
异闻迷宫窗口内会显示**异闻迷宫列表**，
以及在挑战迷宫时可以获得的**专用货币**。"
20,异闻迷宫的限制,"异闻迷宫与多变迷宫不同，
任务中无法进行**特职转换**。
同时，复活等普通技能无法解除无法战斗状态，
只有专用的多变复活技能可以解除无法战斗状态。"
21,关于队员介绍,"用于显示各队员肖像的专用窗口。在迷宫、讨伐歼灭战等任务开始时会自动显示。任务开始时显示的专用窗口无法变更大小与显示位置。

任务开始时显示的专用窗口可以通过角色设置或从详细设定变更为非显示。"
22,打开队员介绍窗口的方法,"任务中玩家可以从快捷指令的任务情报，选择任务搜索器打开任务菜单。通过任务内功能标签页的“显示队员介绍”按钮打开队员介绍窗口。

此外任务开始时显示的队员介绍，也会以通知的形式显示，玩家也可以通过该通知打开队员介绍窗口。"
