#,Text,Unknown6,BalloonTime,Unknown0,Unknown7,Unknown8,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
0,0,0,1,0,0,0,1,0,1,25,False,False,False,False,False
1,0,0,1,0,0,0,3,0,1,25,False,False,False,False,False
2,快！谁来帮个忙！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
3,小心！魔物过来了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
4,小魔精要出来了！不要放跑它们！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
5,该死！数量太多了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
6,魔物已经冲到那里了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
7,妖精族要过来了！注意警戒！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
8,魔物的数量增加了！大家小心！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
9,这里的治安就交给我们维护！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
10,不要让盗贼们给看扁了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
11,奥猴冲向豆子去了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
12,鸟人族攻过来了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
13,那是……席兹？！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
14,竟然又来了？！我们必须保护好树苗！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
15,魔物们现在很乱！要小心！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
16,该死……得换个战术了！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
17,破碎金龟！把他们都干掉！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
18,有人能来协助我们一下吗？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
19,谁能来帮帮我！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
20,什么？巨像兵竟然这么……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
21,可恶的小魔精！竟然还来！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
22,我们养的花又被吃了……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
23,鸟人族过来了！准备迎击！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
24,谁！谁能来帮帮我！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
25,好！出击！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
26,唔哦！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
27,哈啊！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
28,嘿！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
29,嗨！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
30,还没完呢！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
31,混蛋！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
32,喝呀！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
33,才这点程度！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
34,呀哈！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
35,噢噢噢噢！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
36,滚开！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
37,宰了你！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
38,那就陪你玩玩。,0,5,0,0,0,2,0,1,25,False,False,False,False,False
39,你想当我的对手？,0,5,0,0,0,2,0,1,25,False,False,False,False,False
40,跪下！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
41,再叫点好听的！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
42,不用客气。,0,3,0,0,0,2,0,1,25,False,False,False,False,False
43,别太狂了！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
44,不来点刺激的吗！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
45,跳吧！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
46,你想要这个？,0,3,0,0,0,2,0,1,25,False,False,False,False,False
47,哎哎！,0,3,0,0,0,2,0,1,25,False,False,False,False,False
48,想来报仇吗？,0,5,0,0,0,2,0,1,25,False,False,False,False,False
