#,Name,Icon,Unknown0,Priority,Unknown1,List,Unknown2
0,,0,0,0,False,False,False
1,游戏测试,61532,0,0,True,False,False
2,游戏管理员,61524,0,0,True,False,False
3,游戏管理员,61532,0,0,False,False,False
4,活动参与者,61533,3940,0,False,False,False
5,通信切断,61503,3942,0,False,False,False
6,临时好友,61501,0,1,False,True,False
7,临时加入,61501,0,2,False,True,False
8,临时加入,61501,0,3,False,True,False
9,不存在,61502,0,4,False,True,False
10,离线,61504,0,5,False,True,False
11,战斗指导者,61542,3947,6,False,True,False
12,忙碌中,61509,3943,7,False,True,False
13,对战任务中,61510,0,8,False,True,False
14,幻卡对局中,61539,0,9,False,True,False
15,过场动画中,61508,3951,10,False,True,False
16,陆行鸟运输骑乘中,61534,0,12,False,True,False
17,离开,61511,3952,13,False,True,False
18,观景模式中,61546,3953,14,False,True,False
19,请求修理,61512,0,15,False,True,False
20,提供修理,61513,0,16,False,True,False
21,接受镶嵌魔晶石请求,61514,0,17,False,True,True
22,角色扮演中,61545,3941,18,False,True,False
23,希望组队,61515,3954,19,False,True,False
24,佣兵,61516,0,20,False,True,False
25,任务搜索申请中,61517,3950,21,False,True,False
26,队员招募中,61536,3955,22,False,True,False
27,指导者,61540,3946,31,False,True,False
28,战斗指导者,61542,3947,32,False,True,False
29,制作采集指导者,61543,3948,33,False,True,False
30,对战指导者,61544,3949,34,False,True,False
31,回归者,61547,3945,35,False,True,False
32,新人,61523,3944,36,False,True,False
33,团队队长,61518,0,23,False,True,False
34,团队小队长,61519,0,24,False,True,False
35,团队队员,61520,0,25,False,True,False
36,小队队长,61521,3956,26,False,True,False
37,小队队员,61522,3957,27,False,True,False
38,跨服小队队长,61961,3958,28,False,True,True
39,跨服小队队员,61962,3959,29,False,True,True
40,封闭任务中,61535,0,30,False,True,False
41,同队任务中,61506,0,0,False,False,False
42,同一任务的其他队伍中,61507,0,0,False,False,False
43,任务中,61510,0,11,False,True,False
44,试玩期新人,61525,0,38,False,True,False
45,部队,0,0,0,False,False,False
46,军队,0,0,0,False,False,False
47,在线,61505,0,37,False,True,False
