#,Name,Abilities[0],Abilities[1],Abilities[2],Abilities[3],AutoAction,SmallScalePercentage,MediumScalePercentage,LargeScalePercentage,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,NonCombatSummon,Unknown17
0,,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
1,绿宝石兽,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,True,True
2,黄宝石兽,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,True,True
3,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,False,True,True
4,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,1,False,True,True
5,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,2,False,True,True
6,朝日小仙女,803,805,7438,16544,802,100,100,100,1,2,3,4,8,0,-1,False,True,True
7,夕月小仙女,803,805,7438,16544,0,100,100,100,0,0,0,0,0,0,-1,False,True,True
8,车式浮空炮塔,0,0,7416,0,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
9,象式浮空炮塔,0,0,7417,0,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
10,亚灵神巴哈姆特,7428,0,7449,0,0,10,20,30,0,0,0,0,0,0,-1,False,False,True
11,,0,0,7440,7441,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
12,亚灵神巴哈姆特,29676,0,29677,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
13,,0,0,17801,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
14,亚灵神不死鸟,16519,0,16518,0,0,33,66,100,0,0,0,0,0,0,-1,False,False,True
15,炽天使,16550,16551,16547,0,16548,100,100,100,0,0,0,0,0,0,-1,False,True,True
16,月长宝石兽,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
17,英雄的掠影,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
18,后式自走人偶,0,0,16503,25787,0,100,100,100,0,0,0,0,0,0,-1,True,False,False
19,分身,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
20,亚灵神不死鸟,29681,0,29682,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
21,炽天使,29240,0,29241,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
22,分身,0,0,0,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,False
23,宝石兽,25841,25842,0,0,0,100,100,100,1,2,3,5,6,7,-1,False,True,True
24,红宝石兽,0,0,25843,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,True
25,黄宝石兽,0,0,25844,0,0,100,100,100,0,0,0,0,0,0,-1,False,False,True
