#,Name0,Name1,Name2,PlaceName,Location,SortKey
0,無効,無効,無効,0,0,0
1,ワールド全体,world,全世界,0,0,1
2,利姆萨·罗敏萨,Limsa Lominsa,利姆萨·罗敏萨,500,1,2
3,拉诺西亚,La Noscea,拉诺西亚,502,1,3
4,狼狱,The Wolves' Den,狼狱,501,1,4
5,格里达尼亚,Gridania,格里达尼亚,506,2,5
6,黑衣森林,The Black Shroud,黑衣森林,507,2,6
7,乌尔达哈,Ul'dah,乌尔达哈,504,3,7
8,萨纳兰,Thanalan,萨纳兰,505,3,8
9,金碟游乐场,The Gold Saucer,金碟游乐场,503,3,9
10,伊修加德,Ishgard,伊修加德,512,4,10
11,库尔札斯,Coerthas,库尔札斯,508,4,11
12,阿巴拉提亚,Abalathia's Spine,阿巴拉提亚,510,4,12
13,田园郡,Idyllshire,田园郡,4136,4,13
14,龙堡,Dravania,龙堡,511,4,14
15,神拳痕,Rhalgr's Reach,神拳痕,4137,5,15
16,基拉巴尼亚,Gyr Abania,基拉巴尼亚,514,5,16
17,黄金港,Kugane,黄金港,513,6,17
18,奥萨德,Othard,奥萨德,515,6,18
19,拉札罕,Radz-at-Han,拉札罕,3745,7,19
20,萨维奈岛,Thavnair,萨维奈岛,3741,7,20
21,加雷马,Garlemald,加雷马,4138,7,21
22,水晶都,The Crystarium,水晶都,516,8,22
23,游末邦,Eulmore,游末邦,517,8,23
24,诺弗兰特,Norvrandt,诺弗兰特,518,8,24
25,摩杜纳,Mor Dhona,摩杜纳,509,9,25
26,旧萨雷安,Old Sharlayan,旧萨雷安,3744,11,26
27,迷津,Labyrinthos,迷津,3740,11,27
28,星外天域,The Sea of Stars,星外天域,3742,9,28
29,古代世界,The World Unsundered,古代世界,3743,9,29
30,其他区域,Elsewhere,其他区域,519,9,35
31,图莱尤拉,Tuliyollal,图莱尤拉,4515,10,30
32,尤卡图拉尔,Yok Tural,尤卡图拉尔,4511,10,31
33,萨卡图拉尔,Xak Tural,萨卡图拉尔,4512,10,32
34,九号解决方案,Solution Nine,九号解决方案,4514,10,33
35,无失世界,Unlost World,无失世界,4513,9,34
