#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14
0,,,,,,0,0,0,0,0,0,False,True,True,True
1,脱离,按下按钮跳下来吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,1,88,4,0,0,0,False,True,True,True
2,脱离,快速连击按钮挣脱出来吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,True,True,True
3,拼刀,快速连击按钮抗住攻击！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
4,,,,,,4,0,0,0,0,0,False,False,True,True
5,脱离,快速连击按钮挣脱出来吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,35,0,0,False,True,True,True
6,脱离,快速连击按钮挣脱出来吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,10,0,0,False,True,True,True
7,骑乘攻防,快速连击按钮进行压制！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,20,2,0,True,False,True,True
8,脱离,快速连击按钮挣脱出来吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,True,False,True,True
9,暴风牢狱,用尽全力逃脱出来吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,False,False,True,True
10,光之解放,释放体内的光之力吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
11,光之解放,释放体内的光之力吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
12,拼刀,快速连击按钮抗住攻击！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,60,30,3,0,True,False,True,True
13,拼刀,快速连击按钮抗住攻击！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
14,反抗心,拼命反抗！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,15,30,3,0,False,False,True,False
15,对抗锁死病,忍住锁死病的极痛站起来！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,15,0,0,False,False,True,False
16,保持清醒,快速连击按钮保持意识清醒！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,True,True,False
17,死斗,快速连击按钮压制回去！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,90,0,0,False,True,True,False
18,曼德维尔横跳,按下按钮使出招式吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,10,10,0,0,False,True,True,False
19,脱离,快速连击按钮挣脱出来吧！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,28,10,0,0,False,False,True,False
20,保护,快速连击按钮保护克莱夫！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
21,抵抗,快速连击按钮抵御攻击！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
22,拼刀,快速连击按钮抗住攻击！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,False,True,False
23,脱离,快速连击按钮挣脱出来，帮助库伊奇！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,22,17,0,0,False,False,True,False
24,脱离,快速连击按钮突破攻击！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,45,0,0,False,False,True,False
25,,,,,,0,0,0,0,0,0,False,False,False,False
