#,Expac,Unknown0
0,,0
1,苍穹之禁城,2
2,红莲之狂潮,3
3,暗影之逆焰,4
4,大型任务,1
5,团队任务,2
6,讨伐歼灭战,3
7,非著名调查员,1
8,圣恩达利姆神学院记,3
9,主线任务外传,2
10,刻木匠,2
11,锻铁匠,3
12,铸甲匠,4
13,雕金匠,5
14,制革匠,6
15,裁衣匠,7
16,炼金术士,8
17,烹调师,9
18,采矿工,2
19,园艺工,3
20,捕鱼人,4
21,剑术师 骑士,1
22,斧术师 战士,2
23,幻术师 白魔法师,1
24,秘术师 召唤师,22
25,格斗家 武僧,1
26,枪术师 龙骑士,2
27,双剑师 忍者,3
28,弓箭手 吟游诗人,11
29,咒术师 黑魔法师,21
30,重生之境,1
31,暗黑骑士,3
32,绝枪战士,4
33,学者,2
34,占星术士,3
35,武士,4
36,机工士,12
37,舞者,13
38,,0
39,赤魔法师,23
40,青魔法师,99
41,防护职业,0
42,治疗职业,0
43,进攻职业,0
44,职能剧情任务,5
45,虚无界再生计划,8
46,晓月之终途,5
47,贤者,4
48,钐镰客,5
49,多变迷宫,9
50,第七灵灾回忆录,10
51,塔塔露的大繁荣商店,11
52,金曦之遗辉,6
53,蝰蛇剑士,6
54,绘灵法师,24
55,职能任务序章,4
56,制作任务,1
57,采集任务,1
58,制作采集任务序章,6
59,制作采集剧情任务,7
