#,NameAction,Icon,Addon,Unknown0,QuickChatTransient
0,已失效的快捷发言,783,0,0,0
1,大家好！,9901,11030,1,1
2,辛苦了！,9902,11031,2,2
3,谢谢！,9903,11032,3,3
4,漂亮！,9904,11033,4,5
5,汇报对战用额外技能1,9927,11034,0,6
6,汇报极限技,9906,11035,6,23
7,瞄准攻击补给箱,9907,11036,0,10
8,瞄准防御补给箱,9908,11037,0,11
9,瞄准奋战补给箱,9909,11038,0,12
10,瞄准狼心,9910,11039,0,13
11,攻击防护职业,9911,11040,0,14
12,攻击治疗职业,9912,11041,0,15
13,攻击近战职业,9913,11042,0,16
14,攻击远程职业,9914,11043,0,17
15,拖住防护职业,9915,11044,0,19
16,拖住治疗职业,9916,11045,0,20
17,拖住近战职业,9917,11046,0,21
18,拖住远程职业,9918,11047,0,22
19,我来拾取战章,9919,11048,0,24
20,请去拾取战章,9920,11049,0,25
21,呼吁进攻,9921,11050,21,53
22,呼吁撤退,9922,11051,22,55
23,汇报魔力,9923,11052,23,22
24,汇报技力,9924,11053,0,9
25,攻击目标,9925,11054,25,50
26,干扰目标,9926,11055,26,51
27,汇报对战用额外技能2,9928,11056,0,7
28,呼吁集中攻击目标,9935,11057,0,28
29,呼吁停止集中攻击,9936,11058,0,29
30,道歉,9965,11713,30,4
31,自身前进,9966,11714,31,40
32,自身后撤,9967,11715,32,41
33,我来押运战术水晶,9968,11716,33,56
34,请去押运战术水晶,9969,11717,34,57
35,掩护目标,9964,11718,35,52
36,自身发动极限技,9970,14904,36,24
37,呼吁集合,9971,14905,37,54
38,汇报净化,9905,11034,0,20
39,汇报防御,9972,11034,39,21
