#,TextOutput
0,
1,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“大家好！”"
2,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“辛苦了！”"
3,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“谢谢！”"
4,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“漂亮！”"
5,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示对战用额外技能1的可使用情况。
**“‘技能名’准备就绪！”
“‘技能名’还有‘剩余时间’秒才能使用！”"
6,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
**“特职名”：“极限技准备就绪！”
“特职名”：“极限技充能‘当前数值’%！”"
7,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来瞄准攻击补给箱！”"
8,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来瞄准防御补给箱！”"
9,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来瞄准奋战补给箱！”"
10,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来瞄准狼心！”"
11,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来攻击防护职业！”"
12,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来攻击治疗职业！”"
13,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来攻击近战职业！”"
14,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来攻击远程职业！”"
15,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来拖住防护职业！”"
16,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来拖住治疗职业！”"
17,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来拖住近战职业！”"
18,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来拖住远程职业！”"
19,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我来拾取战章！”"
20,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
**“请去拾取战章！”"
21,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“大家一起进攻！”"
22,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“大家先撤退！”"
23,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
**“我的魔力还有‘当前数值’%！”"
24,"该指令只能在“群狼盛宴”中使用。
使用后会根据情况在小队频道中显示发言内容。
**“我的技力还有‘当前数值’%！”"
25,"该指令只能在“水晶冲突”中使用。
选中对战对手时使用，会在小队频道中显示以该对象为目标的战术指示。
**“我来攻击‘特职名’！”"
26,"该指令只能在“水晶冲突”中使用。
选中对战对手时使用，会在小队频道中显示以该对象为目标的战术指示。
**“我来干扰‘特职名’！”"
27,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示对战用额外技能2的可使用情况。
**“‘技能名’准备就绪！”
“‘技能名’还有‘剩余时间’秒才能使用！”"
28,"该指令只能在“群狼盛宴”中使用。
选中对战对手时使用，会标记对象并进行倒数，同时在小队频道中显示以该对象为目标的战术指示。
**“集中攻击‘职业名’！”"
29,"该指令只能在“群狼盛宴”中使用。
中断“开始集中攻击”并在小队频道中显示战术指示。
**“停止集中攻击！”"
30,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“是我的错！”"
31,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我上了！”"
32,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我先退后调整！”"
33,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
**“特职名”：“我来押运战术水晶！”"
34,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“请去押运战术水晶！”"
35,"该指令只能在“水晶冲突”中使用。
选中小队成员时使用，会在小队频道中显示以该对象为目标的战术指示。
**“我来掩护‘特职名’！”"
36,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
**“特职名”：“我要发动极限技了！”"
37,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
**“我们集合吧！”"
38,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示净化的可使用情况。
**“净化准备就绪！”
“净化还有‘剩余时间’秒才能使用！”"
39,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示防御的可使用情况。
**“防御准备就绪！”
“防御还有‘剩余时间’秒才能使用！”"
