#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Item1,Item2,PopRange0,PopRange1,PopRange2,Unknown5,Unknown6,Unknown7,Unknown8,Image,PlaceName,Unknown9,Objective1,Objective2,Objective3,RequiredAmount1,RequiredAmount2,Unknown10,Unknown11,Unknown12,Unknown13
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,探索任务：云冠群岛资源调查,"自从漂流遗迹出现后，云冠群岛的属性之力突然受到影响，环境也发生了剧烈变化。所以我们希望冒险者能协助我们进行大规模资源调查。
你们可以在群岛采掘、采伐、捕鱼，随意进行采集活动。当然，采集到的东西归你们自己所有，因为我们的目的只有群岛的资源情报。

※进行采集活动和参加危命任务可提升活动评价。","这里是艾因哈特管制台……
经确认，所有资源调查均已完成。","感谢各位冒险者的大力协助，
请到恩惠号这里来领取报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！",0,0,0,0,0,0,0,0,6710323,111102,0,0,10,11,12,0,0,0,0,0,0
6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,探索任务：收集过属性水晶,"属性之力发生剧烈变化的云冠群岛很容易促使以太结晶。带有强大属性之力的水晶极有可能成为重要资源。
所以我们希望冒险者能帮助我们收集过属性水晶，请将收集到的物资交给恩惠号附近的艾因哈特家的飞行员。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
经确认，所有探索任务均已完成。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！",2002042,2002045,6798633,6798655,6710324,0,0,0,6710323,111101,0,0,13,20,25,4,4,1,0,0,0
8,探索任务：打倒危险魔兽,"云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。
我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
经确认，所有探索任务均已完成。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！",0,0,6710332,6710294,6710302,0,0,0,6887965,111101,0,0,61,86,71,3,3,3,0,0,0
9,探索任务：打倒危险魔兽,"云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。
我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。

另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。

※参加危命任务等可提升活动评价。","这里是艾因哈特管制台……
虽然出现了预想不到的强敌，但已被确认排除。","感谢各位冒险者的大力协助。
我们已经准备了相应的报酬。","今后你们可以随时利用以太洞前往另一侧进行自由探索。
祝你们探索顺利！",0,0,6710307,6710345,6710345,0,0,0,6887983,111101,0,0,80,85,94,3,3,2,0,0,0
