#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
0,,,,,0,0,0,0,0,0,-1
1,,,,,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0
7,,,,,0,0,0,0,0,0,0
8,,,,,0,0,0,0,0,0,0
9,,,,,0,0,0,0,0,0,0
10,,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者调查云冠群岛的资源情况。
请你们尽情采集，报告成果。","当然我们也准备了与你们劳动相当的报酬。
那么，祝你们好运！",0,0,0,6,0,0,-1
11,,"这里是艾因哈特管制台……
已确认完成资源调查任务第一阶段。","看来你们取得了相当令我们感兴趣的结果。
那么，请继续调查活动。",,0,0,0,6,0,0,-1
12,,"这里是艾因哈特管制台……
已确认完成资源调查任务第二阶段。",资源调查任务还差一点就完成了，请再加把劲。,,0,0,0,6,0,0,-1
13,收集过属性火之水晶,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者收集过属性水晶。
请前往指定地点，收集指定资源。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007594,0,8,9,0,0,-1
14,收集过属性水之水晶,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者收集过属性水晶。
请前往指定地点，收集指定资源。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007597,0,8,9,0,0,-1
15,收集过属性土之水晶,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者收集过属性水晶。
请前往指定地点，收集指定资源。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007595,0,8,9,0,0,-1
16,收集过属性冰之水晶,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者收集过属性水晶。
请前往指定地点，收集指定资源。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007596,0,8,9,0,0,-1
17,收集过属性风之水晶,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者收集过属性水晶。
请前往指定地点，收集指定资源。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007598,0,8,9,0,0,-1
18,收集过属性雷之水晶,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者收集过属性水晶。
请前往指定地点，收集指定资源。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007593,0,8,9,0,0,-1
19,收集过属性火之水晶,"这里是艾因哈特管制台……
已确认完成探索任务第一阶段。",接下来请各位前往下一地点收集过属性水晶。,"另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007594,1,10,9,0,0,-1
20,收集过属性水之水晶,"这里是艾因哈特管制台……
已确认完成探索任务第一阶段。",接下来请各位前往下一地点收集过属性水晶。,"另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007597,1,10,9,0,0,-1
21,收集过属性土之水晶,"这里是艾因哈特管制台……
已确认完成探索任务第一阶段。",接下来请各位前往下一地点收集过属性水晶。,"另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007595,1,10,9,0,0,-1
22,收集过属性冰之水晶,"这里是艾因哈特管制台……
已确认完成探索任务第一阶段。",接下来请各位前往下一地点收集过属性水晶。,"另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007596,1,10,9,0,0,-1
23,收集过属性风之水晶,"这里是艾因哈特管制台……
已确认完成探索任务第一阶段。",接下来请各位前往下一地点收集过属性水晶。,"另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007598,1,10,9,0,0,-1
24,收集过属性雷之水晶,"这里是艾因哈特管制台……
已确认完成探索任务第一阶段。",接下来请各位前往下一地点收集过属性水晶。,"另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",2007593,1,10,9,0,0,-1
25,将收集品交给恩惠号的艾因哈特家的飞行员,"这里是艾因哈特管制台……
已确认完成探索任务第二阶段。",最后，请将收集到的物品交给恩惠号附近的艾因哈特家的飞行员。,"感谢各位的帮助。
报酬可以在恩惠号附近领取！",0,0,0,2,0,0,-1
26,"使用诱引香陷阱引来银壳蟹并将其打倒
获取云海物种的器官标本","这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,5,-1
27,"使用诱引香陷阱引来天蟾蜍并将其打倒
获取云海物种的器官标本","这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,5,-1
28,"使用诱引香陷阱引来珠蜂水母并将其打倒
获取云海物种的器官标本","这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,5,-1
29,"使用诱引香陷阱引来彩虹冠恐鸟并打倒
获取云海物种的器官标本","这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,5,-1
30,"使用诱引香陷阱引来鲁南缇希并将其打倒
获取云海物种的器官标本","这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,5,-1
31,"使用诱引香陷阱引来蚁鹰蜂并将其打倒
获取云海物种的器官标本","这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,5,-1
32,"使用诱引香陷阱引来笠头螈并将其打倒
获取云海物种的骨骼标本","这里是艾因哈特管制台……
已确认完成探索任务第一阶段。","我还想继续委托各位冒险者采集标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,3,-1
33,"使用诱引香陷阱引来原角鼻龙并打倒
获取云海物种的骨骼标本","这里是艾因哈特管制台……
已确认完成探索任务第一阶段。","我还想继续委托各位冒险者采集标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,3,-1
34,"使用诱引香陷阱引来腔骨龙并将其打倒
获取云海物种的骨骼标本","这里是艾因哈特管制台……
已确认完成探索任务第一阶段。","我还想继续委托各位冒险者采集标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,3,-1
35,"使用诱引香陷阱引来械齿鲸并将其打倒
获取云海物种的骨骼标本","这里是艾因哈特管制台……
已确认完成探索任务第一阶段。","我还想继续委托各位冒险者采集标本，
请使用诱引香陷阱引来指定对象并迅速将其打倒。","另外，在执行任务的过程中，
也希望你们能够在目标地区附近进行探索，以提高“活动评价”。",0,0,0,4,0,3,-1
36,将收集品交给恩惠号的艾因哈特家的飞行员,"这里是艾因哈特管制台……
已确认完成探索任务第二阶段。",最后，请将收集到的物品交给恩惠号附近的艾因哈特家的飞行员。,"感谢各位的帮助。
报酬可以在恩惠号附近领取！",0,0,0,2,0,0,-1
37,「シルバーシェル」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,8,0,-1
38,打倒斑点哈库拉克,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的蛋，
请先在周围进行探索，等待偷蛋的魔物出现。",,0,0,0,1,5,0,-1
39,打倒云上毛爬虫,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的蛋，
请先在周围进行探索，等待偷蛋的魔物出现。",,0,0,0,1,6,0,-1
40,打倒剑齿虎,"这里是艾因哈特管制台，
已确认飞空艇位置，欢迎来到云冠群岛！","我想委托各位冒险者采集博物学研究要用的蛋，
请先在周围进行探索，等待偷蛋的魔物出现。",,0,0,0,1,6,0,-1
