#,InlineName,Name,Color,Shade,SubOrder,IsMetallic,IsHousingApplicable
0,,无染色,0,2,1,False,True
1,素雪白,素雪白,14999504,2,2,False,True
2,苍白灰,苍白灰,11315362,2,3,False,True
3,古菩灰,古菩灰,9013124,2,4,False,True
4,石板灰,石板灰,6645093,2,5,False,True
5,木炭灰,木炭灰,4736834,2,6,False,True
6,煤烟黑,煤烟黑,2828579,2,7,False,True
7,玫瑰粉,玫瑰粉,15114134,4,1,False,True
8,丁香紫,丁香紫,8612201,4,2,False,True
9,罗兰莓,罗兰莓,5969705,4,3,False,True
10,卫月红,卫月红,7871002,4,4,False,True
11,铁锈红,铁锈红,6431239,4,5,False,True
12,果酒红,果酒红,4527377,4,6,False,True
13,珊瑚粉,珊瑚粉,13397086,4,7,False,True
14,鲜血红,鲜血红,9517863,4,8,False,True
15,鲑鱼粉,鲑鱼粉,14985866,4,9,False,True
16,日落橙,日落橙,12016685,5,1,False,True
17,台地红,台地红,8206598,5,2,False,True
18,树皮棕,树皮棕,6966071,5,3,False,True
19,巧克力,巧克力,7224612,5,4,False,True
20,铁锈棕,铁锈棕,5188895,5,5,False,True
21,钴铁棕,钴铁棕,3154203,5,6,False,True
22,软木棕,软木棕,13209942,5,7,False,True
23,卢恩棕,卢恩棕,10055231,5,8,False,True
24,奥猴棕,奥猴棕,8084525,5,9,False,True
25,山羊棕,山羊棕,10651484,5,10,False,True
26,南瓜橙,南瓜橙,12940324,5,11,False,True
27,橡果棕,橡果棕,9328667,5,12,False,True
28,果园棕,果园棕,6570518,5,13,False,True
29,山栗棕,山栗棕,4008205,5,14,False,True
30,哥布林,哥布林,12166281,5,15,False,True
31,页岩棕,页岩棕,9601388,5,16,False,True
32,鼹鼠棕,鼹鼠棕,6378053,5,17,False,True
33,沃土棕,沃土棕,4141865,5,18,False,True
34,骸骨白,骸骨白,15455136,6,1,False,True
35,黄沙棕,黄沙棕,12034928,6,2,False,True
36,陆行鸟黄,沙漠黄,14398551,6,3,False,True
37,蜂蜜黄,蜂蜜黄,16434731,6,4,False,True
38,玉米黄,玉米黄,14982708,6,5,False,True
39,猛豹黄,猛豹黄,12355588,6,6,False,True
40,奶油黄,奶油黄,15914864,6,7,False,True
41,日影黄,日影黄,10847280,6,8,False,True
42,萄干棕,萄干棕,4207377,6,9,False,True
43,泥沼绿,泥沼绿,5788208,7,1,False,True
44,妖精绿,妖精绿,12303242,7,2,False,True
45,青柠绿,青柠绿,11251796,7,3,False,True
46,苔藓绿,苔藓绿,7369510,7,4,False,True
47,牧草绿,牧草绿,9149539,7,5,False,True
48,橄榄绿,橄榄绿,4936242,7,6,False,True
49,沼泽绿,沼泽绿,3290657,7,7,False,True
50,苹果绿,苹果绿,10204003,7,8,False,True
51,仙人掌,仙人掌,6652481,7,9,False,True
52,猎人绿,猎人绿,2640684,7,10,False,True
53,口花绿,口花绿,4219705,7,11,False,True
54,金龟绿,金龟绿,6255960,7,12,False,True
55,地神绿,地神绿,3886396,7,13,False,True
56,深林绿,深林绿,1976865,7,14,False,True
57,天上蓝,天上蓝,9878969,7,15,False,True
58,绿松蓝,绿松蓝,4420210,7,16,False,True
59,魔花绿,魔花绿,2049606,7,17,False,True
60,寒冰蓝,寒冰蓝,11715790,8,1,False,True
61,天空蓝,天空蓝,8630482,8,2,False,True
62,海雾蓝,海雾蓝,6586784,8,3,False,True
63,孔雀蓝,孔雀蓝,3893382,8,4,False,True
64,罗海蓝,罗海蓝,1850708,8,5,False,True
65,腐尸蓝,腐尸蓝,9345964,8,6,False,True
66,青磷蓝,青磷蓝,5199718,8,7,False,True
67,靛青蓝,靛青蓝,3094609,8,8,False,True
68,油墨蓝,油墨蓝,1711911,8,9,False,True
69,盗龙蓝,盗龙蓝,5996480,8,10,False,True
70,东洲蓝,东洲蓝,3102857,8,11,False,True
71,风暴蓝,风暴蓝,2310514,8,12,False,True
72,虚空蓝,虚空蓝,1124676,8,13,False,True
73,皇室蓝,皇室蓝,2568295,8,14,False,True
74,午夜蓝,午夜蓝,1579319,8,15,False,True
75,阴影蓝,阴影蓝,3618631,8,16,False,True
76,深渊蓝,深渊蓝,3222871,8,17,False,True
77,薰衣草,薰衣草,8880046,9,1,False,True
78,忧郁紫,忧郁紫,5326176,9,2,False,True
79,醋栗紫,醋栗紫,3288123,9,3,False,True
80,鸢尾紫,鸢尾紫,12033724,9,4,False,True
81,葡萄紫,葡萄紫,3877437,9,5,False,True
82,莲花粉,莲花粉,16699125,9,6,False,True
83,蜂鸟粉,蜂鸟粉,14457802,9,7,False,True
84,仙子梅,仙子梅,7950956,9,8,False,True
85,帝王紫,帝王紫,6697038,9,9,False,True
86,宝石红,宝石红,14942225,4,10,False,True
87,樱桃粉,樱桃粉,16070555,4,11,False,True
88,丝雀黄,丝雀黄,16709732,6,10,False,True
89,香草黄,香草黄,16511412,6,11,False,True
90,龙骑蓝,龙骑蓝,3746,8,18,False,True
91,松石蓝,松石蓝,307149,8,19,False,True
92,炮铜黑,炮铜黑,6316136,10,21,True,False
93,珍珠白,珍珠白,15328218,10,22,True,False
94,金属铜,金属铜,15192471,10,23,True,False
95,胭脂红,胭脂红,14551830,4,12,False,True
96,霓虹粉,霓虹粉,15536526,4,13,False,True
97,明亮橙,明亮橙,16011281,5,19,False,True
98,霓虹黄,霓虹黄,14674440,6,12,False,True
99,霓虹绿,霓虹绿,11925264,7,18,False,True
100,碧空蓝,碧空蓝,3820688,8,20,False,True
101,无瑕白,无瑕白,16382196,10,1,False,True
102,煤玉黑,煤玉黑,1973790,10,2,False,True
103,柔彩粉,柔彩粉,16632006,10,3,False,True
104,黑暗红,黑暗红,3283225,10,4,False,True
105,黑暗棕,黑暗棕,2629916,10,5,False,True
106,柔彩绿,柔彩绿,12242858,10,6,False,True
107,黑暗绿,黑暗绿,1387564,10,7,False,True
108,柔彩蓝,柔彩蓝,9872601,10,8,False,True
109,黑暗蓝,黑暗蓝,1187629,10,9,False,True
110,柔彩紫,柔彩紫,12301786,10,10,False,True
111,黑暗紫,黑暗紫,2301990,10,11,False,True
112,闪耀银,闪耀银,10987431,10,12,True,False
113,闪耀金,闪耀金,15590973,10,13,True,False
114,金属红,金属红,11935051,10,14,True,False
115,金属橙,金属橙,14978095,10,15,True,False
116,金属黄,金属黄,16046662,10,16,True,False
117,金属绿,金属绿,2271063,10,17,True,False
118,金属蓝,金属蓝,6214886,10,18,True,False
119,金属靛,金属靛,5264089,10,19,True,False
120,金属紫,金属紫,10708674,10,20,True,False
121,罗兰紫,罗兰紫,6443151,9,10,False,True
122,金属粉,金属粉,10639723,10,24,True,False
123,金属宝石红,金属宝石红,2031616,10,25,True,False
124,金属钴铁绿,金属钴铁绿,1393215,10,26,True,False
125,金属黑暗蓝,金属黑暗蓝,524831,10,27,True,False
126,,,0,0,0,False,False
127,,,0,0,0,False,False
128,,,0,0,0,False,False
