#,Name,Description,Icon,ParamModifier,VFX,Log,Unknown0,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,PartyListPriority,CanIncreaseRewards,ParamEffect,TargetType,Flags,Flag2,Unknown_70_1,Unknown2,LockMovement,Unknown3,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,NoLogVfx,Unknown5,CanStatusOff,IsFcBuff,Invisibility,Unknown6,Unknown_70_2,Unknown7
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,石化,手足被石化，无法做出任何行动,215001,0,1,0,85,0,1,2,6,100,0,0,0,32,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,眩晕,无法做出任何行动,215004,0,2,0,0,0,1,2,3,100,0,0,0,0,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,睡眠,陷入沉睡，无法做出任何行动,215013,0,3,0,1,0,1,2,2,100,0,0,0,3,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,昏厥,失去知觉，无法做出任何行动,215003,0,0,0,1,0,1,2,8,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,能力封印,无法使用能力,215015,0,0,0,0,0,1,2,15,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,战技封印,无法发动战技,215017,0,0,0,0,0,1,2,14,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,沉默,无法咏唱魔法,215005,0,0,0,2,0,1,2,7,100,0,0,0,22,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,加速,自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短,215008,-15,0,0,5,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,减速,自动攻击间隔延长，同时战技与魔法的咏唱及复唱时间也会延长,215009,15,0,0,5,0,1,2,13,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10,拘束装置：减速,受到拘束装置的影响，自动攻击间隔延长，同时战技与魔法的咏唱及复唱时间也会延长,215545,20,0,0,5,0,1,2,13,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
11,混乱,头脑变得混乱，会向同伴发动攻击,215603,0,0,0,64,0,1,2,17,100,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
12,浮空,突破了重力的束缚，漂浮到了空中,215037,0,4,0,0,0,1,1,16,1,0,0,0,49,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
13,止步,无法自由移动,215003,0,5,0,3,0,1,2,12,100,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
14,加重,移动速度降低,215002,0,6,0,3,0,1,2,4,100,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
15,失明,陷于黑暗之中，命中率降低,215012,-10,0,0,4,0,1,2,10,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,麻痹,身体部分机能出现异常，偶尔会无法行动,215006,33,0,0,0,0,1,2,5,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
18,中毒,毒素会导致体力逐渐减少,215007,10,0,0,0,0,1,2,1,10,0,0,0,0,0,0,5,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
19,猛毒,毒素会导致体力逐渐减少,215517,100,0,0,0,0,1,2,1,10,0,0,0,0,0,0,5,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
20,技力流失,技力不断减少,215025,0,0,0,0,0,1,2,17,10,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,体力增加,体力最大值提高,215075,10,0,0,6,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,体力衰减,体力最大值降低,215076,-10,0,0,6,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23,魔力增加,魔力最大值提高,215077,10,0,0,7,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,魔力衰减,魔力最大值降低,215078,-10,0,0,7,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25,物理攻击力提升,物理攻击力增强,215050,10,0,0,8,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,物理攻击力降低,物理攻击力减弱,215051,-10,0,0,8,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27,命中率提升,命中率增强,215060,10,0,0,9,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,命中率降低,命中率减弱,215061,-10,0,0,9,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
29,物理防御力提升,物理防御力增强,215052,10,0,0,10,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,物理防御力降低,物理防御力减弱,215053,-10,0,0,10,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31,回避力提升,回避力增强,215062,10,0,0,11,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,回避力降低,回避力减弱,215063,-10,0,0,11,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33,魔法攻击力提升,魔法攻击力增强,215054,10,0,0,12,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,魔法攻击力降低,魔法攻击力减弱,215055,-10,0,0,12,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,魔法治疗力提升,魔法治疗力增强,215058,10,0,0,13,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,魔法治疗力降低,魔法治疗力减弱,215059,-10,0,0,13,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
37,魔法防御力提升,魔法防御力增强,215056,10,0,0,14,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,魔法防御力降低,魔法防御力减弱,215057,-10,0,0,14,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
39,眩晕无效,附带眩晕效果的技能无法生效,215566,100,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
40,沉默无效,附带沉默效果的技能无法生效,215567,100,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
41,制作设备,借助制作设备进行作业，90级及以下的能工巧匠会提升最大制作力,216107,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,超越之力,突破自身极限，最大体力增加，同时攻击造成的伤害及治疗魔法的治疗量也会增加,216207,15,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
43,衰弱,身体很虚弱，力量、灵巧、智力、精神均降低25%,215010,0,0,0,16,0,1,2,0,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,濒死,身体很虚弱，力量、灵巧、智力、精神均降低50%,215011,0,0,0,16,0,1,2,0,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,巧手之工,能工巧匠获得的经验值增加,216106,0,0,0,15,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,大地之恩,大地使者获得的经验值增加,216006,0,0,0,15,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,隐行,"轻声行动，不容易被敌人发现
不会被最多高于自身等级4级的敌人袭击",216015,0,138,0,0,0,1,1,16,2,0,0,0,36,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
48,进食,受到进食的效果影响,216202,1,0,0,0,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,强化药,受到强化药的效果影响,216203,2,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,冲刺,移动速度提高,210101,0,0,0,41,0,1,1,0,0,0,18,0,6,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,力量降低,力量值降低,215080,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
52,耐力降低,耐力值降低,215082,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
53,物理伤害提高,物理攻击所造成的伤害提高,215050,10,0,0,35,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,物理伤害降低,物理攻击所造成的伤害降低,215051,-10,0,0,35,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
55,物理受伤减轻,受到物理攻击的伤害减少,215052,-10,0,0,36,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,物理受伤加重,受到物理攻击的伤害增加,215053,10,0,0,36,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
57,魔法伤害提高,魔法攻击所造成的伤害提高,215054,10,0,0,37,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
