#,Name,Icon,AltIcon,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown10,Category,Unknown12,Unknown13,Unknown14,Unknown15
0,,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,0,-1,False,False,False
1,円形白無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
2,円形白タイルフィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
3,円形グレー無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
4,圆形格子底,240001,0,0,1,2,3,0,0,1,256,256,255,255,255,255,255,1,-1,True,False,False
5,四角形白無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
6,四角形白タイルフィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
7,四角形グレー無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
8,正方形格子底,240002,0,0,1,2,3,0,0,2,256,256,255,255,255,255,255,1,-1,True,False,False
9,圆形范围攻击,240212,0,0,12,2,3,0,0,101,512,512,255,255,255,255,255,6,-1,True,False,False
10,扇形范围攻击,240212,0,0,12,2,3,6,0,102,512,512,255,255,255,255,255,6,-1,True,True,True
11,直线范围攻击,240303,0,0,4,5,2,3,0,103,128,128,255,255,255,255,255,6,10,True,False,False
12,线,240305,0,0,2,3,11,0,0,999,256,6,255,255,6,255,255,4,10,True,False,False
13,视线攻击,240201,0,0,1,2,3,0,0,105,128,128,255,255,255,255,255,6,-1,True,False,False
14,分摊伤害攻击,240202,0,0,1,2,3,0,0,106,128,128,255,255,255,255,255,6,-1,True,False,False
15,分摊伤害攻击：直线型,240204,0,0,1,2,3,8,0,107,128,128,255,255,255,255,255,6,-1,True,False,True
16,距离衰减攻击,240205,0,0,1,2,3,0,0,108,256,256,255,255,255,255,255,6,-1,True,False,False
17,环形范围攻击,240218,0,0,12,2,3,6,7,109,512,512,255,255,30,360,255,6,-1,True,True,True
18,剑术师,230904,0,1,1,2,3,0,0,200,32,32,255,255,255,255,255,2,-1,True,False,False
19,格斗家,230905,0,2,1,2,3,0,0,203,32,32,255,255,255,255,255,2,-1,True,False,False
20,斧术师,230906,0,3,1,2,3,0,0,201,32,32,255,255,255,255,255,2,-1,True,False,False
21,枪术师,230907,0,4,1,2,3,0,0,204,32,32,255,255,255,255,255,2,-1,True,False,False
22,弓箭手,230908,0,5,1,2,3,0,0,206,32,32,255,255,255,255,255,2,-1,True,False,False
23,幻术师,230909,0,6,1,2,3,0,0,202,32,32,255,255,255,255,255,2,-1,True,False,False
24,咒术师,230910,0,7,1,2,3,0,0,207,32,32,255,255,255,255,255,2,-1,True,False,False
25,秘术师,230929,0,26,1,2,3,0,0,208,32,32,255,255,255,255,255,2,-1,True,False,False
26,双剑师,230932,0,29,1,2,3,0,0,205,32,32,255,255,255,255,255,2,-1,True,False,False
27,骑士,230922,0,19,1,2,3,0,0,20,32,32,255,255,255,255,255,2,-1,True,False,False
28,武僧,230923,0,20,1,2,3,0,0,40,32,32,255,255,255,255,255,2,-1,True,False,False
29,战士,230924,0,21,1,2,3,0,0,21,32,32,255,255,255,255,255,2,-1,True,False,False
30,龙骑士,230925,0,22,1,2,3,0,0,41,32,32,255,255,255,255,255,2,-1,True,False,False
31,吟游诗人,230926,0,23,1,2,3,0,0,50,32,32,255,255,255,255,255,2,-1,True,False,False
32,白魔法师,230927,0,24,1,2,3,0,0,30,32,32,255,255,255,255,255,2,-1,True,False,False
33,黑魔法师,230928,0,25,1,2,3,0,0,60,32,32,255,255,255,255,255,2,-1,True,False,False
34,召唤师,230930,0,27,1,2,3,0,0,61,32,32,255,255,255,255,255,2,-1,True,False,False
35,学者,230931,0,28,1,2,3,0,0,31,32,32,255,255,255,255,255,2,-1,True,False,False
36,忍者,230933,0,30,1,2,3,0,0,42,32,32,255,255,255,255,255,2,-1,True,False,False
37,机工士,230934,0,31,1,2,3,0,0,51,32,32,255,255,255,255,255,2,-1,True,False,False
38,暗黑骑士,230935,0,32,1,2,3,0,0,22,32,32,255,255,255,255,255,2,-1,True,False,False
39,占星术士,230936,0,33,1,2,3,0,0,32,32,32,255,255,255,255,255,2,-1,True,False,False
40,武士,230937,0,34,1,2,3,0,0,43,32,32,255,255,255,255,255,2,-1,True,False,False
41,赤魔法师,230938,0,35,1,2,3,0,0,62,32,32,255,255,255,255,255,2,-1,True,False,False
42,青魔法师,230939,0,36,1,2,3,0,0,70,32,32,255,255,255,255,255,2,-1,True,False,False
43,绝枪战士,230940,0,37,1,2,3,0,0,23,32,32,255,255,255,255,255,2,-1,True,False,False
44,舞者,230941,0,38,1,2,3,0,0,52,32,32,255,255,255,255,255,2,-1,True,False,False
45,钐镰客,230942,0,39,1,2,3,0,0,44,32,32,255,255,255,255,255,2,-1,True,False,False
46,贤者,230943,0,40,1,2,3,0,0,33,32,32,255,255,255,255,255,2,-1,True,False,False
47,防护职业,230901,0,0,1,2,3,0,0,1,32,32,255,255,255,255,255,2,-1,True,False,False
48,防护职业1,230946,0,0,1,2,3,0,0,2,32,32,255,255,255,255,255,2,-1,True,False,False
49,防护职业2,230947,0,0,1,2,3,0,0,3,32,32,255,255,255,255,255,2,-1,True,False,False
50,治疗职业,230902,0,0,1,2,3,0,0,4,32,32,255,255,255,255,255,2,-1,True,False,False
51,治疗职业1,230948,0,0,1,2,3,0,0,5,32,32,255,255,255,255,255,2,-1,True,False,False
52,治疗职业2,230949,0,0,1,2,3,0,0,6,32,32,255,255,255,255,255,2,-1,True,False,False
53,进攻职业,230903,0,0,1,2,3,0,0,9,32,32,255,255,255,255,255,2,-1,True,False,False
54,进攻职业1,230950,230955,0,1,2,3,0,0,10,32,32,255,255,255,255,255,2,-1,True,False,False
55,进攻职业2,230951,230956,0,1,2,3,0,0,11,32,32,255,255,255,255,255,2,-1,True,False,False
56,进攻职业3,230952,230958,0,1,2,3,0,0,12,32,32,255,255,255,255,255,2,-1,True,False,False
57,进攻职业4,230953,230959,0,1,2,3,0,0,13,32,32,255,255,255,255,255,2,-1,True,False,False
58,DPS5,230900,0,0,1,2,3,0,0,999,32,32,255,255,255,255,255,2,-1,False,False,False
59,DPS6,230900,0,0,1,2,3,0,0,999,32,32,255,255,255,255,255,2,-1,False,False,False
60,小型敌人,240101,0,0,1,2,3,0,0,1,64,64,255,255,255,255,255,3,-1,True,False,True
61,エネミー小2,61707,0,0,1,2,3,0,0,999,64,64,255,255,255,255,255,3,-1,False,True,True
62,中型敌人,240102,0,0,1,2,3,0,0,3,64,64,255,255,255,255,255,3,-1,True,False,True
63,エネミー中2,61712,0,0,1,2,3,0,0,999,64,64,255,255,255,255,255,3,-1,False,True,True
64,大型敌人,240103,0,0,1,2,3,0,0,5,64,64,255,255,255,255,255,3,-1,True,False,True
65,攻击1,61301,0,0,1,2,3,0,0,10,32,32,255,255,255,255,255,3,-1,True,False,False
66,攻击2,61302,0,0,1,2,3,0,0,11,32,32,255,255,255,255,255,3,-1,True,False,False
67,攻击3,61303,0,0,1,2,3,0,0,12,32,32,255,255,255,255,255,3,-1,True,False,False
68,攻击4,61304,0,0,1,2,3,0,0,13,32,32,255,255,255,255,255,3,-1,True,False,False
69,攻击5,61305,0,0,1,2,3,0,0,14,32,32,255,255,255,255,255,3,-1,True,False,False
70,止步1,61311,0,0,1,2,3,0,0,18,32,32,255,255,255,255,255,3,-1,True,False,False
71,止步2,61312,0,0,1,2,3,0,0,19,32,32,255,255,255,255,255,3,-1,True,False,False
72,止步3,61313,0,0,1,2,3,0,0,20,32,32,255,255,255,255,255,3,-1,True,False,False
73,禁止1,61321,0,0,1,2,3,0,0,21,32,32,255,255,255,255,255,3,-1,True,False,False
74,禁止2,61322,0,0,1,2,3,0,0,22,32,32,255,255,255,255,255,3,-1,True,False,False
75,方块,61331,0,0,1,2,3,0,0,23,32,32,255,255,255,255,255,3,-1,True,False,False
76,圆圈,61332,0,0,1,2,3,0,0,24,32,32,255,255,255,255,255,3,-1,True,False,False
77,十字,61333,0,0,1,2,3,0,0,25,32,32,255,255,255,255,255,3,-1,True,False,False
78,三角,61334,0,0,1,2,3,0,0,26,32,32,255,255,255,255,255,3,-1,True,False,False
79,场景标记A,61341,0,0,1,2,3,0,0,27,48,48,255,255,255,255,255,3,-1,True,False,False
80,场景标记B,61342,0,0,1,2,3,0,0,28,48,48,255,255,255,255,255,3,-1,True,False,False
81,场景标记C,61343,0,0,1,2,3,0,0,29,48,48,255,255,255,255,255,3,-1,True,False,False
82,场景标记D,61347,0,0,1,2,3,0,0,30,48,48,255,255,255,255,255,3,-1,True,False,False
83,场景标记1,61344,0,0,1,2,3,0,0,31,48,48,255,255,255,255,255,3,-1,True,False,False
84,场景标记2,61345,0,0,1,2,3,0,0,32,48,48,255,255,255,255,255,3,-1,True,False,False
85,场景标记3,61346,0,0,1,2,3,0,0,33,48,48,255,255,255,255,255,3,-1,True,False,False
86,场景标记4,61348,0,0,1,2,3,0,0,34,48,48,255,255,255,255,255,3,-1,True,False,False
87,圆圈,240026,0,0,1,2,3,0,0,2,48,48,255,255,255,255,255,4,-1,True,False,False
88,叉,240027,0,0,1,2,3,0,0,3,48,48,255,255,255,255,255,4,-1,True,False,False
89,三角,240028,0,0,1,2,3,0,0,4,48,48,255,255,255,255,255,4,-1,True,False,True
90,方块,240029,0,0,1,2,3,0,0,5,48,48,255,255,255,255,255,4,-1,True,False,False
91,未使用,61334,0,0,1,2,3,0,0,6,128,128,255,255,255,255,255,4,-1,False,True,True
92,未使用,61332,0,0,1,2,3,0,0,7,128,128,255,255,255,255,255,4,-1,False,True,True
93,未使用,61331,0,0,1,2,3,0,0,8,128,128,255,255,255,255,255,4,-1,False,True,True
94,箭头,240030,0,0,1,2,3,0,0,9,48,48,255,255,255,255,255,4,-1,True,False,True
95,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
96,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
97,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
98,未使用,230206,0,0,1,2,3,0,0,15,128,128,255,255,255,255,255,4,-1,False,True,True
99,未使用,230207,0,0,1,2,3,0,0,16,128,128,255,255,255,255,255,4,-1,False,True,True
100,文字,240301,0,0,0,0,0,0,0,1,0,0,255,255,255,255,255,4,0,True,False,False
101,蝰蛇剑士,230944,0,41,1,2,3,0,0,45,32,32,255,255,255,255,255,2,-1,True,False,False
102,绘灵法师,230945,0,42,1,2,3,0,0,63,32,32,255,255,255,255,255,2,-1,True,False,False
103,旋转,240031,0,0,1,2,3,0,0,13,48,48,255,255,255,255,255,4,-1,True,True,True
104,図形：矢印右回り,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
105,分组,240106,0,0,1,2,3,0,0,0,32,32,255,255,255,255,255,5,-1,True,False,False
106,分摊伤害攻击：连续型,240203,0,0,1,2,3,0,0,110,128,128,255,255,255,255,255,6,-1,True,False,False
107,距离衰减攻击：特定对象型,240206,0,0,1,2,3,0,0,111,128,128,255,255,255,255,255,6,-1,True,False,True
108,强攻击,240207,0,0,1,2,3,0,0,112,64,64,255,255,255,255,255,6,-1,True,False,False
109,击退攻击：放射型,240208,0,0,1,2,3,0,0,113,256,256,255,255,255,255,255,6,-1,True,False,False
110,击退攻击：直线型,240209,0,0,1,2,3,9,10,114,256,256,255,255,255,255,255,6,-1,True,False,True
