#,Name,Category,Objects[0],Objects[1],Objects[2],Objects[3],Objects[4],Objects[5],Objects[6],Objects[7],Unknown10,Unknown11,Unknown12,Unknown13
0,,0,0,0,0,0,0,0,0,0,0,0,0,False
1,圆形格子底,1,21,0,0,0,0,0,0,0,0,0,0,True
2,正方形格子底,1,25,0,0,0,0,0,0,0,0,0,0,True
3,未使用,1,0,0,0,0,0,0,0,0,0,0,0,False
4,大型敌人,2,24,0,0,0,0,0,0,0,0,0,10,True
5,中型敌人,2,23,0,0,0,0,0,0,0,0,0,11,True
6,小型敌人,2,22,0,0,0,0,0,0,0,0,0,12,True
7,轻锐小队,3,1,2,3,0,4,0,0,0,0,0,10,True
8,满编小队：散开1,3,5,6,7,8,9,10,11,12,0,0,11,True
9,满编小队：散开2,3,13,14,15,16,17,18,19,20,0,0,12,True
10,满编小队：散开3,3,38,39,40,41,42,43,44,45,0,0,13,True
11,满编小队：散开4,3,46,47,48,49,50,51,52,53,0,0,14,True
12,四方向标记,4,26,27,28,29,0,0,0,0,0,0,10,True
13,八方向标记1,4,26,27,28,29,30,31,32,33,0,0,11,True
14,八方向标记2,4,26,27,28,29,34,35,36,37,0,0,12,True
15,无设定,2,0,0,0,0,0,0,0,0,0,0,0,True
16,无设定,3,0,0,0,0,0,0,0,0,0,0,0,True
17,无设定,4,0,0,0,0,0,0,0,0,0,0,0,True
18,满编小队：散开5,3,54,55,56,57,58,59,60,61,0,0,15,True
19,紧凑1,4,62,63,64,65,0,0,0,0,0,0,20,True
20,紧凑2,4,66,67,68,69,0,0,0,0,0,0,21,True
21,紧凑3,4,70,71,72,73,74,75,76,77,0,0,22,True
22,紧凑4,4,78,79,80,81,82,83,84,85,0,0,23,True
