#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,0,0,0,False
1,用亚拉戈传承神典石兑换亚拉戈诗学神典石,5,1,50,False
2,用亚拉戈圣典神典石兑换亚拉戈诗学神典石,4,1,50,False
3,用亚拉戈真理神典石兑换亚拉戈万物神典石,4,2,25,False
4,用亚拉戈万物神典石兑换亚拉戈虚构神典石,4,2,25,False
5,用亚拉戈虚构神典石兑换亚拉戈诗学神典石,5,1,50,False
6,用亚拉戈创世神典石兑换亚拉戈诗学神典石,4,1,50,False
7,用亚拉戈魔典神典石兑换亚拉戈幻想神典石,4,2,25,False
8,用亚拉戈幻想神典石兑换亚拉戈奇谭神典石,4,2,25,False
9,用亚拉戈奇谭神典石兑换亚拉戈诗学神典石,5,1,50,False
10,用亚拉戈默示神典石兑换亚拉戈诗学神典石,4,1,50,False
11,用亚拉戈经典神典石兑换亚拉戈天文神典石,4,2,25,False
12,用亚拉戈天文神典石兑换亚拉戈因果神典石,4,2,25,False
13,用亚拉戈因果神典石兑换亚拉戈诗学神典石,5,1,50,False
14,用亚拉戈神曲神典石兑换亚拉戈诗学神典石,4,1,50,False
15,用亚拉戈美学神典石兑换亚拉戈天道神典石,4,2,25,False
16,用亚拉戈天道神典石兑换亚拉戈数理神典石,4,2,25,True
